,Pre7D,Post7D,Pre14D,Post14D,Pre21D,Post21D
45,0.00446879953225435,-0.022200978191573534,-0.0015625131790863347,-0.01320305446939778,-0.0032876184887470814,-0.014191948937460246
46,0.017503538297708073,-0.011357206285429128,0.0052407894648113995,-0.008490595317853603,0.0017336696783712394,-0.007084294622623612
47,0.003911834849381272,-0.010941975254310784,-0.003369182542459454,-0.005269392853167778,-0.0020063700783039353,-0.004452438582608429
48,-0.003495136660767649,0.014327076228357627,-0.00015070262576936656,0.006039282644025123,0.0011003912669328498,0.0024535932779631425
49,-0.0029432864799083967,0.01737691875582951,-0.002521705455172018,0.013819441942668681,-0.002650347936355398,0.017508991401488514
50,-0.007940902492275293,-0.0024354445105380547,-0.0038920198386230573,-0.0012177222552690273,-0.0025946798924153715,-0.002737720980929209
51,0.001900245964603728,-0.004594201433899844,-0.004551416492060945,-0.001811705812315745,0.0007516258459246317,-0.0008810851973289137
52,0.036049314000205966,-0.0014840306221535894,0.022838884283254913,0.006261334716669309,0.011322483093480041,0.004099499341319936
53,0.001439246561515211,-0.009494720954896663,-0.0027661005108520135,-0.0021842687868362997,-0.003675501555347375,-0.0047351267487187754
54,-0.0036900771033464798,-0.0002553981860409657,-0.003960285688610286,7.540732744863946e-05,-0.0046782875935956715,0.0020630708052537905
55,0.0032674056731182024,-0.01350602237909756,0.003915349688482447,0.00583903684068561,0.002837721831755325,0.003800878754016271
56,0.013925242186459963,0.02195544186116883,0.013216914235995298,0.023542335791949108,0.0016837271599063103,0.017362317684353635
57,0.026737817388207574,0.0167455273170404,0.013500512401917807,0.013896062164423826,0.011218970442207992,0.006296999068693378
58,0.00937937725151795,-0.014662800726954245,0.0014115954614433918,-0.01489545401516299,0.0015833881629243175,-0.00697445648581314
59,-0.011245519579913179,-0.01013585232202192,-0.00887743810351425,-0.012320130984556144,-0.005059246306852829,-0.012313975095431869
60,-0.0009107072520438437,-0.002168861238717067,0.00019419655257266953,-0.0028706647598729933,0.000241442776360695,-0.0009780021558648184
61,0.0035947104560688156,-0.008808192373184396,-0.0018230773388907308,-0.006467887733170791,0.0018691484550447594,-0.0044515717743145965
62,-0.007455753970626242,0.007752748533128026,-0.0035896845230488014,-0.009869309663787984,-0.006982463941500721,-0.00970268180115495
63,0.037319972733276405,0.024676880849727526,0.016788924514932645,0.006714197041132956,0.018228642793528465,0.0031788094608552206
