,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Z tytułu dostaw i usług,83544.0,131345.0,107023.0,138742.0,167611.0,146592.0,164366.0,182729.0,146858.0,146679.0,161510.0,165998.0,160881.0,140381.0,232914.0,264126.0,244770.0,246531.0,233240.0,333193.0
Kredyty i pożyczki,34872.0,1.0,35660.0,34810.0,59736.0,42446.0,66369.0,70527.0,103005.0,67859.0,40090.0,46794.0,38988.0,29169.0,33209.0,35687.0,86370.0,176541.0,155519.0,170391.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,4304.0,9818.0,0.0,1607.0,92043.0,94321.0,0.0,0.0,18480.0
Inne zobowiązania długoterminowe,53346.0,59681.0,65282.0,65517.0,43051.0,47552.0,54614.0,51191.0,45205.0,49351.0,40771.0,41164.0,31751.0,19656.0,17176.0,16257.0,17944.0,29773.0,29712.0,65953.0
Zobowiązania krótkoterminowe,160163.0,178453.0,197626.0,237602.0,292895.0,242228.0,295427.0,319062.0,325578.0,280315.0,275155.0,321439.0,323675.0,274836.0,288668.0,411993.0,446191.0,446673.0,410494.0,561501.0
Inne zobowiązania krótkoterminowe,41747.0,47107.0,54943.0,64050.0,65548.0,53190.0,64692.0,65806.0,75642.0,65777.0,73555.0,104343.0,113988.0,105286.0,20938.0,20137.0,20730.0,23601.0,21735.0,39437.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1456784.0,1503959.0,1532637.0,1623137.0,1598561.0,1538236.0,1805476.0,1803720.0,1702819.0,1642857.0,1556499.0,1610213.0,1569382.0,1395888.0,1399826.0,1992445.0,2018298.0,1921256.0,1793073.0,2045408.0
Przepływy pieniężne z działalności operacyjnej,191980.0,230365.0,147059.0,203167.0,189598.0,152655.0,171554.0,152241.0,92006.0,109468.0,97820.0,111076.0,96994.0,77262.0,81130.0,205483.0,131874.0,126805.0,76817.0,246636.0
Amortyzacja,103340.0,96444.0,76949.0,78329.0,83817.0,81234.0,82465.0,92787.0,93790.0,96088.0,96030.0,101988.0,98188.0,103007.0,87634.0,158037.0,162989.0,161379.0,158137.0,172126.0
Przepływy pieniężne z działalności inwestycyjnej,-44549.0,-111087.0,33776.0,-109797.0,-169628.0,-204144.0,-138104.0,-115549.0,85445.0,-120882.0,-43007.0,-128976.0,-28691.0,-41232.0,-19819.0,-100501.0,-24447.0,-18726.0,-38609.0,-19482.0
CAPEX (niematerialne i rzeczowe),34917.0,44099.0,47858.0,52126.0,115965.0,54885.0,51596.0,73307.0,110142.0,68788.0,77607.0,89755.0,88920.0,70016.0,83722.0,111424.0,66583.0,49463.0,76486.0,60879.0
Przepływy pieniężne z działalności finansowej,-10567.0,-157034.0,-35786.0,-90415.0,-93887.0,-88029.0,24683.0,-93545.0,-112039.0,-79949.0,-102037.0,-3267.0,-49269.0,-67029.0,-47506.0,-76920.0,-30137.0,-111556.0,-104032.0,-205808.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,28377.0,27489.0,82433.0,27489.0,0.0,25469.0,25469.0,50937.0,0.0,0.0,0.0,35749.0,0.0,23290.0,23290.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,136864.0,-37756.0,145049.0,2955.0,-73917.0,-139518.0,58133.0,-56853.0,65412.0,-91363.0,-47224.0,-21167.0,19034.0,-30999.0,13805.0,28062.0,77290.0,-3477.0,-65824.0,21346.0
