,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Zobowiązania z tytułu leasingu finansowego,3213.0,3951.0,4990.0,6056.0,9130.0,16524.0,21004.0,27158.0,18067.0,15304.0,4937.0,2472.0,1511.0,1864.0,2845.0,8561.0,10346.0,10570.0,17881.0,42252.0
Inne zobowiązania długoterminowe,13657.0,15690.0,26093.0,26359.0,17033.0,14395.0,53844.0,59763.0,69223.0,84746.0,180038.0,119892.0,79899.0,69074.0,58255.0,82147.0,85763.0,72412.0,134600.0,148020.0
Zobowiązania krótkoterminowe,271954.0,268274.0,421188.0,630199.0,826784.0,874260.0,925392.0,1371645.0,1521115.0,1293966.0,936316.0,861628.0,678811.0,588172.0,661258.0,882409.0,794633.0,741034.0,755778.0,900423.0
Inne zobowiązania krótkoterminowe,106263.0,92818.0,155259.0,289168.0,458169.0,524744.0,464682.0,542527.0,512468.0,538430.0,387308.0,418927.0,305491.0,313107.0,369930.0,355192.0,376086.0,407417.0,395037.0,356305.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,492148.0,480381.0,750167.0,1008998.0,1275796.0,1504919.0,1627475.0,1939793.0,1953260.0,1610141.0,1367462.0,1287135.0,1146632.0,991635.0,1047261.0,1035884.0,963164.0,922151.0,1038548.0,1228504.0
Przepływy pieniężne z działalności operacyjnej,-14690.0,-20880.0,43927.0,101716.0,66901.0,213780.0,127356.0,-192612.0,-313871.0,-214577.0,147752.0,194122.0,-124710.0,-125137.0,29340.0,112429.0,-5174.0,158566.0,24176.0,184075.0
Amortyzacja,15349.0,17987.0,19433.0,19586.0,22780.0,27879.0,35371.0,40105.0,36499.0,31606.0,25648.0,13070.0,11156.0,10968.0,11018.0,14750.0,16744.0,17674.0,22198.0,47088.0
Przepływy pieniężne z działalności inwestycyjnej,35878.0,10434.0,-11620.0,28875.0,-25654.0,-69467.0,-36061.0,-8973.0,-9166.0,-2589.0,62316.0,7740.0,-572.0,1118.0,-3831.0,35160.0,-6234.0,-9973.0,-31265.0,-75925.0
CAPEX (niematerialne i rzeczowe),9780.0,14668.0,36523.0,21596.0,39107.0,67429.0,29738.0,25375.0,13623.0,8616.0,14261.0,4966.0,5092.0,5273.0,4102.0,7852.0,13864.0,10631.0,31902.0,80170.0
Przepływy pieniężne z działalności finansowej,-2207.0,19164.0,74874.0,-13482.0,-19701.0,-24376.0,-60416.0,42381.0,199031.0,147260.0,-115025.0,-51426.0,-11668.0,4665.0,32578.0,-28419.0,-78986.0,-91121.0,-27998.0,-31735.0
Emisja akcji,0.0,0.0,117892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,18981.0,8718.0,107181.0,117109.0,21546.0,119937.0,30879.0,-159204.0,-124006.0,-69906.0,95043.0,150436.0,-136950.0,-119354.0,58087.0,119170.0,-90394.0,57472.0,-35087.0,76415.0
