,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Pozostałe aktywa trwałe,20826.0,24231.0,29590.0,18326.0,41849.0,23214.0,18507.0,16267.0,24254.0,21687.0,22484.0,18067.0,17368.0,17903.0,28237.0,20584.0,23320.0,22075.0,21528.0,23708.0,41161.0,32501.0,46781.0,27301.0,26157.0,32973.0,31658.0,33651.0,38380.0,38679.0,43571.0,41156.0,48623.0,53274.0,59812.0,65781.0,67001.0,46047.0,46863.0,35213.0,38265.0,37605.0,38268.0,39857.0,39317.0,41454.0,37215.0,40813.0,42564.0,43118.0,39409.0,43209.0,45794.0,49195.0,47704.0,44767.0,51219.0,56610.0,89174.0,73900.0,78187.0,76686.0,79878.0,99365.0
Aktywa obrotowe,150535.0,240602.0,216441.0,229027.0,217241.0,210145.0,218129.0,203068.0,230324.0,300945.0,315131.0,285276.0,367359.0,409501.0,452530.0,417745.0,379495.0,489102.0,489886.0,472585.0,487116.0,482339.0,465282.0,409183.0,435235.0,469659.0,536444.0,494362.0,516222.0,557478.0,601573.0,556920.0,510131.0,526619.0,622702.0,845216.0,789507.0,841583.0,880216.0,782289.0,714807.0,752666.0,773785.0,731358.0,832372.0,880429.0,857171.0,858868.0,896116.0,893803.0,883076.0,932919.0,958657.0,1065416.0,1228367.0,1197745.0,1237020.0,1359814.0,1417140.0,1412115.0,1376857.0,1412422.0,1525462.0,1456502.0
Zapasy,28897.0,43021.0,54924.0,101604.0,110216.0,113073.0,124647.0,100922.0,90688.0,120455.0,111000.0,99216.0,129201.0,125554.0,137995.0,112525.0,120235.0,127344.0,122759.0,118424.0,117362.0,115650.0,132664.0,109832.0,111489.0,109792.0,138517.0,107300.0,147047.0,148669.0,148629.0,145363.0,151232.0,128355.0,152106.0,227256.0,258145.0,261306.0,313956.0,200030.0,187201.0,181654.0,208103.0,225183.0,264247.0,281853.0,270168.0,261264.0,293599.0,282248.0,271782.0,306576.0,365738.0,397055.0,466434.0,406648.0,482438.0,543295.0,501820.0,543540.0,521532.0,456220.0,509628.0,457932.0
Należności krótkoterminowe,70840.0,108693.0,74124.0,49831.0,56983.0,63362.0,61748.0,64412.0,113467.0,143159.0,153276.0,137612.0,204890.0,233674.0,278542.0,254793.0,223868.0,295585.0,319795.0,282617.0,244552.0,267693.0,283108.0,197448.0,232663.0,252070.0,267744.0,242830.0,298334.0,310892.0,347134.0,264950.0,275364.0,323901.0,378377.0,433760.0,407710.0,428148.0,450649.0,395066.0,440615.0,467622.0,489923.0,415436.0,301647.0,370604.0,444874.0,363355.0,379572.0,372969.0,399936.0,360360.0,381920.0,471772.0,527021.0,513319.0,566153.0,675197.0,798755.0,721012.0,737130.0,825233.0,868605.0,585488.0
Inwestycje krótkoterminowe,34700.0,82029.0,67189.0,62354.0,41982.0,25061.0,18916.0,18515.0,14283.0,22269.0,35212.0,28822.0,27900.0,46515.0,27483.0,45110.0,27413.0,54810.0,40234.0,36728.0,95479.0,80779.0,27013.0,92633.0,76894.0,98837.0,120411.0,136819.0,61122.0,84166.0,98081.0,136732.0,80700.0,70307.0,87809.0,171206.0,117790.0,146405.0,109192.0,184113.0,83465.0,100033.0,72842.0,88149.0,263361.0,223097.0,137814.0,230711.0,219158.0,233370.0,205923.0,265096.0,210999.0,196589.0,234912.0,277778.0,188429.0,141322.0,116565.0,147563.0,118195.0,130969.0,147229.0,413082.0
Środki pieniężne i inne aktywa pieniężne,34700.0,71897.0,67189.0,62353.0,41982.0,25056.0,18616.0,18103.0,14172.0,21969.0,34912.0,28822.0,25600.0,44002.0,22665.0,42824.0,24182.0,52089.0,34475.0,36562.0,79143.0,80015.0,25851.0,90512.0,76663.0,92231.0,111024.0,126067.0,50580.0,81251.0,92957.0,129909.0,55555.0,48374.0,64052.0,150055.0,89426.0,119205.0,85357.0,165349.0,61064.0,77757.0,45942.0,56182.0,109480.0,182377.0,93113.0,178374.0,165643.0,200080.0,171814.0,264065.0,209157.0,192758.0,232183.0,271461.0,181274.0,133848.0,109167.0,137948.0,108492.0,120617.0,137895.0,311060.0
Pozostałe aktywa obrotowe,16098.0,6859.0,20204.0,15238.0,8060.0,8649.0,12818.0,19219.0,11823.0,15062.0,15642.0,19621.0,5363.0,3753.0,8510.0,5317.0,7979.0,11363.0,7098.0,34816.0,29723.0,18217.0,22497.0,9270.0,14189.0,8960.0,9772.0,7403.0,9719.0,13751.0,7729.0,9875.0,2835.0,4056.0,4410.0,12994.0,5862.0,5724.0,6419.0,3080.0,3526.0,3357.0,2917.0,2590.0,3117.0,4875.0,4315.0,3538.0,3787.0,5216.0,5435.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,181138.0,275096.0,256456.0,271110.0,284434.0,290112.0,293744.0,275661.0,315395.0,385723.0,400588.0,376549.0,464651.0,508821.0,565459.0,519840.0,485800.0,594253.0,596594.0,579812.0,596066.0,605997.0,598939.0,554094.0,584635.0,623250.0,702154.0,666643.0,681159.0,726738.0,800877.0,766723.0,743496.0,760939.0,866880.0,1069615.0,1005343.0,1052079.0,1089433.0,1002583.0,952809.0,993945.0,1004142.0,956231.0,1054019.0,1129278.0,1111566.0,1105436.0,1149084.0,1181870.0,1154245.0,1227323.0,1266066.0,1391615.0,1561843.0,1528336.0,1582008.0,1766735.0,1841545.0,1813203.0,1785578.0,1825159.0,1942503.0,1807317.0
Kapitał własny akcjonariuszy jednostki dominującej,22804.0,88220.0,95860.0,103735.0,107387.0,107960.0,111359.0,110318.0,120216.0,125059.0,132797.0,139876.0,142298.0,142518.0,147071.0,157919.0,160390.0,162789.0,165440.0,169184.0,172170.0,173427.0,176729.0,180650.0,182461.0,184808.0,189313.0,199798.0,208278.0,206223.0,209696.0,216653.0,223992.0,217874.0,232494.0,232999.0,242189.0,244710.0,247506.0,253766.0,268758.0,262699.0,266841.0,258507.0,259139.0,249724.0,260871.0,270838.0,262075.0,260699.0,280414.0,275742.0,274987.0,289524.0,291716.0,308546.0,315126.0,314529.0,307044.0,302143.0,307527.0,295288.0,263607.0,136905.0
