,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Rzeczowe składniki majątku trwałego,0.0,17123302.0,17113632.0,17524936.0,17402446.0,17600406.0,18040324.0,21911047.0,22013708.0,22298453.0,22639534.0,23300643.0,24223173.0,23575461.0,24147608.0,25127639.0,25237787.0,25446259.0,25740388.0,24850942.0,25198531.0,25738123.0,26239783.0,24882817.0,25330290.0,25066173.0,25637117.0,26355189.0,26577498.0,26988492.0,27287025.0,28079886.0,28233340.0,28402897.0,28820594.0,29238051.0,29676465.0,31217537.0,31377990.0,32872569.0,33364586.0,31316410.0,31753332.0,29665541.0,31551213.0,30565016.0,30768060.0,31120000.0,31210000.0,31271000.0,31892000.0,31727000.0,32073000.0,32661000.0,33170000.0,34036000.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,208162.0,207431.0,177452.0,207146.0,198309.0,329805.0,215784.0,219660.0,293646.0,300987.0,357430.0,393837.0,425256.0,426851.0,631564.0,402142.0,400061.0,413353.0,791967.0,831621.0,819051.0,822573.0,851145.0,902863.0,925621.0,946048.0,929439.0,957808.0,932026.0,959663.0,978066.0,930544.0,969661.0,993196.0,1015992.0,1036032.0,1027944.0,1803571.0,1032701.0,1069687.0,1105075.0,1093124.0,1391851.0,1024987.0,1065076.0,1197900.0,1290000.0,1627000.0,1773000.0,1687000.0,1579000.0,1507000.0,1439000.0,1486000.0,953000.0
Pozostałe aktywa trwałe,0.0,250432.0,270871.0,285419.0,305750.0,296610.0,278222.0,729602.0,226050.0,241839.0,310124.0,383844.0,419822.0,444693.0,503238.0,400743.0,389416.0,597727.0,597424.0,720051.0,727510.0,668121.0,612978.0,604559.0,617034.0,580048.0,531545.0,472782.0,438717.0,410595.0,395161.0,393812.0,402068.0,342994.0,345729.0,312333.0,254600.0,189533.0,170795.0,174376.0,176608.0,158223.0,160166.0,103742.0,235760.0,317104.0,209988.0,879000.0,1031000.0,1484000.0,1728000.0,940000.0,1059000.0,854000.0,1120000.0,1490000.0
Aktywa obrotowe,0.0,3773978.0,4132691.0,5095373.0,4089439.0,4442864.0,3754738.0,5110219.0,5406206.0,5118909.0,5403708.0,5802447.0,5098786.0,4756584.0,4829327.0,4788562.0,4191483.0,3623223.0,3855296.0,6396444.0,5973087.0,5630595.0,5783980.0,3947248.0,4043539.0,3757700.0,3427219.0,4308641.0,3965103.0,3609381.0,5692852.0,4742894.0,4582568.0,3978095.0,4838179.0,4555612.0,5391392.0,6079080.0,6489378.0,6865478.0,7749431.0,6821897.0,6817330.0,7674673.0,8161497.0,6013593.0,5767728.0,6220000.0,8703000.0,7478000.0,8530000.0,10267000.0,15645000.0,12011000.0,12400000.0,12445000.0
Zapasy,0.0,439363.0,439203.0,408560.0,352719.0,388935.0,405237.0,574790.0,538761.0,532534.0,504511.0,708282.0,533231.0,464339.0,476475.0,509224.0,504152.0,978626.0,1235553.0,1260644.0,1095043.0,1051067.0,1098983.0,1238667.0,1152050.0,1053499.0,1139625.0,1466468.0,939849.0,818990.0,849172.0,952166.0,1086108.0,764350.0,993473.0,711464.0,791208.0,1375951.0,1548978.0,1969345.0,1911674.0,1400932.0,1444112.0,1785423.0,3223561.0,1774966.0,1361882.0,700000.0,1494000.0,1153000.0,975000.0,1715000.0,3069000.0,2033000.0,1821000.0,2185000.0
Należności krótkoterminowe,0.0,2052138.0,2087802.0,2347894.0,2549318.0,2437050.0,2263879.0,2807610.0,3237854.0,2893686.0,2869929.0,3038129.0,2962311.0,2608635.0,2138436.0,2166531.0,2230868.0,2025322.0,1994199.0,1995658.0,1974808.0,1933571.0,1812626.0,2058378.0,2075217.0,1810217.0,1687606.0,2157919.0,2149522.0,1937791.0,2030093.0,2276939.0,2253153.0,2070968.0,2158283.0,2453606.0,2467375.0,2404805.0,4035103.0,2931162.0,2822215.0,2256415.0,2397212.0,2729413.0,3109042.0,2886418.0,2851200.0,4029000.0,5036000.0,4255000.0,4265000.0,5140000.0,7485000.0,5394000.0,5501000.0,6240000.0
Inwestycje krótkoterminowe,0.0,1091541.0,1444414.0,1502174.0,868896.0,1385849.0,893910.0,613694.0,550965.0,714090.0,1162121.0,1036351.0,1016311.0,923892.0,1352786.0,1809337.0,1110577.0,262654.0,322040.0,1448448.0,1151726.0,921494.0,1122278.0,399246.0,535410.0,675495.0,454233.0,479634.0,657419.0,685709.0,2666198.0,1410824.0,1049146.0,982819.0,1543842.0,1266762.0,1970991.0,2163286.0,796269.0,1841986.0,2743657.0,1291849.0,1129969.0,1178304.0,1685112.0,1174265.0,1412515.0,1369000.0,2012000.0,1938000.0,2443000.0,2615000.0,4595000.0,4043000.0,4694000.0,3808000.0
Środki pieniężne i inne aktywa pieniężne,0.0,1049221.0,1387071.0,1473981.0,850022.0,1376104.0,884604.0,505670.0,546203.0,705020.0,1149481.0,1030929.0,1007246.0,912712.0,1346190.0,636909.0,347699.0,246144.0,303515.0,1420909.0,1124268.0,915135.0,1114760.0,364912.0,360118.0,422123.0,261017.0,384881.0,229386.0,210379.0,2141776.0,909249.0,457909.0,491378.0,754353.0,823724.0,789352.0,960470.0,789942.0,1237952.0,1743097.0,634837.0,419405.0,909453.0,1364466.0,558150.0,499418.0,815000.0,1272000.0,874000.0,964000.0,1678000.0,1350000.0,1247000.0,1994000.0,1084000.0
Pozostałe aktywa obrotowe,0.0,185158.0,157067.0,832348.0,314109.0,226633.0,187315.0,1105174.0,1067780.0,965466.0,853966.0,983470.0,552704.0,723885.0,825561.0,270429.0,319724.0,342953.0,289821.0,353989.0,405087.0,380516.0,352176.0,233059.0,262604.0,205206.0,134842.0,185008.0,202761.0,147523.0,130127.0,87055.0,178434.0,146896.0,129659.0,110068.0,136559.0,113967.0,87684.0,100275.0,245042.0,141697.0,107548.0,78457.0,125883.0,169280.0,133263.0,112000.0,152000.0,124000.0,839000.0,790000.0,489000.0,534000.0,377000.0,207000.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,5778.0,4205.0,4397.0,4397.0,4397.0,4397.0,8951.0,10846.0,13133.0,13181.0,36215.0,34229.0,35833.0,36069.0,33041.0,26162.0,13668.0,13683.0,1337705.0,1346423.0,1343947.0,1397917.0,17898.0,18258.0,13283.0,10913.0,19612.0,15552.0,19368.0,17262.0,15910.0,15727.0,13062.0,12922.0,13712.0,25259.0,21071.0,21344.0,22710.0,26843.0,1731004.0,1738489.0,1903076.0,17899.0,8664.0,8868.0,10000.0,9000.0,8000.0,8000.0,7000.0,7000.0,7000.0,7000.0,5000.0
Aktywa razem,0.0,22016702.0,22515176.0,23430284.0,22789982.0,23404475.0,23461511.0,28526996.0,28852487.0,28968106.0,29676658.0,31273677.0,30749673.0,30689681.0,31425277.0,32355570.0,31670077.0,31577237.0,32137089.0,34559193.0,34172992.0,34322074.0,34949928.0,32071433.0,32250551.0,31661822.0,31913686.0,33456894.0,33216131.0,33225894.0,35619908.0,35792021.0,35480795.0,35052682.0,36455026.0,37097477.0,38283421.0,39183499.0,41223119.0,41917765.0,42941080.0,40010337.0,40518759.0,39411064.0,41599248.0,38518457.0,38621258.0,40075000.0,43148000.0,42676000.0,44495000.0,45320000.0,51026000.0,47700000.0,48898000.0,49798000.0
Kapitał własny akcjonariuszy jednostki dominującej,12183258.0,12507950.0,12722949.0,14704825.0,15091762.0,15157415.0,15459848.0,15625871.0,16054855.0,15964308.0,16336651.0,16235110.0,16800448.0,16766721.0,17143926.0,17327165.0,17814332.0,17793054.0,18106785.0,17966448.0,18482673.0,18462754.0,18837494.0,16018328.0,16349738.0,16056107.0,16348985.0,16649266.0,17273527.0,17637954.0,17844827.0,18036446.0,18744706.0,18686055.0,18967636.0,18295824.0,18823135.0,18970129.0,19168281.0,18192226.0,18282475.0,17684743.0,18070845.0,15518642.0,16778066.0,16336078.0,16496663.0,16491000.0,17530000.0,17471000.0,17235000.0,16581000.0,17553000.0,18289000.0,18609000.0,17915000.0
Kapitał (fundusz) podstawowy,0.0,14304949.0,14304949.0,15772945.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8762747.0,8763000.0,8763000.0,8763000.0,8763000.0,8763000.0,8763000.0,8763000.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,240209.0,240209.0,475088.0,7485286.0,7412882.0,7412882.0,7412882.0,7412882.0,7953021.0,7953021.0,7953021.0,7953021.0,9037699.0,9037699.0,9037699.0,9037699.0,10393686.0,10393686.0,10393686.0,10393686.0,11277247.0,11277247.0,11277247.0,11277247.0,7823339.0,7823339.0,7823339.0,7823339.0,7657086.0,7657086.0,7657086.0,7657086.0,8511437.0,8511437.0,8511437.0,8511437.0,6801584.0,6801584.0,6801584.0,6801584.0,6801584.0,6338754.0,6338754.0,6338754.0,2749099.0,2749099.0,2749000.0,2749000.0,3009000.0,3009000.0,3009000.0,3009000.0,3076000.0,3076000.0,3076000.0
Udziały niekontrolujące,2332523.0,2289945.0,2321695.0,507246.0,485227.0,479419.0,462626.0,461347.0,474598.0,474902.0,502763.0,493123.0,515613.0,526444.0,531410.0,466334.0,54808.0,29574.0,30306.0,30116.0,30662.0,29040.0,29207.0,29829.0,30344.0,28016.0,28534.0,30052.0,30761.0,30804.0,31315.0,31367.0,32282.0,33180.0,32649.0,132657.0,385947.0,386282.0,901613.0,900434.0,900627.0,899840.0,897087.0,893623.0,905112.0,915901.0,929596.0,33000.0,34000.0,32000.0,32000.0,33000.0,35000.0,36000.0,38000.0,38000.0
Zobowiązania długoterminowe,0.0,3860387.0,3817562.0,4070063.0,4152416.0,4115836.0,4145734.0,7597081.0,8087577.0,8189894.0,8604677.0,9148067.0,9668430.0,9472271.0,9443042.0,9304341.0,9782319.0,9975657.0,10140596.0,11744092.0,11656205.0,11777452.0,11935863.0,8583950.0,11516274.0,11387310.0,10989315.0,11968719.0,12037860.0,11929895.0,13691332.0,12738005.0,12219070.0,12325264.0,12174834.0,11382254.0,12972162.0,13043351.0,13632658.0,14963274.0,16314523.0,16145402.0,15077768.0,15687376.0,15717690.0,14542576.0,13654246.0,13634000.0,15169000.0,15521000.0,15692000.0,18511000.0,19541000.0,17970000.0,17353000.0,17576000.0
Z tytułu dostaw i usług,0.0,1127523.0,1198537.0,1629723.0,1087509.0,1479792.0,1203576.0,2349201.0,1663080.0,2131516.0,1835196.0,2628449.0,1456633.0,1541706.0,1653840.0,2023537.0,1234267.0,1625291.0,1379263.0,1866865.0,1500099.0,1702823.0,1370925.0,790706.0,692721.0,694023.0,615200.0,829729.0,775241.0,727048.0,808754.0,1042427.0,881079.0,832995.0,889679.0,1127738.0,813723.0,773721.0,828676.0,847226.0,761937.0,734956.0,733440.0,965106.0,1627359.0,984381.0,954853.0,1242000.0,1622000.0,1359000.0,1740000.0,2246000.0,2229000.0,1687000.0,1999000.0,2088000.0
Kredyty i pożyczki,0.0,534404.0,502486.0,325027.0,215307.0,195849.0,207480.0,214169.0,330178.0,197340.0,254165.0,286990.0,426987.0,286568.0,272154.0,284633.0,613883.0,338249.0,380334.0,631530.0,636493.0,513116.0,564548.0,3214520.0,1105494.0,1070720.0,1133015.0,219740.0,648162.0,428241.0,330216.0,351382.0,319055.0,287669.0,293355.0,2475167.0,2458675.0,2109761.0,2336432.0,2484093.0,2330314.0,476666.0,1369062.0,1478550.0,1161761.0,1469480.0,1527407.0,2143000.0,3991000.0,2161000.0,2902000.0,528000.0,1448000.0,1357000.0,1408000.0,2871000.0
