,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,85.0,80.0,0.0,0.0,0.0,12687.0,12091.0,12791.0,13281.0,18593.0,15348.0,23363.0,22916.0,21090.0
Pozostałe aktywa trwałe,8131.0,8033.0,0.0,7362.0,6985.0,6593.0,5849.0,5960.0,6020.0,5442.0,6214.0,5574.0,5518.0,4670.0,5048.0,4865.0,4767.0,3744.0,5200.0,4089.0,4220.0,3216.0,4174.0,7930.0,8313.0,4435.0,5491.0,5343.0,6493.0,6471.0,9037.0,8798.0,9815.0,8031.0,21509.0,22214.0,23484.0,8247.0,13260.0,13478.0,16373.0,7201.0,7799.0,16421.0,16946.0,12939.0
Aktywa obrotowe,83319.0,81425.0,0.0,138826.0,137259.0,119445.0,145861.0,139175.0,120249.0,116440.0,123966.0,120118.0,128441.0,122297.0,141381.0,132740.0,149332.0,168996.0,179282.0,154688.0,154392.0,162408.0,173729.0,196349.0,198918.0,209523.0,195351.0,190641.0,207850.0,210322.0,234929.0,198819.0,215636.0,207875.0,255446.0,248725.0,238798.0,278651.0,321183.0,358584.0,386681.0,422576.0,510786.0,409875.0,409664.0,357415.0
Zapasy,25012.0,22655.0,0.0,30476.0,33779.0,35045.0,75312.0,61349.0,50887.0,36779.0,41376.0,42245.0,41427.0,33496.0,41425.0,37918.0,50486.0,45423.0,58961.0,47284.0,44781.0,42186.0,49189.0,49120.0,46549.0,47178.0,60443.0,55720.0,64510.0,66949.0,89126.0,71028.0,77196.0,59782.0,83127.0,84768.0,88866.0,95904.0,131256.0,168036.0,151348.0,164253.0,193332.0,174821.0,167802.0,147386.0
Należności krótkoterminowe,50335.0,51628.0,0.0,50017.0,48867.0,46364.0,46969.0,62257.0,53794.0,58615.0,60800.0,57773.0,65239.0,68136.0,73561.0,73538.0,76925.0,92389.0,92426.0,83237.0,82870.0,85908.0,92827.0,85067.0,97649.0,94460.0,87620.0,96437.0,104529.0,96977.0,109910.0,85448.0,102878.0,95220.0,116411.0,112330.0,109564.0,108966.0,113327.0,120191.0,164801.0,119596.0,196161.0,140617.0,140332.0,122996.0
Inwestycje krótkoterminowe,2373.0,969.0,0.0,2262.0,41149.0,23315.0,8788.0,4498.0,4933.0,8254.0,6519.0,10302.0,10570.0,11559.0,13781.0,8790.0,9650.0,20166.0,10250.0,8497.0,13232.0,17475.0,11504.0,24114.0,39924.0,32160.0,19970.0,11183.0,21059.0,26199.0,11111.0,20458.0,11025.0,26899.0,26331.0,15430.0,6671.0,14489.0,23300.0,30777.0,15110.0,16598.0,15164.0,10064.0,9648.0,15464.0
Środki pieniężne i inne aktywa pieniężne,2373.0,969.0,0.0,2093.0,41067.0,23315.0,8788.0,4498.0,4933.0,8254.0,6519.0,10064.0,10532.0,10359.0,12580.0,7514.0,8450.0,17997.0,7848.0,7297.0,11946.0,16275.0,10260.0,22837.0,38724.0,30916.0,18770.0,9983.0,19779.0,26171.0,11111.0,20458.0,11025.0,23698.0,26331.0,15430.0,6671.0,10226.0,18745.0,22379.0,7231.0,12614.0,11962.0,8092.0,8166.0,12281.0
Pozostałe aktywa obrotowe,2059.0,2636.0,0.0,52784.0,10178.0,13113.0,14792.0,11071.0,10635.0,12792.0,15271.0,9798.0,11205.0,9106.0,12614.0,12494.0,12271.0,11018.0,17645.0,15670.0,13509.0,16839.0,20209.0,18633.0,14796.0,35725.0,27318.0,27301.0,17752.0,20197.0,24782.0,21885.0,24537.0,25974.0,29577.0,36197.0,33697.0,59292.0,53300.0,39580.0,55422.0,122129.0,106129.0,84373.0,91882.0,71569.0
Aktywa trwałe przeznaczone do sprzedaży,3540.0,3537.0,0.0,3287.0,3286.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,235941.0,236403.0,0.0,306929.0,317408.0,329898.0,363720.0,385323.0,374390.0,388839.0,405323.0,402758.0,419348.0,416460.0,437761.0,431423.0,448164.0,476639.0,498857.0,482831.0,489384.0,519429.0,545180.0,559625.0,586050.0,614356.0,621871.0,631448.0,674478.0,699938.0,741416.0,711515.0,751142.0,779867.0,891455.0,914602.0,937822.0,1048616.0,1122441.0,1208079.0,1290950.0,1338100.0,1415800.0,1434134.0,1485265.0,1524890.0
