,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,11.0,8.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,481.0,430.0,382.0,310.0,244.0,504.0,462.0,396.0,1542.0,1543.0,2174.0,2173.0,1708.0,2248.0,2239.0,2358.0,3445.0,3420.0,3403.0,3413.0,3229.0,3234.0,2817.0,2410.0,1354.0,788.0,485.0,883.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0
Pozostałe aktywa trwałe,1292.0,1017.0,974.0,1051.0,1036.0,1047.0,956.0,1088.0,963.0,1288.0,1152.0,1104.0,1090.0,1165.0,1120.0,1188.0,987.0,1344.0,1480.0,1672.0,1915.0,1867.0,1997.0,1990.0,2014.0,2067.0,1909.0,2164.0,2153.0,1796.0,2763.0,3107.0,3460.0,3367.0,3270.0,3347.0,3228.0,2329.0,2711.0,2650.0,3043.0,2008.0,2249.0,2696.0,3107.0,1746.0,2603.0,3372.0,4660.0,2504.0,2775.0,3258.0,3558.0,1620.0,2145.0
Aktywa obrotowe,40136.0,42041.0,47897.0,58844.0,59187.0,56906.0,66692.0,83494.0,60426.0,67765.0,76523.0,79407.0,55839.0,56161.0,66839.0,75667.0,58362.0,56410.0,70515.0,80590.0,67943.0,70661.0,77410.0,66951.0,75250.0,59340.0,65922.0,72252.0,71260.0,76321.0,72988.0,69728.0,78641.0,76527.0,88827.0,93791.0,85413.0,73183.0,79860.0,90691.0,91033.0,88876.0,96134.0,98812.0,97250.0,100376.0,111938.0,108900.0,106468.0,112573.0,144222.0,151786.0,141647.0,129318.0,127277.0
Zapasy,18901.0,22937.0,22864.0,23037.0,28214.0,25875.0,26881.0,31727.0,25635.0,29162.0,29847.0,30612.0,29139.0,29163.0,28897.0,28013.0,28699.0,29959.0,27496.0,26955.0,28546.0,35334.0,33674.0,32396.0,34185.0,36789.0,35092.0,34094.0,36289.0,34874.0,36259.0,37134.0,43950.0,50624.0,55597.0,57405.0,53422.0,50778.0,47219.0,60312.0,57944.0,61244.0,61367.0,56689.0,63095.0,70263.0,69380.0,70925.0,68597.0,72235.0,92135.0,97866.0,91835.0,79070.0,74951.0
Należności krótkoterminowe,8036.0,7216.0,10816.0,13185.0,11034.0,9149.0,13390.0,14450.0,11876.0,8216.0,13862.0,19163.0,14856.0,11766.0,19430.0,26082.0,18223.0,14515.0,21981.0,29533.0,24931.0,15484.0,19610.0,17056.0,16160.0,14152.0,19630.0,25585.0,27327.0,19300.0,25867.0,23448.0,22970.0,18003.0,24258.0,28304.0,25636.0,15777.0,25090.0,22629.0,25382.0,19352.0,26405.0,31392.0,23942.0,20733.0,28914.0,29026.0,28427.0,32521.0,41245.0,42207.0,38168.0,38241.0,41117.0
Inwestycje krótkoterminowe,12157.0,10877.0,12516.0,20814.0,18380.0,20688.0,24567.0,35778.0,21625.0,29544.0,31162.0,28556.0,10887.0,14179.0,16374.0,19791.0,10081.0,10615.0,18669.0,21911.0,12456.0,17774.0,21034.0,14335.0,21807.0,5338.0,7017.0,8279.0,3153.0,17721.0,5079.0,3145.0,8215.0,4714.0,4248.0,3511.0,1847.0,2354.0,1806.0,2200.0,2003.0,2377.0,1348.0,3273.0,2527.0,3249.0,5672.0,1307.0,2607.0,1947.0,2629.0,3333.0,3077.0,3246.0,2674.0
Środki pieniężne i inne aktywa pieniężne,12157.0,10877.0,11500.0,20804.0,18380.0,20688.0,24567.0,7091.0,11562.0,19173.0,15835.0,23456.0,10639.0,13925.0,16169.0,19791.0,10080.0,10581.0,18669.0,16363.0,12456.0,17774.0,13699.0,14335.0,21807.0,3331.0,7017.0,8279.0,3153.0,17721.0,5079.0,3145.0,8215.0,4714.0,4248.0,3511.0,1847.0,2354.0,1806.0,2200.0,2003.0,2377.0,1348.0,3273.0,2527.0,3249.0,5672.0,1307.0,2607.0,1947.0,2618.0,1939.0,2917.0,2523.0,2242.0
Pozostałe aktywa obrotowe,1042.0,1011.0,1701.0,1808.0,1559.0,1194.0,1854.0,1539.0,1290.0,843.0,1652.0,1076.0,957.0,1053.0,2138.0,1781.0,1359.0,1321.0,2369.0,2191.0,2010.0,2069.0,3092.0,3164.0,3098.0,3061.0,4183.0,4294.0,4491.0,4426.0,5783.0,6001.0,3506.0,3186.0,4724.0,4571.0,4508.0,4274.0,5745.0,5550.0,5704.0,5903.0,7014.0,7458.0,7686.0,6131.0,7972.0,7642.0,6837.0,5870.0,8213.0,8380.0,8567.0,8761.0,8535.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
