,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Zapasy,120879.0,118163.0,118497.0,122207.0,129334.0,136791.0,127596.0,154423.0,167446.0,180874.0,185407.0,187535.0,182962.0,269787.0,246120.0,272836.0,592713.0,653171.0,688505.0,669467.0,640977.0,839561.0,1009467.0,1020020.0,1063006.0,1170626.0,1135564.0,1272045.0,1222799.0,1347826.0,1055940.0,1244478.0,1066259.0,1180599.0,911850.0,912334.0,841452.0,858029.0,850324.0,952899.0,923705.0,1003214.0,1084068.0,1048788.0,1179593.0,1503897.0,1427132.0,1499693.0,1440696.0,1669809.0,1435962.0,1551827.0,1367594.0,1534011.0,1438375.0,1548238.0,1683772.0,2313143.0,2409537.0,3011863.0,3117519.0,3444385.0,3442348.0,2605887.0,2060024.0,2469246.0
Należności krótkoterminowe,170064.0,147137.0,156389.0,465486.0,192073.0,166661.0,190866.0,188147.0,163084.0,154182.0,178959.0,185708.0,208579.0,419234.0,448479.0,444569.0,786888.0,722958.0,755855.0,718526.0,816186.0,682068.0,1301574.0,1302902.0,1294250.0,1313670.0,1361618.0,1126077.0,1112066.0,1168109.0,1252052.0,1216526.0,1135366.0,1080448.0,1147174.0,1195816.0,1087028.0,1077146.0,1309525.0,1263218.0,1272803.0,1112672.0,1361265.0,1405769.0,1315188.0,1621126.0,1892790.0,1638313.0,1502454.0,1642459.0,1885560.0,1560585.0,1452020.0,1647865.0,2210533.0,3109694.0,3565245.0,4041766.0,4486911.0,2855921.0,2275177.0,2059743.0,4197943.0,3866444.0,1728433.0,1480166.0
Inwestycje krótkoterminowe,21677.0,54602.0,55275.0,33376.0,257792.0,253433.0,325277.0,285035.0,257736.0,256186.0,244364.0,246295.0,258988.0,279450.0,328858.0,768622.0,335091.0,245044.0,372940.0,419465.0,327326.0,262519.0,714669.0,756973.0,711505.0,819846.0,736456.0,640801.0,715643.0,627087.0,1063245.0,911764.0,1178983.0,1256029.0,1733050.0,1315835.0,1450730.0,1456482.0,1458186.0,1126475.0,1153225.0,1530740.0,1414722.0,1328745.0,892049.0,1125377.0,1392767.0,1111137.0,1336157.0,1424862.0,2077849.0,1488067.0,1097784.0,1495998.0,1149714.0,1058612.0,794823.0,2365991.0,2433645.0,2813508.0,3836267.0,3391010.0,2652771.0,1411503.0,2671937.0,3061838.0
Środki pieniężne i inne aktywa pieniężne,21668.0,54413.0,55100.0,32158.0,37400.0,45333.0,120240.0,77470.0,66777.0,246485.0,146986.0,214674.0,211319.0,279450.0,315811.0,767876.0,334820.0,244791.0,370638.0,419209.0,325983.0,243440.0,710513.0,721962.0,652614.0,713024.0,711837.0,606853.0,581171.0,558603.0,948917.0,780418.0,768012.0,753144.0,855866.0,644919.0,672101.0,641711.0,745428.0,660718.0,655600.0,1085885.0,1037353.0,1088796.0,877710.0,846532.0,604734.0,550613.0,551990.0,770087.0,935768.0,906759.0,576137.0,923328.0,433797.0,972038.0,706675.0,2362193.0,672092.0,866981.0,1885390.0,1376541.0,656110.0,1405681.0,612022.0,1012355.0
Pozostałe aktywa obrotowe,3127.0,9049.0,4764.0,7702.0,6532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5751.0,0.0,10605.0,23541.0,16702.0,37804.0,26570.0,20479.0,19894.0,53045.0,37556.0,34500.0,21016.0,45026.0,31169.0,46914.0,24118.0,48338.0,38339.0,52794.0,32047.0,0.0,8992.0,7942.0,8092.0,9278.0,10725.0,11163.0,10882.0,12331.0,13986.0,14949.0,14578.0,14493.0,14953.0,16127.0,15456.0,14546.0,15291.0,17240.0,17456.0,15741.0,16080.0,17398.0,17969.0,18276.0,20253.0,22348.0,21753.0,21286.0,20182.0,20107.0,20154.0
Aktywa trwałe przeznaczone do sprzedaży,7.0,7.0,7.0,7.0,7.0,7.0,100.0,526.0,556.0,613.0,251.0,251.0,229.0,125.0,219.0,132.0,139.0,125.0,125.0,125.0,125.0,347.0,307.0,299.0,792.0,792.0,299.0,299.0,282.0,107.0,107.0,107.0,121.0,3123.0,3133.0,340.0,340.0,691.0,691.0,3148.0,4797.0,10555.0,11102.0,10970.0,11132.0,9050.0,21392.0,21469.0,21576.0,20668.0,20567.0,19514.0,19450.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1226978.0,1330680.0,1264807.0,1571873.0,1600050.0,1604246.0,1624219.0,1614381.0,1582321.0,1581318.0,1621244.0,1659901.0,1682730.0,3246701.0,3316856.0,3853872.0,5114000.0,4946229.0,5119187.0,5087546.0,5340472.0,5357041.0,8725210.0,9064802.0,9330023.0,9961530.0,9892101.0,9667118.0,9757446.0,9948332.0,10187708.0,10199880.0,10453562.0,10777169.0,11147688.0,10951807.0,11084140.0,11051920.0,11341997.0,11158668.0,11209758.0,11738044.0,11939030.0,11953447.0,11739847.0,14160469.0,14992261.0,14627951.0,14870727.0,15478691.0,16661640.0,16449112.0,16475958.0,18207150.0,19062714.0,20195863.0,20893437.0,23644705.0,24856612.0,24832055.0,25882497.0,25865644.0,27436962.0,26019865.0,25093001.0,24296520.0
Kapitał własny akcjonariuszy jednostki dominującej,827797.0,864628.0,848463.0,1136847.0,1161914.0,1153865.0,1172668.0,1136179.0,1111201.0,1111132.0,1124372.0,1142370.0,1153878.0,1502176.0,1579671.0,1632788.0,2335213.0,2750470.0,2908797.0,2999804.0,3032553.0,3076620.0,5332769.0,5625035.0,5619491.0,5561457.0,5699493.0,5743790.0,5746003.0,5759039.0,6029615.0,6160392.0,6235283.0,6367288.0,6644682.0,6591318.0,6593195.0,6533877.0,6781314.0,6749530.0,6811077.0,6855759.0,7017393.0,6811345.0,6716156.0,6703038.0,6991642.0,7051438.0,7111180.0,7036374.0,7219499.0,7211334.0,7247950.0,7339074.0,7423614.0,7546843.0,7574683.0,7941863.0,8965011.0,9776983.0,9817051.0,8934649.0,8394635.0,7822779.0,7215523.0,5951454.0
Kapitał (fundusz) podstawowy,120000.0,120000.0,120000.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,195582.0,320577.0,320577.0,320577.0,320577.0,320577.0,320577.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
