,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Rzeczowe składniki majątku trwałego,37719191.0,38173623.0,38348808.0,38945664.0,39091100.0,39433071.0,40013814.0,41442181.0,41388660.0,41732497.0,42134492.0,42974819.0,42803710.0,43058735.0,43811979.0,43738301.0,43745828.0,44248444.0,44993361.0,46127000.0,45861000.0,46285000.0,47101000.0,49738000.0,50296000.0,42110000.0,43850000.0,47068000.0,48205000.0,48833000.0,49998000.0,51365000.0,51378000.0,52095000.0,52891000.0,58620000.0,58612000.0,59413000.0,59995000.0,62274000.0,63559000.0,64715000.0,65561000.0,60993000.0,60983000.0,61885000.0,62317000.0,63050000.0,62441000.0,62209000.0,62226000.0,62074000.0,61846000.0,62130000.0,63084000.0,65699000.0,66273000.0,74106000.0,75897000.0,70360000.0
Należności długoterminowe,482760.0,473451.0,401108.0,389566.0,387200.0,417071.0,401824.0,407831.0,408027.0,405249.0,454419.0,323473.0,315843.0,331170.0,323716.0,329395.0,340066.0,369847.0,368651.0,392000.0,424000.0,414000.0,45000.0,13000.0,13000.0,15000.0,14000.0,142000.0,150000.0,148000.0,148000.0,237000.0,245000.0,245000.0,246000.0,158000.0,168000.0,167000.0,168000.0,168000.0,178000.0,178000.0,179000.0,180000.0,190000.0,193000.0,191000.0,191000.0,206000.0,205000.0,202000.0,204000.0,212000.0,212000.0,215000.0,223000.0,238000.0,245000.0,251000.0,254000.0
Inwestycje długoterminowe,1761967.0,1563776.0,1646351.0,1578441.0,1491476.0,1572835.0,1653302.0,1528666.0,1598367.0,226465.0,231878.0,189099.0,183851.0,186493.0,168889.0,101993.0,97558.0,89854.0,65915.0,56000.0,65000.0,68000.0,68000.0,57000.0,55000.0,55000.0,54000.0,66000.0,198000.0,570000.0,506000.0,822000.0,828000.0,887000.0,938000.0,1352000.0,1412000.0,1119000.0,1462000.0,2197000.0,2211000.0,1273000.0,1308000.0,1153000.0,1937000.0,1072000.0,384000.0,421000.0,469000.0,381000.0,432000.0,1434000.0,2535000.0,1232000.0,1249000.0,443000.0,1365000.0,730000.0,722000.0,853000.0
Pozostałe aktywa trwałe,640076.0,895272.0,892463.0,897440.0,849651.0,802249.0,748043.0,556115.0,575273.0,598038.0,621928.0,740621.0,1033266.0,898973.0,1318567.0,774587.0,736752.0,803170.0,939214.0,946000.0,1481000.0,1575000.0,1639000.0,1611000.0,1842000.0,1790000.0,1715000.0,1406000.0,1075000.0,1162000.0,1047000.0,998000.0,851000.0,862000.0,824000.0,1175000.0,1116000.0,1030000.0,1031000.0,1080000.0,1069000.0,881000.0,1147000.0,1994000.0,1144000.0,1059000.0,1873000.0,2190000.0,2016000.0,1673000.0,1842000.0,1845000.0,1718000.0,2487000.0,3428000.0,4641000.0,3808000.0,4289000.0,4355000.0,4921000.0
Aktywa obrotowe,6680608.0,6960746.0,6642710.0,12483352.0,12585232.0,11595542.0,11419605.0,7336517.0,13263528.0,12088026.0,8876420.0,14317698.0,17441692.0,15265999.0,12264872.0,11296906.0,14129302.0,14005641.0,13231933.0,13013000.0,12359000.0,14384000.0,13347000.0,14019000.0,13173000.0,12679000.0,13351000.0,11710000.0,10330000.0,9632000.0,13303000.0,13399000.0,13387000.0,12395000.0,12285000.0,9520000.0,9613000.0,8298000.0,9834000.0,9140000.0,11070000.0,12135000.0,13215000.0,12595000.0,15983000.0,10183000.0,11662000.0,15096000.0,18452000.0,14373000.0,20592000.0,22727000.0,27981000.0,26548000.0,29508000.0,34046000.0,48035000.0,29413000.0,30225000.0,35103000.0
Zapasy,1098560.0,1226177.0,1217891.0,1271165.0,1110260.0,1227540.0,1183041.0,1090549.0,1034219.0,1274040.0,1356205.0,1305327.0,1352647.0,1558749.0,1832832.0,2213180.0,1653270.0,1631272.0,1733586.0,3088000.0,1768000.0,2801000.0,3272000.0,3727000.0,3806000.0,3443000.0,4010000.0,4131000.0,4179000.0,3687000.0,3743000.0,3945000.0,4038000.0,3099000.0,2688000.0,2919000.0,3024000.0,3037000.0,3558000.0,3107000.0,2746000.0,5135000.0,5498000.0,5474000.0,5662000.0,3226000.0,3088000.0,4858000.0,8733000.0,2606000.0,2709000.0,6295000.0,12108000.0,5193000.0,6482000.0,9672000.0,24942000.0,5167000.0,5118000.0,14290000.0
Należności krótkoterminowe,3025284.0,2758131.0,2653851.0,3096521.0,2849854.0,2658829.0,2700571.0,2921145.0,3174393.0,2489145.0,2569591.0,4583659.0,4566926.0,2263892.0,2102837.0,2671851.0,2975293.0,3129131.0,2194980.0,3095000.0,2829000.0,5366000.0,2755000.0,2955000.0,3323000.0,3164000.0,3074000.0,3849000.0,4077000.0,3720000.0,3713000.0,6344000.0,4302000.0,3702000.0,3495000.0,3558000.0,3755000.0,3301000.0,4213000.0,4102000.0,4624000.0,4923000.0,4913000.0,4874000.0,7802000.0,4067000.0,4280000.0,4820000.0,4878000.0,5402000.0,5034000.0,7871000.0,7432000.0,8042000.0,7763000.0,9322000.0,12914000.0,11509000.0,10052000.0,11483000.0
Inwestycje krótkoterminowe,2074537.0,2369177.0,2345650.0,7718807.0,7979625.0,7383560.0,7404114.0,2861347.0,2818793.0,5813445.0,2378292.0,7427658.0,5267447.0,10421637.0,7378955.0,7695980.0,8524847.0,8307029.0,9186713.0,6065000.0,6715000.0,4646000.0,6022000.0,6309000.0,4986000.0,4965000.0,5157000.0,3115000.0,1641000.0,1732000.0,5399000.0,2682000.0,4661000.0,5122000.0,5610000.0,2640000.0,2361000.0,1352000.0,1416000.0,1396000.0,3176000.0,1369000.0,2037000.0,1640000.0,2354000.0,2134000.0,3650000.0,4612000.0,3273000.0,5760000.0,11747000.0,7308000.0,7072000.0,11952000.0,13590000.0,12814000.0,9052000.0,11189000.0,13270000.0,6149000.0
Środki pieniężne i inne aktywa pieniężne,1983248.0,2294978.0,2271891.0,7712823.0,7855310.0,7261240.0,7095539.0,2730423.0,2693649.0,2838477.0,2368700.0,4052238.0,5266750.0,8039155.0,4824328.0,4795493.0,4528921.0,6038540.0,5138962.0,5952000.0,5124000.0,4577000.0,5943000.0,6282000.0,4943000.0,4913000.0,5084000.0,3104000.0,1629000.0,1712000.0,5386000.0,2669000.0,4656000.0,5117000.0,5603000.0,2552000.0,2356000.0,1208000.0,1326000.0,1281000.0,1237000.0,1289000.0,1741000.0,1313000.0,2027000.0,2023000.0,3341000.0,4189000.0,2902000.0,5396000.0,8274000.0,6733000.0,6123000.0,10956000.0,11807000.0,11887000.0,8761000.0,10368000.0,12963000.0,6033000.0
Pozostałe aktywa obrotowe,478854.0,603952.0,422057.0,391147.0,639917.0,319949.0,126584.0,455904.0,6236123.0,1170710.0,1224050.0,967987.0,6221989.0,997597.0,942973.0,-1293490.0,969816.0,925289.0,105160.0,757000.0,1033000.0,1554000.0,1281000.0,1012000.0,1042000.0,1091000.0,1094000.0,599000.0,413000.0,473000.0,428000.0,416000.0,374000.0,460000.0,480000.0,391000.0,462000.0,596000.0,635000.0,526000.0,514000.0,706000.0,765000.0,605000.0,163000.0,755000.0,643000.0,799000.0,1562000.0,603000.0,1100000.0,1240000.0,1356000.0,1347000.0,1660000.0,2219000.0,1108000.0,1526000.0,1774000.0,3181000.0
Aktywa trwałe przeznaczone do sprzedaży,3373.0,3309.0,3261.0,5712.0,5576.0,5664.0,5295.0,7572.0,0.0,1340686.0,1348282.0,33067.0,32683.0,24124.0,7275.0,9385.0,6076.0,12920.0,11494.0,8000.0,14000.0,17000.0,17000.0,16000.0,16000.0,16000.0,16000.0,16000.0,20000.0,20000.0,20000.0,12000.0,12000.0,12000.0,12000.0,12000.0,11000.0,12000.0,12000.0,9000.0,10000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0,7000.0,6000.0,2000.0,2000.0,13000.0,13000.0,14000.0,13000.0,19000.0,19000.0,22000.0,11000.0,0.0
Aktywa razem,47423420.0,48199798.0,48080632.0,54447798.0,54549855.0,53995219.0,54406742.0,51473939.0,57426067.0,55240262.0,52507807.0,58762631.0,62024388.0,59989013.0,58267624.0,56703604.0,59523142.0,60302973.0,60451641.0,61252000.0,60916000.0,63458000.0,62939000.0,66201000.0,66157000.0,57468000.0,59857000.0,61296000.0,60874000.0,60980000.0,65632000.0,67474000.0,67320000.0,67129000.0,67844000.0,72106000.0,72187000.0,71042000.0,73503000.0,75905000.0,78794000.0,79901000.0,82130000.0,77650000.0,80970000.0,75125000.0,77166000.0,81594000.0,84223000.0,79555000.0,85977000.0,88966000.0,94966000.0,93292000.0,98164000.0,105778000.0,120452000.0,111049000.0,113734000.0,113443000.0
Kapitał własny akcjonariuszy jednostki dominującej,23678206.0,23550591.0,24216959.0,31168324.0,32104859.0,31329006.0,35786250.0,37083954.0,38162284.0,37959100.0,38877866.0,40758868.0,42369926.0,39890161.0,41295718.0,40715421.0,42049826.0,41725187.0,42970502.0,43540000.0,44176000.0,43780000.0,44136000.0,44768000.0,45916000.0,38430000.0,39455000.0,40321000.0,41192000.0,40434000.0,40989000.0,42679000.0,43607000.0,44114000.0,45590000.0,45188000.0,46469000.0,46842000.0,47196000.0,46727000.0,47273000.0,48175000.0,48711000.0,42289000.0,42842000.0,41380000.0,41784000.0,42518000.0,43397000.0,45125000.0,46196000.0,47494000.0,48857000.0,54721000.0,55846000.0,53538000.0,54918000.0,54303000.0,55725000.0,46874000.0
