,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Rzeczowe składniki majątku trwałego,343491.0,328963.0,278531.0,433395.0,457844.0,562747.0,519785.0,555559.0,546690.0,594378.0,756186.0,890935.0,824937.0,935343.0,886536.0,900451.0,983861.0,1037151.0,1072585.0,1243347.0,935214.0,865567.0,862241.0,946478.0,672518.0,730555.0,740789.0,939661.0,811589.0,916636.0,860382.0,1123554.0,1052266.0,1035801.0,1034830.0,913093.0,952160.0,1080617.0,1002318.0,1156085.0,1206824.0,1592923.0,1815411.0,1858737.0,1673644.0,1647409.0,1463795.0,1335371.0,1401720.0,1355367.0,1489579.0,1453075.0,1413025.0,1483015.0,1340252.0,1373189.0,1376477.0,1293564.0,1404591.0,1293147.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5089.0,4983.0,0.0,0.0,7791.0,7116.0,7743.0,12.0,266.0,409.0,442.0,413.0,278.0,213.0,196.0,192.0,166.0,123.0,164.0,161.0,3362.0,2578.0,3434.0,7701.0,10622.0,13124.0,19865.0,24239.0,19207.0,4398.0,2896.0,2764.0,6687.0,4719.0,5562.0,6976.0,3347.0,5381.0,5234.0,2838.0,863.0,2218.0,2175.0,2724.0,3399.0,2936.0,3136.0,3224.0,957.0,930.0,957.0,1140.0,1044.0
Inwestycje długoterminowe,357.0,505.0,2208.0,3389.0,436.0,6115.0,5259.0,5188.0,92125.0,93566.0,103804.0,82210.0,72283.0,68820.0,77167.0,58952.0,5472.0,6134.0,3297.0,2878.0,1464.0,1369.0,1349.0,0.0,0.0,0.0,0.0,43.0,38.0,13.0,0.0,9.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,10071.0,10087.0,10145.0,12434.0,11391.0,10338.0,10424.0,11417.0,11172.0,12681.0,13296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,29679.0,28708.0,22388.0,56545.0,66167.0,67224.0,73082.0,60795.0,64186.0,59994.0,88409.0,94709.0,99708.0,95777.0,106091.0,114102.0,134775.0,107260.0,132177.0,167622.0,134203.0,90366.0,106709.0,182039.0,125684.0,122250.0,125251.0,118559.0,107935.0,117059.0,101901.0,91763.0,163340.0,121668.0,184102.0,164675.0,561006.0,576883.0,550421.0,450558.0,477014.0,93795.0,120694.0,131847.0,116826.0,119528.0,107471.0,111401.0,109792.0,119390.0,124736.0,128447.0,123301.0,133832.0,125315.0,141818.0,147054.0,150727.0,196369.0,161650.0
Aktywa obrotowe,411942.0,498736.0,475304.0,441923.0,483853.0,656898.0,752407.0,752295.0,820586.0,936560.0,1410225.0,1407184.0,1333019.0,1589269.0,1662008.0,1564591.0,1664782.0,1833169.0,1757889.0,1504189.0,1162374.0,1204360.0,1202644.0,1018408.0,939947.0,1034125.0,1034668.0,1022952.0,976106.0,1207617.0,1296536.0,1303116.0,1175206.0,1363283.0,1266949.0,1112412.0,1060694.0,1398002.0,1338080.0,1464984.0,1462408.0,1474913.0,1415244.0,1222313.0,1192079.0,1157989.0,970582.0,896231.0,914696.0,1438306.0,1462064.0,1588012.0,1602800.0,2062155.0,2227700.0,1800945.0,1694948.0,1684608.0,1874257.0,1630517.0
Zapasy,222348.0,111928.0,183687.0,285520.0,294512.0,169646.0,342280.0,473303.0,456783.0,204616.0,608953.0,847602.0,751277.0,399177.0,718442.0,951745.0,966513.0,437015.0,658299.0,1087271.0,575543.0,220973.0,577046.0,670362.0,508169.0,292077.0,567799.0,653646.0,548391.0,292079.0,661474.0,984849.0,743098.0,352093.0,609333.0,812187.0,743078.0,420676.0,760147.0,1010238.0,862845.0,1079693.0,716488.0,824791.0,638742.0,920206.0,651805.0,595005.0,499086.0,1194630.0,1161134.0,1234838.0,1202806.0,1540746.0,1607628.0,1299689.0,1238035.0,1315874.0,1462383.0,1184552.0
Należności krótkoterminowe,60952.0,75800.0,95857.0,66319.0,84686.0,101796.0,97478.0,115158.0,167276.0,160481.0,222796.0,243039.0,288823.0,230230.0,275201.0,267699.0,337058.0,277952.0,262182.0,187827.0,141090.0,130561.0,147049.0,85186.0,70139.0,81107.0,141370.0,159495.0,144374.0,178958.0,206415.0,201703.0,145992.0,255298.0,183831.0,161234.0,142243.0,156067.0,112163.0,326710.0,401101.0,317459.0,314799.0,264423.0,204658.0,213725.0,223357.0,175390.0,205417.0,225525.0,249926.0,298565.0,296597.0,366847.0,386302.0,377931.0,317237.0,274254.0,281692.0,387981.0
Inwestycje krótkoterminowe,30413.0,11791.0,5063.0,7929.0,15414.0,7670.0,10641.0,9560.0,14302.0,23928.0,44483.0,77722.0,53818.0,51988.0,45848.0,48780.0,33870.0,39972.0,25563.0,27873.0,32657.0,12707.0,57050.0,148575.0,148357.0,31278.0,31226.0,132997.0,142927.0,73317.0,119619.0,55030.0,181017.0,132518.0,110589.0,64257.0,63052.0,100199.0,65831.0,58016.0,45383.0,76489.0,35947.0,55501.0,172578.0,10910.0,88866.0,103593.0,76503.0,17785.0,50100.0,54103.0,103118.0,154249.0,233015.0,123100.0,130105.0,93843.0,125768.0,57789.0
Środki pieniężne i inne aktywa pieniężne,7875.0,11791.0,5063.0,7929.0,12541.0,5456.0,8779.0,4439.0,10415.0,15364.0,15117.0,22552.0,15473.0,40614.0,25954.0,31091.0,15431.0,21966.0,9765.0,10675.0,20660.0,6404.0,52110.0,54707.0,83027.0,15997.0,22677.0,71516.0,124578.0,53894.0,105610.0,49168.0,165049.0,121499.0,102281.0,59769.0,58250.0,96509.0,62482.0,56794.0,43215.0,73704.0,33694.0,52550.0,171376.0,10200.0,87779.0,102928.0,75455.0,16967.0,49076.0,53082.0,102290.0,153823.0,232606.0,122678.0,130105.0,93287.0,125768.0,57676.0
Pozostałe aktywa obrotowe,98229.0,299217.0,190697.0,82156.0,89240.0,377786.0,302007.0,154273.0,182225.0,547536.0,533993.0,238821.0,239101.0,907874.0,622517.0,296366.0,327341.0,1078231.0,811844.0,201218.0,413084.0,840119.0,421500.0,114285.0,213282.0,629663.0,294273.0,76814.0,140413.0,663263.0,309028.0,61533.0,105098.0,623375.0,363197.0,74734.0,112321.0,721060.0,399940.0,70021.0,153079.0,1271.0,348012.0,70623.0,169792.0,7302.0,1453.0,1292.0,133690.0,366.0,903.0,506.0,279.0,314.0,755.0,225.0,9571.0,636.0,4413.0,196.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6975.0,6309.0,5846.0,5102.0,20951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,808374.0,877324.0,794736.0,950695.0,1023657.0,1312971.0,1367102.0,1396556.0,1547073.0,1707616.0,2389838.0,2518570.0,2367534.0,2728306.0,2758899.0,2662849.0,2813809.0,3007803.0,2991823.0,2941572.0,2250738.0,2177362.0,2187515.0,2159025.0,1749855.0,1899262.0,1912452.0,2095120.0,1907253.0,2258519.0,2282070.0,2541898.0,2415705.0,2552109.0,2521069.0,2224328.0,2593888.0,3074527.0,2897991.0,3092973.0,3166174.0,3182375.0,3376555.0,3233343.0,3003316.0,2945796.0,2560838.0,2359806.0,2443288.0,2931314.0,3082338.0,3176148.0,3144797.0,3684601.0,3698448.0,3318540.0,3221578.0,3130777.0,3477238.0,3088258.0
Kapitał własny akcjonariuszy jednostki dominującej,283324.0,358864.0,321344.0,486546.0,574019.0,767483.0,801371.0,827473.0,858799.0,980114.0,1330758.0,1353577.0,1275218.0,1577895.0,1585989.0,1405781.0,1517077.0,1726329.0,1735121.0,1612274.0,1101415.0,1178762.0,1062899.0,938618.0,588722.0,874042.0,878975.0,1024793.0,990538.0,1351353.0,1268698.0,1562446.0,1596591.0,1733161.0,1696148.0,1450639.0,1517699.0,1822503.0,1551697.0,1560767.0,1600862.0,1773892.0,1924555.0,1868438.0,1650364.0,1760926.0,1558731.0,1556692.0,1688557.0,2001064.0,2199043.0,2277356.0,2195882.0,2457867.0,2380762.0,2294482.0,2313643.0,2306688.0,2498788.0,2168830.0
Kapitał (fundusz) podstawowy,1175.0,1117.0,1056.0,1027.0,966.0,1036.0,997.0,990.0,1003.0,997.0,1103.0,1104.0,1040.0,1065.0,1028.0,1022.0,1044.0,1082.0,1054.0,1037.0,1043.0,1040.0,1044.0,1066.0,1022.0,1049.0,1060.0,1065.0,1067.0,1106.0,1078.0,1106.0,1055.0,1057.0,1077.0,1043.0,1052.0,1090.0,1068.0,1075.0,1075.0,1063.0,1093.0,1065.0,1138.0,1117.0,1132.0,1154.0,1165.0,1130.0,1158.0,1150.0,1163.0,1170.0,1217.0,1172.0,1169.0,1113.0,1159.0,1087.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9718.0,-9323.0,-16870.0,-18705.0,-20225.0,-20493.0,-21247.0,-20702.0,-21240.0,-20259.0,-20291.0,-20688.0,-20024.0,-20205.0,-20940.0,-21656.0,-23766.0,-23773.0,-23501.0,-24173.0,-23537.0,-25161.0,-24684.0,-25020.0,-25506.0,-25757.0,-25669.0,-26310.0,-28070.0,-28394.0,-28566.0,-29720.0,-28622.0,-28535.0,-27160.0,-28291.0,-23153.0
Kapitał (fundusz) zapasowy,264002.0,258200.0,246110.0,228790.0,215020.0,230730.0,221892.0,220343.0,223350.0,221675.0,245276.0,245742.0,231543.0,237090.0,228884.0,227459.0,232422.0,240868.0,234586.0,230742.0,232083.0,231504.0,232316.0,237146.0,227504.0,233368.0,235827.0,237101.0,237485.0,246226.0,239911.0,246143.0,234781.0,235154.0,239750.0,232061.0,234153.0,242671.0,237652.0,239243.0,239316.0,236573.0,243338.0,236934.0,253281.0,248479.0,251862.0,256758.0,259290.0,251528.0,257765.0,255901.0,258856.0,260419.0,270946.0,260937.0,260135.0,247606.0,257916.0,241914.0
Udziały niekontrolujące,4217.0,398.0,312.0,308.0,494.0,556.0,431.0,444.0,413.0,395.0,463.0,1555.0,1228.0,1295.0,1082.0,1051.0,1003.0,1290.0,856.0,212.0,154.0,150.0,121.0,136.0,90.0,71.0,72.0,68.0,47.0,35.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,228507.0,211269.0,206088.0,264059.0,231790.0,280422.0,325893.0,269934.0,313642.0,323309.0,462558.0,566044.0,555636.0,586990.0,566565.0,702704.0,710576.0,691044.0,601577.0,555323.0,506842.0,486451.0,511946.0,527835.0,496270.0,449745.0,380711.0,385772.0,335266.0,345853.0,308248.0,328703.0,281478.0,259854.0,285797.0,245825.0,534412.0,648064.0,308233.0,328576.0,358802.0,360263.0,407969.0,489353.0,445156.0,440888.0,651760.0,524301.0,489560.0,481736.0,544417.0,541372.0,549707.0,586648.0,546742.0,490953.0,505655.0,471487.0,551701.0,552309.0
Z tytułu dostaw i usług,17837.0,56053.0,16603.0,16153.0,32249.0,81274.0,63613.0,22257.0,62758.0,62518.0,101118.0,40299.0,56660.0,82286.0,90142.0,63257.0,67703.0,55141.0,65998.0,47635.0,131467.0,124232.0,97899.0,21188.0,197670.0,197535.0,220924.0,198437.0,64624.0,23623.0,36126.0,28389.0,77083.0,44543.0,39842.0,29342.0,52463.0,25555.0,39139.0,29339.0,109589.0,81290.0,62547.0,25487.0,46716.0,23960.0,26821.0,19917.0,47652.0,44539.0,36007.0,34965.0,65540.0,52381.0,58004.0,39719.0,43959.0,42674.0,68319.0,48458.0
Kredyty i pożyczki,233744.0,203555.0,164572.0,132937.0,143925.0,133719.0,125327.0,224997.0,256224.0,285273.0,380872.0,451543.0,387899.0,362662.0,387080.0,406829.0,429370.0,408300.0,502891.0,520138.0,427554.0,276280.0,399299.0,617688.0,367135.0,298138.0,343030.0,370354.0,458857.0,458486.0,567554.0,487149.0,314016.0,398813.0,400643.0,421057.0,363433.0,324302.0,859961.0,991584.0,937843.0,799329.0,735228.0,633712.0,669671.0,528145.0,140439.0,83103.0,41994.0,254286.0,86116.0,81087.0,96828.0,304567.0,421710.0,247434.0,145740.0,124355.0,135995.0,74838.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69512.0,112307.0,55037.0,76291.0,74228.0,89781.0,118008.0,153617.0,134129.0,134735.0,120119.0,119357.0,117565.0,113969.0,148132.0,152148.0,155696.0,186232.0,142466.0,137386.0,124125.0,116175.0,139082.0,137201.0
Inne zobowiązania długoterminowe,28842.0,33450.0,29005.0,48641.0,54704.0,53833.0,62121.0,49052.0,47621.0,61740.0,78612.0,90827.0,82366.0,88469.0,79544.0,69851.0,62327.0,71739.0,67743.0,81045.0,59516.0,63928.0,59083.0,74126.0,51133.0,50127.0,52232.0,85490.0,74953.0,94861.0,85059.0,115475.0,107242.0,106842.0,100699.0,59148.0,56297.0,53652.0,48822.0,67974.0,65242.0,64137.0,61239.0,46545.0,39600.0,38108.0,32086.0,27389.0,26107.0,24810.0,24304.0,21470.0,19624.0,18722.0,16173.0,38481.0,36310.0,32741.0,34257.0,26801.0
