,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Rzeczowe składniki majątku trwałego,60944.0,63870.0,63858.0,62912.0,60587.0,59143.0,59177.0,63438.0,72249.0,72529.0,65604.0,73231.0,78278.0,98676.0,101486.0,241787.0,243570.0,245160.0,243667.0,260071.0,168655.0,257928.0,256673.0,254018.0,252155.0,164564.0,163682.0,176596.0,174894.0,188251.0,189527.0,188588.0,201198.0,202271.0,201889.0,201575.0,202889.0,203632.0,204471.0,204989.0,205232.0,207695.0,205157.0,202842.0,200480.0,198253.0,196315.0,195215.0,193325.0,192205.0,190982.0,190552.0,188559.0,186724.0,185843.0,187522.0,185197.0,185294.0,184216.0,193963.0,192997.0,196918.0,196916.0,198419.0,197763.0,198103.0,200229.0,203154.0,203441.0,205045.0,204496.0,222016.0,221399.0,222098.0,227115.0,232410.0,233374.0
Należności długoterminowe,80.0,71.0,2070.0,1893.0,2045.0,1906.0,2015.0,1619.0,0.0,1619.0,0.0,819.0,0.0,1123.0,1520.0,769.0,840.0,790.0,840.0,404.0,420.0,406.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,1233.0,1261.0,1192.0,585.0,591.0,594.0,643.0,0.0,0.0,98.0,0.0,0.0,0.0,2123.0,1887.0,515.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,8756.0,6164.0,3932.0,4944.0,2277.0,2431.0,2646.0,4729.0,26.0,26.0,38.0,53.0,53.0,26.0,26.0,619.0,619.0,619.0,1526.0,1526.0,1526.0,1526.0,1526.0,1526.0,1526.0,1527.0,1527.0,1935.0,1935.0,1936.0,1935.0,3009.0,1502.0,1557.0,1557.0,5258.0,1557.0,1558.0,1722.0,7663.0,7517.0,7336.0,7166.0,9163.0,9011.0,8868.0,8720.0,49578.0,49508.0,49365.0,49174.0,7127.0,6974.0,2618.0,2638.0,39294.0,39294.0,37438.0,39294.0,39347.0,39371.0,37662.0,37795.0,37801.0,38123.0,38134.0,38232.0,41716.0,46420.0,46942.0,47097.0,47147.0,46873.0,45948.0,46482.0,46390.0,46385.0
Pozostałe aktywa trwałe,1637.0,2101.0,1908.0,1679.0,1246.0,1605.0,3024.0,4062.0,5117.0,3851.0,9171.0,8109.0,7897.0,8110.0,7061.0,19066.0,15937.0,15292.0,17428.0,14706.0,102432.0,11795.0,9912.0,9116.0,8381.0,6743.0,6310.0,4995.0,4363.0,4880.0,4209.0,6122.0,5297.0,5039.0,3989.0,18792.0,40357.0,40341.0,40612.0,41019.0,41041.0,40609.0,40436.0,40836.0,41213.0,40932.0,40676.0,47440.0,46360.0,45494.0,44658.0,45648.0,41611.0,41993.0,40924.0,5214.0,5620.0,6308.0,4172.0,4778.0,6102.0,5793.0,5176.0,4554.0,5555.0,4989.0,6032.0,9924.0,12667.0,10694.0,11498.0,10174.0,10636.0,9649.0,8966.0,11326.0,12354.0
Aktywa obrotowe,144486.0,134957.0,142349.0,149271.0,155694.0,146580.0,165370.0,157795.0,180090.0,187011.0,190718.0,207406.0,219942.0,222673.0,208966.0,239215.0,208237.0,186633.0,188883.0,165631.0,168655.0,160597.0,139336.0,132530.0,137697.0,211127.0,217808.0,159029.0,153112.0,142004.0,146265.0,138080.0,143178.0,142980.0,148434.0,140429.0,136434.0,138523.0,135871.0,138213.0,147665.0,127639.0,120197.0,137803.0,137139.0,128256.0,129257.0,145575.0,152227.0,141969.0,163527.0,219125.0,202950.0,209640.0,212492.0,223472.0,230369.0,220682.0,202033.0,197474.0,197918.0,216634.0,195284.0,185955.0,206609.0,212630.0,217544.0,263408.0,286875.0,310514.0,337291.0,339116.0,362884.0,375378.0,341160.0,389040.0,382824.0
Zapasy,74791.0,68765.0,61156.0,69878.0,63346.0,63559.0,60995.0,72156.0,78800.0,86214.0,93143.0,96614.0,110403.0,111434.0,100904.0,127316.0,104727.0,87944.0,76554.0,70266.0,67025.0,63754.0,62067.0,62612.0,61511.0,56754.0,56146.0,57919.0,55606.0,59652.0,60252.0,48850.0,50933.0,51069.0,50631.0,55021.0,51356.0,53492.0,56965.0,54320.0,57236.0,54573.0,56376.0,58119.0,58028.0,56941.0,61735.0,54761.0,56262.0,55449.0,60340.0,78174.0,91694.0,89062.0,97794.0,100657.0,92309.0,90056.0,84311.0,81903.0,75057.0,77242.0,84266.0,86055.0,89239.0,84868.0,96778.0,124096.0,155624.0,196663.0,221364.0,225530.0,211280.0,216478.0,210983.0,220310.0,197408.0
Należności krótkoterminowe,65006.0,59822.0,58830.0,61381.0,67861.0,60219.0,87568.0,75836.0,89129.0,94946.0,90581.0,100241.0,101571.0,103537.0,104779.0,108327.0,99209.0,92428.0,97328.0,87908.0,92552.0,89092.0,71179.0,65300.0,68326.0,54773.0,60203.0,84173.0,85078.0,76017.0,77528.0,77205.0,63628.0,69556.0,60709.0,67557.0,71945.0,67181.0,62868.0,69334.0,72803.0,63324.0,52804.0,69485.0,68611.0,60452.0,56797.0,80254.0,86926.0,78025.0,95401.0,96976.0,103210.0,109257.0,87012.0,96918.0,103839.0,89073.0,86115.0,87039.0,87552.0,85528.0,72830.0,70040.0,109052.0,102017.0,99465.0,105239.0,113915.0,103402.0,103098.0,102641.0,125365.0,88212.0,77567.0,83401.0,122554.0
Inwestycje krótkoterminowe,2967.0,2427.0,18660.0,15006.0,15363.0,16082.0,10397.0,7037.0,10888.0,4953.0,6245.0,10092.0,6677.0,6485.0,1926.0,2075.0,1896.0,3884.0,12653.0,5652.0,6384.0,4495.0,3578.0,2118.0,4573.0,3506.0,2872.0,13977.0,9582.0,3578.0,5981.0,9379.0,25130.0,18290.0,32547.0,13116.0,6603.0,10872.0,8464.0,6926.0,8823.0,5473.0,6790.0,6275.0,5991.0,6278.0,6504.0,6343.0,7422.0,7202.0,6868.0,6458.0,5875.0,9339.0,25963.0,24383.0,31966.0,39609.0,29256.0,26863.0,32707.0,51408.0,35964.0,29733.0,8318.0,25710.0,21252.0,34073.0,17336.0,10449.0,12829.0,10945.0,26239.0,70688.0,52610.0,85329.0,62862.0
Środki pieniężne i inne aktywa pieniężne,2967.0,2427.0,18660.0,15006.0,15363.0,16082.0,10397.0,7037.0,10724.0,4728.0,6196.0,9954.0,5703.0,5909.0,1694.0,1983.0,1790.0,3686.0,5501.0,5501.0,6293.0,4421.0,3363.0,1890.0,4573.0,3506.0,2872.0,13977.0,8814.0,2976.0,5445.0,7441.0,21076.0,12202.0,25916.0,6566.0,5527.0,5508.0,4867.0,6232.0,7088.0,4405.0,6113.0,5495.0,5097.0,5678.0,5339.0,5525.0,5956.0,6318.0,6027.0,5299.0,4820.0,9339.0,25154.0,23630.0,31238.0,39557.0,29237.0,26260.0,32707.0,51408.0,35964.0,29733.0,8318.0,25710.0,21252.0,33748.0,16809.0,9674.0,12047.0,9702.0,25386.0,70064.0,52084.0,84797.0,62230.0
Pozostałe aktywa obrotowe,1722.0,3943.0,3703.0,3006.0,9124.0,6720.0,6410.0,2766.0,1273.0,898.0,749.0,459.0,1291.0,1217.0,1357.0,1497.0,2405.0,2377.0,2348.0,1805.0,2694.0,2440.0,2512.0,2500.0,3287.0,2667.0,2051.0,2960.0,2846.0,2757.0,2504.0,2646.0,3487.0,4065.0,4547.0,4735.0,6530.0,6978.0,7574.0,7633.0,8803.0,4269.0,4227.0,3924.0,4509.0,4585.0,4221.0,4217.0,1617.0,1293.0,918.0,1074.0,2171.0,1982.0,1723.0,1514.0,2255.0,1944.0,2351.0,1669.0,2602.0,2456.0,2224.0,127.0,0.0,35.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
