,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Rzeczowe składniki majątku trwałego,11403.0,31963.0,35572.0,38512.0,58777.0,79286.0,90737.0,91452.0,105410.0,109705.0,28451.0,26303.0,25259.0,24484.0,23422.0,22263.0,21308.0,20666.0,19070.0,18443.0,17552.0,18391.0,14745.0,13856.0,13063.0,14413.0,13946.0,13489.0,13891.0,16251.0,37538.0,37050.0,37308.0,36073.0,36248.0,37055.0,38082.0,38306.0,38020.0,37945.0,38506.0,38862.0,37872.0,37190.0,37006.0,36475.0,35470.0,35359.0,38076.0,68894.0,68511.0,83879.0,82924.0,78397.0,73739.0,69040.0,71426.0,67021.0,67837.0,75205.0,63375.0,57508.0,59796.0,57336.0,63921.0,62297.0,59763.0,58721.0,62561.0
Należności długoterminowe,0.0,0.0,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,951.0,6938.0,11966.0,13306.0,12006.0,10006.0,10006.0,18231.0,12006.0,11006.0,6598.0,6598.0,6598.0,6598.0,6598.0,6598.0,6598.0,6598.0,6598.0,6263.0,6338.0,6749.0,6388.0,6438.0,7531.0,6412.0,6422.0,6422.0,3441.0,3126.0,3126.0,3126.0,4283.0,4283.0,14963.0,14963.0,15344.0,15806.0,16614.0,17232.0,32445.0,32691.0,34428.0,37558.0,51184.0,53674.0,55746.0,59802.0,79351.0,83189.0,87723.0,70110.0,82225.0,83274.0,84786.0,87860.0,112098.0,112886.0,110374.0,110326.0,78213.0,115822.0,78293.0,78782.0,74820.0,75272.0,74995.0,76666.0,72297.0
Pozostałe aktywa trwałe,307.0,663.0,-1283.0,1835.0,1338.0,1585.0,2047.0,1420.0,1763.0,1702.0,847.0,869.0,860.0,862.0,940.0,843.0,899.0,909.0,1280.0,1377.0,1314.0,1323.0,1329.0,1221.0,1033.0,707.0,404.0,198.0,50.0,3036.0,2902.0,2712.0,1204.0,1213.0,968.0,22082.0,22716.0,22399.0,22057.0,22759.0,20449.0,20620.0,19731.0,19396.0,17716.0,17342.0,17018.0,16748.0,2684.0,3579.0,3638.0,3192.0,7987.0,8862.0,9151.0,9669.0,9270.0,9178.0,10091.0,6191.0,10403.0,10626.0,8809.0,8782.0,10258.0,9934.0,8249.0,7847.0,7550.0
Aktywa obrotowe,20341.0,57654.0,56438.0,60020.0,68846.0,66993.0,83384.0,101571.0,73744.0,68133.0,89283.0,89640.0,83649.0,77423.0,78025.0,96678.0,102746.0,103201.0,81938.0,76987.0,75787.0,72816.0,79186.0,79290.0,87918.0,88928.0,91163.0,93054.0,84228.0,91829.0,72038.0,75679.0,96057.0,95921.0,126254.0,95082.0,118297.0,109470.0,124387.0,115010.0,139782.0,119372.0,125918.0,125972.0,135501.0,121163.0,134115.0,122530.0,136135.0,109464.0,125969.0,125393.0,128890.0,115143.0,130972.0,120226.0,116515.0,102290.0,133220.0,127169.0,183764.0,151255.0,211240.0,191631.0,205291.0,181660.0,201147.0,188258.0,209899.0
Zapasy,13137.0,18728.0,22469.0,36248.0,47001.0,48344.0,55605.0,54177.0,50179.0,46285.0,43946.0,30287.0,26071.0,19877.0,22613.0,35053.0,28876.0,26713.0,24315.0,30860.0,21850.0,24491.0,21621.0,31686.0,20784.0,22229.0,16785.0,27346.0,18207.0,21382.0,20950.0,33246.0,28943.0,33463.0,30112.0,48794.0,50656.0,47527.0,46296.0,60976.0,58035.0,51539.0,44340.0,52272.0,44059.0,52237.0,50080.0,74119.0,69551.0,63862.0,77942.0,83833.0,82858.0,71651.0,68294.0,67504.0,56262.0,52152.0,58661.0,67329.0,62900.0,53523.0,53445.0,80815.0,87202.0,66522.0,79987.0,80428.0,79864.0
Należności krótkoterminowe,6304.0,11032.0,15207.0,18554.0,14166.0,14094.0,18870.0,21385.0,17403.0,17247.0,10889.0,16387.0,10419.0,12089.0,19359.0,10178.0,14511.0,12913.0,20409.0,14086.0,8713.0,9040.0,15128.0,12054.0,12118.0,14171.0,17318.0,14745.0,13574.0,29840.0,28152.0,14363.0,12440.0,14647.0,48015.0,15431.0,17838.0,16775.0,20531.0,18248.0,19077.0,17325.0,18309.0,20960.0,20579.0,22589.0,30239.0,25943.0,25014.0,21089.0,33135.0,30198.0,28958.0,29068.0,31334.0,32739.0,33339.0,28699.0,42696.0,40711.0,23199.0,33426.0,24728.0,23844.0,19357.0,19484.0,16697.0,12553.0,13375.0
Inwestycje krótkoterminowe,866.0,27577.0,18278.0,4222.0,5845.0,1950.0,6585.0,24023.0,4770.0,3460.0,5139.0,13019.0,18004.0,16191.0,7174.0,10788.0,19420.0,23503.0,12684.0,9056.0,23633.0,17242.0,20932.0,13942.0,33573.0,30397.0,34567.0,28508.0,30418.0,18482.0,22707.0,27578.0,54318.0,47564.0,47787.0,30049.0,49106.0,43636.0,55329.0,34067.0,61266.0,48346.0,62353.0,52045.0,70102.0,44970.0,52160.0,21267.0,40780.0,23284.0,13441.0,10131.0,16153.0,13362.0,30473.0,18960.0,26315.0,19739.0,30593.0,18320.0,75400.0,63815.0,132632.0,86831.0,98652.0,94569.0,103682.0,94616.0,116432.0
Środki pieniężne i inne aktywa pieniężne,866.0,27577.0,13153.0,2868.0,5800.0,1950.0,3386.0,1148.0,2142.0,983.0,3058.0,12004.0,16995.0,16191.0,7174.0,10788.0,19420.0,23503.0,12684.0,9056.0,23633.0,17242.0,14697.0,7584.0,26998.0,29311.0,33077.0,26196.0,27601.0,18482.0,6651.0,11203.0,37625.0,31764.0,47787.0,30049.0,49106.0,43636.0,54604.0,34067.0,61266.0,48346.0,62353.0,52045.0,69083.0,43574.0,50401.0,19524.0,40270.0,20762.0,10891.0,7530.0,13643.0,13362.0,30473.0,18960.0,26213.0,19739.0,29889.0,18320.0,74791.0,28448.0,97722.0,51131.0,62883.0,26888.0,35346.0,19047.0,41241.0
Pozostałe aktywa obrotowe,34.0,317.0,484.0,996.0,1834.0,2605.0,2324.0,1986.0,1392.0,1141.0,897.0,1535.0,743.0,854.0,467.0,1359.0,639.0,772.0,830.0,1766.0,372.0,824.0,286.0,389.0,224.0,912.0,1274.0,1236.0,170.0,266.0,229.0,492.0,356.0,247.0,340.0,808.0,697.0,1532.0,2231.0,1719.0,1404.0,2162.0,916.0,695.0,761.0,1367.0,1636.0,1201.0,790.0,1229.0,1451.0,1231.0,921.0,1062.0,871.0,1023.0,599.0,1700.0,1270.0,809.0,295.0,491.0,435.0,141.0,80.0,1085.0,781.0,661.0,228.0
