,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Aktywa obrotowe,308245.0,947498.0,990823.0,974483.0,991839.0,974663.0,1061520.0,1011207.0,1014999.0,1033765.0,1076148.0,863194.0,780702.0,795218.0,812416.0,805795.0,795876.0,894702.0,843171.0,830014.0,827480.0,879947.0,927926.0,886511.0,885067.0,900974.0,908227.0,954190.0,989483.0,993548.0,1107716.0,1046384.0,1129429.0,1126001.0,1228255.0,1123357.0,1168995.0,1135015.0,1293801.0,1276180.0,1292842.0,1352726.0,1348007.0,1378931.0,1495755.0,1470256.0,1474194.0,1528196.0,1933181.0,1872143.0,2064427.0,2009216.0,1743185.0,1765364.0,1735688.0,1762561.0,1820025.0,1966504.0,2345199.0,2724390.0,2789426.0,2547543.0,2609248.0,2702247.0,2904856.0,2707594.0,3437718.0,3375858.0
Zapasy,244885.0,475743.0,572770.0,674665.0,816389.0,834291.0,899173.0,879155.0,903416.0,928652.0,963952.0,689624.0,667192.0,662965.0,673163.0,669440.0,652352.0,674355.0,618543.0,647617.0,675544.0,695354.0,741090.0,703467.0,697305.0,711083.0,787919.0,721592.0,731294.0,792216.0,823900.0,729555.0,758870.0,887128.0,938085.0,830344.0,917913.0,829290.0,915817.0,884540.0,904122.0,944416.0,922424.0,977865.0,937750.0,919916.0,929220.0,979083.0,849981.0,817038.0,893168.0,1062028.0,1097770.0,1201661.0,1256178.0,1245976.0,1268953.0,1316344.0,1354107.0,1569632.0,1654853.0,1897261.0,1948829.0,1657216.0,1648562.0,1665873.0,2361439.0,2213417.0
Należności krótkoterminowe,14048.0,51839.0,47645.0,78089.0,85527.0,79640.0,88304.0,59641.0,16999.0,11850.0,11102.0,6762.0,5602.0,6975.0,7056.0,7358.0,7878.0,15841.0,37593.0,21745.0,19725.0,21361.0,27810.0,26244.0,16597.0,23580.0,31480.0,39611.0,32974.0,40244.0,43460.0,23513.0,30115.0,50767.0,41315.0,37896.0,31335.0,27423.0,32062.0,26854.0,31384.0,32312.0,36903.0,33163.0,46377.0,38520.0,39230.0,55797.0,72870.0,70626.0,67238.0,131652.0,121557.0,49953.0,34606.0,28385.0,39016.0,36955.0,67291.0,102126.0,70490.0,37787.0,27608.0,23851.0,32727.0,87218.0,106751.0,251511.0
Inwestycje krótkoterminowe,31520.0,419254.0,369919.0,220708.0,86144.0,58234.0,72348.0,71640.0,88995.0,89242.0,99128.0,166564.0,104445.0,122815.0,130916.0,128770.0,132008.0,201923.0,185661.0,160263.0,128212.0,160391.0,157014.0,156238.0,166700.0,163001.0,86735.0,191955.0,216232.0,154621.0,235619.0,291767.0,330198.0,180671.0,243833.0,253108.0,208653.0,269294.0,338824.0,360322.0,339971.0,361322.0,377316.0,361163.0,494852.0,498527.0,496315.0,487988.0,510401.0,515096.0,637335.0,366705.0,514125.0,508575.0,440687.0,485054.0,502589.0,605751.0,536826.0,478346.0,846671.0,384757.0,409881.0,481588.0,634106.0,747387.0,746295.0,678384.0
Środki pieniężne i inne aktywa pieniężne,31520.0,419254.0,369919.0,220708.0,86144.0,58234.0,72348.0,71640.0,88995.0,89242.0,99128.0,48965.0,104445.0,122815.0,130916.0,128723.0,131961.0,201876.0,185614.0,160216.0,128165.0,160374.0,155364.0,153028.0,165177.0,162984.0,86407.0,190319.0,213303.0,148543.0,214408.0,286435.0,297704.0,166602.0,225038.0,242087.0,203401.0,261839.0,325013.0,354851.0,325141.0,337297.0,372773.0,344248.0,479122.0,475550.0,479891.0,467698.0,493214.0,498680.0,622321.0,340890.0,485328.0,481357.0,380484.0,377036.0,360855.0,483702.0,394431.0,332754.0,720672.0,228084.0,263625.0,352119.0,574736.0,658845.0,625352.0,498970.0
Pozostałe aktywa obrotowe,7845.0,662.0,489.0,1021.0,3779.0,2498.0,1695.0,771.0,5589.0,4021.0,1966.0,244.0,3463.0,2463.0,1281.0,227.0,3638.0,2583.0,1374.0,389.0,3999.0,2841.0,2012.0,562.0,4465.0,3310.0,2093.0,1032.0,8983.0,6467.0,4737.0,1549.0,10246.0,7435.0,5022.0,2009.0,11094.0,9008.0,7098.0,4464.0,17365.0,14676.0,11364.0,6740.0,16776.0,13293.0,9429.0,5328.0,11929.0,6882.0,5368.0,2549.0,9733.0,5175.0,4217.0,3146.0,9467.0,7454.0,5896.0,5756.0,8215.0,17565.0,5616.0,4694.0,57357.0,5411.0,13979.0,38241.0
Aktywa trwałe przeznaczone do sprzedaży,9947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488000.0,462501.0,461318.0,446282.0,0.0,0.0,0.0,0.0,0.0,0.0,381079.0,568530.0,209197.0,210173.0,217314.0,534898.0,532104.0,201705.0,209254.0,194305.0
Aktywa razem,635760.0,1321595.0,1509137.0,1536979.0,1564974.0,1566209.0,1672445.0,1668423.0,1707882.0,1713680.0,1746567.0,1301785.0,1205550.0,1236068.0,1244151.0,1278942.0,1272531.0,1377343.0,1443383.0,1467371.0,1492989.0,1567260.0,1618689.0,1670397.0,1709719.0,1794542.0,1857115.0,2413948.0,2462312.0,2480135.0,2621043.0,2640752.0,2691566.0,2717510.0,2878947.0,2890885.0,2955981.0,3046826.0,3174410.0,3197105.0,3149766.0,3227985.0,3277887.0,3299649.0,3472332.0,3511655.0,3492117.0,3574668.0,3529227.0,3505742.0,3287123.0,3243925.0,3046893.0,3009153.0,3003755.0,2816241.0,2882449.0,3019274.0,3035358.0,3249840.0,3324678.0,3104738.0,3218761.0,2948932.0,3151165.0,3061972.0,3866828.0,3808066.0
Kapitał własny akcjonariuszy jednostki dominującej,368875.0,787038.0,889223.0,897570.0,908581.0,930390.0,931224.0,939547.0,941747.0,945103.0,947195.0,894413.0,908741.0,920019.0,928304.0,943970.0,957227.0,974385.0,993104.0,1005288.0,1012130.0,1018480.0,1024050.0,1079084.0,1096421.0,1123541.0,1139016.0,1184776.0,1200465.0,1213348.0,1223330.0,1255153.0,1276060.0,1297611.0,1321776.0,1364610.0,1381501.0,1374760.0,1365871.0,1396152.0,1408899.0,1410124.0,1467725.0,1448376.0,1526937.0,1488070.0,1484413.0,1497799.0,1603596.0,1496143.0,1528847.0,1492111.0,1566847.0,1510123.0,1479567.0,1317788.0,1352535.0,1297648.0,1326861.0,1400409.0,1416797.0,1219796.0,1256929.0,1434570.0,1494619.0,1328346.0,1382844.0,1546858.0
Kapitał (fundusz) podstawowy,331125.0,389559.0,446558.0,446558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0
