,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Rzeczowe składniki majątku trwałego,5289.0,5873.0,6687.0,6547.0,6670.0,6818.0,7182.0,6781.0,6066.0,6087.0,5707.0,5455.0,5263.0,6225.0,5817.0,4611.0,4559.0,5035.0,4792.0,4713.0,4790.0,5178.0,5123.0,5308.0,5480.0,5247.0,4933.0,4690.0,4908.0,5528.0,5626.0,6286.0,6151.0,6454.0,6908.0,7032.0,7160.0,7739.0,7508.0,7576.0,7393.0,10092.0,10089.0,10528.0,10778.0,12182.0,12122.0,12024.0,47083.0,45719.0,44835.0,44019.0,42455.0,40511.0,39828.0,38132.0,36519.0,36246.0,35889.0,35266.0,35659.0,37948.0,35111.0,47113.0,54679.0,55936.0,58634.0,62146.0
Należności długoterminowe,1518.0,11518.0,11553.0,1552.0,0.0,0.0,0.0,2910.0,2918.0,2571.0,2441.0,2438.0,2432.0,2528.0,1154.0,15791.0,16053.0,16292.0,1257.0,1588.0,1680.0,1681.0,1681.0,1679.0,1679.0,1601.0,1601.0,1601.0,1601.0,1601.0,1601.0,1626.0,1626.0,1642.0,1642.0,1523.0,1523.0,1523.0,1523.0,1598.0,1597.0,1653.0,1612.0,1612.0,1612.0,1612.0,1615.0,1618.0,1618.0,1618.0,1909.0,1876.0,1761.0,1761.0,1761.0,1761.0,3335.0,3547.0,14935.0,11499.0,7818.0,10209.0,12637.0,8817.0,9135.0,9171.0,9264.0,7313.0
Inwestycje długoterminowe,841.0,841.0,841.0,1024.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1042.0,1014.0,1014.0,1014.0,1014.0,1667.0,0.0,0.0,0.0,0.0,655.0,405.0,204.0,38.0,38.0,72.0,72.0,9.0,9.0,594.0,202.0,2645.0,2682.0,2756.0,4957.0,6651.0,6314.0,6289.0,6295.0,7413.0,7235.0,3787.0,3443.0,6767.0,6081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22887.0,22555.0,21249.0,22921.0,23497.0
Pozostałe aktywa trwałe,9127.0,7749.0,14490.0,12051.0,11310.0,15002.0,14842.0,8794.0,7017.0,7415.0,7238.0,74.0,8998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,1104.0,1434.0,4060.0,7352.0,25072.0,25942.0,27211.0,30255.0,32921.0,8724.0,14158.0,12322.0,12653.0,13035.0,15296.0,17543.0,39513.0,43235.0,49267.0,68492.0,77755.0,75956.0,52058.0,61026.0,63314.0,43499.0
Aktywa obrotowe,958922.0,1001584.0,975698.0,1230186.0,1252790.0,1308073.0,1394710.0,1743697.0,1705159.0,1635447.0,1621606.0,1568601.0,1434241.0,1551139.0,1601533.0,1600828.0,1682759.0,1744903.0,1798492.0,1908595.0,1956131.0,1978497.0,1905689.0,1751454.0,1702313.0,1650050.0,1692596.0,1721405.0,1658317.0,1607469.0,1655491.0,1593107.0,1749247.0,1844610.0,1863344.0,1734243.0,1842175.0,2011384.0,2039917.0,1956782.0,2019770.0,2260852.0,2357153.0,2359610.0,2447776.0,2576753.0,2560737.0,2489013.0,2607983.0,2638366.0,2758994.0,2892089.0,3363161.0,3287068.0,3109685.0,3182452.0,3073072.0,3171396.0,3608221.0,3767450.0,3896516.0,3905708.0,4004496.0,3936648.0,3879782.0,4208425.0,4592483.0,4406649.0
Zapasy,603517.0,759201.0,695777.0,862358.0,909773.0,1045417.0,1084571.0,1458133.0,1464407.0,1445078.0,1415554.0,1305117.0,1238694.0,1222344.0,1236379.0,1118968.0,1238164.0,1313154.0,1464556.0,1465828.0,1459759.0,1473685.0,1386415.0,1305568.0,1225911.0,1261886.0,1288514.0,1346599.0,1322918.0,1301561.0,1301824.0,1231538.0,1426772.0,1516938.0,1541943.0,1478660.0,1512117.0,1620758.0,1748523.0,1507595.0,1595995.0,1870592.0,2094206.0,1989052.0,2095138.0,2073955.0,2203902.0,2113540.0,2175644.0,2335341.0,2513341.0,2509632.0,2620622.0,2547942.0,2566481.0,2423514.0,2277303.0,2432787.0,2851736.0,3025168.0,3188482.0,3156481.0,3429212.0,3442969.0,3282578.0,3391947.0,4061791.0,3837118.0
Należności krótkoterminowe,51588.0,32783.0,77777.0,65915.0,46668.0,104710.0,70193.0,55519.0,38037.0,35653.0,31620.0,27652.0,27567.0,32645.0,26795.0,43752.0,32681.0,32995.0,84375.0,49271.0,47484.0,31477.0,32162.0,27980.0,27811.0,32570.0,33930.0,43328.0,13245.0,6459.0,6445.0,5541.0,21947.0,24042.0,7865.0,27528.0,15206.0,34158.0,9058.0,9347.0,9296.0,20206.0,55139.0,39399.0,35362.0,18032.0,33032.0,52768.0,71309.0,45081.0,54058.0,62584.0,77861.0,62307.0,70323.0,117603.0,93765.0,96763.0,57355.0,67507.0,111516.0,115960.0,95804.0,90731.0,77371.0,92173.0,118844.0,88340.0
Inwestycje krótkoterminowe,303817.0,209600.0,202144.0,275489.0,254549.0,77719.0,124056.0,223697.0,197000.0,146200.0,169415.0,230847.0,160821.0,290667.0,334698.0,434691.0,407706.0,395696.0,246418.0,380247.0,442377.0,468943.0,482409.0,410687.0,442071.0,350515.0,365026.0,327407.0,311840.0,294683.0,342769.0,352804.0,297257.0,300260.0,309950.0,225387.0,311062.0,352909.0,279926.0,437073.0,409844.0,365254.0,200405.0,331159.0,311830.0,479402.0,318763.0,317380.0,350958.0,247636.0,183232.0,314905.0,664655.0,669861.0,466406.0,636127.0,648623.0,634623.0,692717.0,669601.0,583383.0,621748.0,470780.0,395399.0,506343.0,681700.0,355926.0,403834.0
Środki pieniężne i inne aktywa pieniężne,296709.0,202487.0,202144.0,275489.0,254549.0,77719.0,124056.0,223697.0,197000.0,146200.0,169415.0,230847.0,160821.0,290667.0,334698.0,434691.0,407706.0,227446.0,246418.0,380247.0,442377.0,468943.0,198499.0,175918.0,440910.0,349056.0,361634.0,322250.0,306705.0,285720.0,328217.0,318341.0,282797.0,275851.0,288353.0,221640.0,292855.0,328894.0,258593.0,414310.0,374729.0,300475.0,104129.0,279653.0,233342.0,384875.0,204714.0,282492.0,325913.0,207815.0,134651.0,253318.0,582232.0,599894.0,380580.0,585664.0,601535.0,507708.0,615842.0,607041.0,448729.0,497951.0,337151.0,304236.0,393798.0,591410.0,197933.0,286274.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,26424.0,41800.0,80227.0,115890.0,6348.0,5715.0,8516.0,5017.0,4985.0,7159.0,5483.0,3661.0,3417.0,4208.0,3058.0,3143.0,13249.0,6511.0,4392.0,4703.0,7219.0,6520.0,5079.0,5126.0,4071.0,10314.0,4766.0,4453.0,3224.0,3271.0,3370.0,3586.0,2668.0,3790.0,3559.0,2410.0,2767.0,4635.0,4800.0,7403.0,0.0,5446.0,5364.0,5040.0,5325.0,10072.0,10308.0,8363.0,4968.0,23.0,6958.0,6475.0,5208.0,53381.0,7223.0,6413.0,5174.0,13135.0,11519.0,8700.0,7549.0,13490.0,42605.0,55922.0,77357.0
