,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Rzeczowe składniki majątku trwałego,34252.0,34152.0,38218.0,55925.0,58614.0,67378.0,77043.0,103705.0,149471.0,147654.0,142917.0,140803.0,140759.0,151113.0,152166.0,170425.0,185638.0,197683.0,162503.0,163931.0,173847.0,177064.0,260061.0,277353.0,281706.0,334080.0,455741.0,495631.0,494191.0,487699.0,480358.0,477848.0,472456.0,462351.0,456236.0,552988.0,571871.0,608271.0,1529151.0,1706722.0,1773799.0,1927405.0,2027655.0,2192218.0,2219860.0,2156321.0,2091357.0,1999706.0,1982118.0,1932417.0,1814243.0,1790851.0,1625637.0,1566479.0,1551826.0,1589271.0,1619992.0,1614675.0,1615509.0,1630749.0,1620467.0,1614774.0,1776431.0,1946761.0,1976113.0,2067903.0,2164103.0,2514987.0,2644684.0,2797937.0,2985873.0,3030175.0,3110139.0,3161286.0,3181836.0,3273092.0,3299960.0
Należności długoterminowe,239548.0,233533.0,228383.0,231587.0,231850.0,237999.0,250025.0,236418.0,236977.0,227540.0,227731.0,212284.0,206513.0,197610.0,209520.0,256321.0,279903.0,276382.0,326278.0,330728.0,308308.0,322060.0,306465.0,296534.0,290152.0,280156.0,296570.0,282038.0,0.0,0.0,0.0,0.0,0.0,0.0,3514.0,3453.0,3391.0,3329.0,3265.0,4269.0,4374.0,4309.0,4377.0,4577.0,4856.0,4784.0,4711.0,4840.0,4766.0,4690.0,4614.0,4489.0,4410.0,4331.0,4251.0,4146.0,4064.0,3981.0,3897.0,3842.0,2786.0,2750.0,9553.0,3498.0,3955.0,3891.0,3897.0,2554.0,3090.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1992.0,2310.0
Inwestycje długoterminowe,4247.0,4102.0,3752.0,6393.0,9111.0,11484.0,12054.0,516.0,297.0,349.0,4516.0,4610.0,5140.0,17313.0,21668.0,31047.0,12392.0,3103.0,3395.0,320.0,329.0,428.0,483.0,812.0,1351.0,1393.0,493.0,496.0,947.0,977.0,1195.0,792.0,263.0,463.0,474.0,368.0,427.0,451.0,70282.0,8869.0,15996.0,21560.0,24881.0,5817.0,11668.0,13371.0,12274.0,12324.0,9839.0,11327.0,15843.0,14609.0,37179.0,200558.0,329948.0,184376.0,180169.0,193537.0,188931.0,163802.0,179293.0,185314.0,189231.0,196501.0,288851.0,375741.0,525696.0,737346.0,971896.0,1322601.0,1292927.0,719058.0,756395.0,766482.0,933650.0,929525.0,1470637.0
Pozostałe aktywa trwałe,49.0,20.0,137.0,632.0,777.0,1583.0,2103.0,6991.0,651.0,579.0,449.0,158.0,3654.0,3120.0,2023.0,1378.0,2718.0,1700.0,908.0,761.0,823.0,833.0,835.0,989.0,1008.0,1084.0,1108.0,1210.0,1270.0,4877.0,4242.0,1433.0,1396.0,4477.0,895.0,0.0,1279.0,2911.0,5980.0,6454.0,9728.0,8520.0,9427.0,10991.0,12322.0,14341.0,15794.0,29905.0,23413.0,24952.0,25647.0,24799.0,24849.0,27704.0,23067.0,10550.0,8578.0,8928.0,8232.0,3738.0,3117.0,4538.0,4527.0,8879.0,9005.0,4984.0,5021.0,3481.0,12473.0,18950.0,14690.0,26143.0,30427.0,29041.0,32839.0,38748.0,39002.0
Aktywa obrotowe,67444.0,83029.0,77937.0,84829.0,84700.0,69830.0,72285.0,77630.0,122655.0,97236.0,120914.0,123857.0,124568.0,95407.0,103265.0,104181.0,130625.0,126621.0,176870.0,167325.0,167598.0,185323.0,181140.0,234635.0,269022.0,285485.0,306244.0,382426.0,650066.0,508738.0,511586.0,542071.0,502111.0,489484.0,488731.0,390098.0,366257.0,331140.0,824100.0,763935.0,682603.0,639371.0,714049.0,750679.0,663713.0,676483.0,587877.0,703656.0,599415.0,558244.0,583768.0,614757.0,917544.0,979198.0,1290134.0,1176860.0,849189.0,711572.0,612806.0,598736.0,775191.0,718332.0,694313.0,788498.0,1019639.0,1825347.0,2474316.0,2273292.0,2658975.0,3487095.0,3702898.0,2300848.0,1951443.0,1671898.0,1562976.0,2301086.0,1774583.0
Zapasy,1711.0,1746.0,1356.0,1986.0,1814.0,1165.0,1103.0,1932.0,12290.0,11570.0,7374.0,10037.0,11307.0,12224.0,14607.0,29935.0,28426.0,23904.0,26782.0,36466.0,39638.0,35220.0,46720.0,36014.0,43623.0,51889.0,63208.0,59748.0,75638.0,68778.0,92922.0,137479.0,140645.0,133584.0,187505.0,119884.0,118540.0,114219.0,139649.0,41113.0,46045.0,41387.0,45005.0,47040.0,56452.0,51947.0,38327.0,41484.0,35794.0,27910.0,33744.0,26214.0,30330.0,24770.0,29147.0,34971.0,37290.0,29636.0,35099.0,38331.0,49120.0,40261.0,27173.0,36836.0,42016.0,40562.0,28122.0,45078.0,106868.0,98464.0,104891.0,111623.0,134734.0,106019.0,100027.0,90214.0,89369.0
Należności krótkoterminowe,27445.0,22944.0,23879.0,36037.0,42732.0,28753.0,31714.0,45048.0,55279.0,30222.0,36182.0,49766.0,59252.0,38443.0,48281.0,60705.0,71347.0,79377.0,74415.0,70622.0,82551.0,86428.0,89218.0,149012.0,89563.0,95714.0,107979.0,187896.0,142946.0,121572.0,122670.0,138534.0,143599.0,100441.0,90173.0,54456.0,41839.0,43262.0,185915.0,180220.0,200165.0,213268.0,171839.0,225910.0,157455.0,135756.0,139570.0,175699.0,136130.0,135223.0,144050.0,164405.0,140550.0,174739.0,175916.0,181722.0,186866.0,156464.0,169612.0,132118.0,125267.0,139474.0,201421.0,220171.0,278132.0,417395.0,496586.0,583723.0,720122.0,432308.0,453369.0,470356.0,460668.0,399933.0,576882.0,572731.0,468251.0
Inwestycje krótkoterminowe,32409.0,52170.0,45998.0,42920.0,38667.0,36104.0,36249.0,25079.0,52343.0,53158.0,75421.0,63010.0,51277.0,42067.0,37951.0,11557.0,26597.0,19968.0,72512.0,58229.0,41484.0,60499.0,41969.0,46263.0,131243.0,134682.0,132259.0,131793.0,93037.0,314676.0,292381.0,263239.0,213020.0,251391.0,206780.0,208395.0,195134.0,161083.0,486860.0,534039.0,425656.0,372406.0,484271.0,466313.0,440281.0,479825.0,404925.0,480405.0,412935.0,383440.0,399458.0,417199.0,503391.0,769409.0,1078971.0,954240.0,612046.0,514178.0,402261.0,421853.0,588019.0,529250.0,460669.0,525779.0,685984.0,1357987.0,1943318.0,1636230.0,1814610.0,2944584.0,3136465.0,1706196.0,1330426.0,1144413.0,873613.0,1616887.0,1186265.0
Środki pieniężne i inne aktywa pieniężne,30453.0,50184.0,44681.0,41601.0,37333.0,34839.0,34964.0,25079.0,45675.0,48231.0,69584.0,63010.0,51277.0,30364.0,25767.0,11557.0,26595.0,19968.0,72512.0,58229.0,41484.0,60499.0,41969.0,46263.0,131233.0,134672.0,131223.0,131793.0,86546.0,310628.0,288255.0,263239.0,213020.0,251242.0,206629.0,208142.0,194311.0,160252.0,444954.0,416809.0,373407.0,316121.0,400989.0,362096.0,342597.0,361826.0,342039.0,380862.0,347133.0,319167.0,323976.0,297898.0,271531.0,348341.0,335929.0,311857.0,301302.0,274759.0,300754.0,345705.0,404337.0,441962.0,399729.0,374347.0,364633.0,624920.0,667933.0,387366.0,414285.0,940067.0,785984.0,868692.0,874963.0,785999.0,649305.0,1410763.0,985057.0
Pozostałe aktywa obrotowe,5879.0,6169.0,6704.0,3886.0,1487.0,3808.0,3219.0,5571.0,2743.0,2286.0,1937.0,1044.0,2732.0,2673.0,1869.0,1984.0,4255.0,3372.0,3161.0,2008.0,3925.0,3176.0,3233.0,3346.0,4593.0,3200.0,2798.0,2989.0,3559.0,3712.0,3613.0,2819.0,4847.0,4068.0,4273.0,7363.0,10744.0,12576.0,11676.0,8563.0,10737.0,12310.0,12934.0,11416.0,9525.0,8955.0,5055.0,6068.0,14556.0,11671.0,6516.0,6939.0,14427.0,10280.0,6100.0,5927.0,12987.0,11294.0,5834.0,6434.0,12785.0,9347.0,5050.0,5712.0,13507.0,9403.0,6290.0,8261.0,17375.0,11739.0,8173.0,12673.0,25615.0,21533.0,12454.0,21254.0,30698.0
