,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Rzeczowe składniki majątku trwałego,722689.0,705012.0,698915.0,680144.0,666026.0,658499.0,651553.0,644637.0,634554.0,631833.0,622235.0,616036.0,619865.0,629483.0,638364.0,650692.0,642880.0,630612.0,620764.0,613083.0,598754.0,584920.0,760926.0,763047.0,757691.0,755764.0,755488.0,760157.0,753580.0,767396.0,779427.0,765665.0,748349.0,741262.0,738949.0,724636.0,727871.0,710070.0,696337.0,686411.0,676982.0,663286.0,669927.0,669689.0,653063.0,656354.0,639740.0,627510.0,608725.0,589502.0,583616.0,513965.0,513881.0,505927.0,510522.0,519472.0,463011.0,992360.0,1023670.0,1048910.0,1031951.0,1012893.0,1036924.0,1060529.0,1049417.0,1025207.0,998028.0,976838.0,968938.0,962577.0,944264.0,944222.0,975575.0,955741.0,944534.0,903603.0,901140.0
Należności długoterminowe,6282.0,6267.0,6535.0,7052.0,6411.0,6250.0,6201.0,7067.0,6928.0,7300.0,6947.0,6970.0,7027.0,6816.0,7529.0,6802.0,6663.0,7470.0,7619.0,8451.0,9903.0,7991.0,8138.0,9640.0,10786.0,10499.0,10043.0,7934.0,7768.0,7559.0,6397.0,5481.0,5683.0,5218.0,5111.0,44926.0,51800.0,51039.0,50811.0,33531.0,15855.0,25222.0,25421.0,14179.0,14644.0,14351.0,25064.0,14287.0,14141.0,14367.0,14242.0,14937.0,14922.0,16711.0,16640.0,14573.0,13062.0,13786.0,14061.0,2530.0,2341.0,1264.0,4093.0,8416.0,12390.0,10654.0,10411.0,6360.0,2439.0,3319.0,3820.0,7415.0,8506.0,9102.0,9501.0,9759.0,7953.0
Inwestycje długoterminowe,25290.0,25369.0,25391.0,12034.0,9186.0,9157.0,15064.0,8705.0,8665.0,3237.0,3145.0,3162.0,2044.0,1573.0,1138.0,647.0,1714.0,1461.0,1135.0,872.0,602.0,1369.0,890.0,436.0,289.0,492.0,421.0,12132.0,12182.0,12078.0,12100.0,11868.0,11948.0,11927.0,12021.0,11998.0,13830.0,19382.0,19197.0,16526.0,32993.0,16297.0,15522.0,20036.0,8077.0,8316.0,8218.0,21500.0,19467.0,17843.0,7611.0,7930.0,7466.0,1833.0,11870.0,11674.0,144737.0,162165.0,153755.0,154910.0,154521.0,154232.0,147498.0,150071.0,152214.0,154242.0,159259.0,146068.0,147004.0,149682.0,126843.0,129649.0,16744.0,15987.0,15452.0,15010.0,14845.0
Pozostałe aktywa trwałe,22759.0,26065.0,25556.0,17791.0,30288.0,32149.0,28657.0,30677.0,31410.0,29712.0,32189.0,37026.0,15187.0,14158.0,13996.0,10692.0,7058.0,8025.0,8033.0,6936.0,7855.0,7099.0,7970.0,2954.0,4320.0,4005.0,2967.0,3840.0,4178.0,3712.0,3556.0,4208.0,5536.0,6423.0,6714.0,5211.0,5288.0,5523.0,4902.0,6678.0,7393.0,6484.0,8435.0,10388.0,10592.0,9473.0,10339.0,13374.0,11970.0,10344.0,10800.0,16537.0,19403.0,18507.0,20027.0,14899.0,557744.0,17835.0,15806.0,17144.0,25312.0,30676.0,32124.0,41682.0,41115.0,45268.0,48975.0,47937.0,50251.0,46870.0,51075.0,49484.0,61374.0,56341.0,62485.0,54187.0,54241.0
Aktywa obrotowe,490879.0,555391.0,514023.0,502773.0,521403.0,539341.0,518021.0,557386.0,609409.0,642081.0,614374.0,670072.0,691819.0,590807.0,527278.0,532742.0,516397.0,500236.0,487778.0,514728.0,538587.0,551441.0,446093.0,602062.0,604384.0,607653.0,581220.0,600421.0,568995.0,554786.0,476928.0,493536.0,501067.0,491710.0,462242.0,438870.0,404490.0,419623.0,353612.0,413697.0,386008.0,421087.0,383065.0,447857.0,390161.0,420098.0,354902.0,429930.0,407786.0,367317.0,380547.0,404577.0,400596.0,407636.0,379651.0,418528.0,343146.0,335108.0,291410.0,327904.0,314244.0,294700.0,321164.0,334700.0,300303.0,293024.0,290526.0,333861.0,284153.0,280397.0,290910.0,296786.0,380793.0,350151.0,358643.0,365101.0,377164.0
Zapasy,17837.0,12263.0,17917.0,18830.0,17255.0,16432.0,17057.0,18588.0,14784.0,14985.0,17066.0,17501.0,14726.0,14498.0,14273.0,18861.0,19427.0,20668.0,19418.0,16164.0,13585.0,14474.0,18061.0,22552.0,23387.0,23442.0,27620.0,29209.0,23240.0,23354.0,21968.0,22488.0,20584.0,23704.0,23543.0,25846.0,26246.0,26817.0,28575.0,30182.0,30162.0,29233.0,28113.0,29031.0,28748.0,32433.0,36176.0,33829.0,31356.0,27466.0,30817.0,34792.0,31464.0,30945.0,34324.0,35777.0,32813.0,26108.0,23032.0,21308.0,22395.0,18172.0,18076.0,15235.0,16657.0,18587.0,18596.0,19994.0,24749.0,27360.0,31701.0,30433.0,30052.0,30208.0,33308.0,34559.0,36047.0
Należności krótkoterminowe,188745.0,200065.0,177034.0,218790.0,211818.0,207258.0,198916.0,202753.0,222532.0,232708.0,223348.0,251456.0,253925.0,273867.0,245209.0,250131.0,240227.0,232971.0,220554.0,219891.0,223205.0,230584.0,226539.0,242324.0,234173.0,252322.0,237111.0,247835.0,251396.0,254635.0,235880.0,247357.0,230634.0,238599.0,225287.0,237814.0,234219.0,251950.0,236952.0,269069.0,251467.0,283943.0,246574.0,281837.0,257934.0,278281.0,235332.0,255190.0,228632.0,221019.0,205930.0,244006.0,240040.0,215631.0,203321.0,227298.0,206173.0,207372.0,204205.0,231531.0,192814.0,143123.0,163220.0,181033.0,139612.0,151500.0,171232.0,177965.0,159720.0,177803.0,187938.0,196331.0,204631.0,216517.0,218945.0,239160.0,221317.0
Inwestycje krótkoterminowe,284297.0,343063.0,319072.0,265153.0,292330.0,315651.0,302048.0,336045.0,372093.0,394388.0,373960.0,401115.0,423168.0,302442.0,267796.0,263750.0,256743.0,246597.0,247806.0,278673.0,301797.0,306383.0,201493.0,337186.0,346824.0,331889.0,316489.0,323377.0,294359.0,276797.0,219080.0,223691.0,249849.0,229407.0,213412.0,175210.0,144025.0,140856.0,88085.0,114446.0,104379.0,107911.0,108378.0,136989.0,103479.0,109384.0,69258.0,130229.0,137116.0,105085.0,130053.0,112032.0,129092.0,161060.0,142006.0,155453.0,104160.0,101628.0,64173.0,70721.0,99035.0,133405.0,139868.0,138432.0,144034.0,122937.0,100698.0,135902.0,99684.0,75234.0,71271.0,70022.0,127958.0,83317.0,104456.0,91382.0,119800.0
Środki pieniężne i inne aktywa pieniężne,273819.0,271579.0,251995.0,189656.0,177038.0,218695.0,259960.0,334705.0,270585.0,291221.0,271401.0,337660.0,423155.0,301422.0,267786.0,263743.0,196380.0,155124.0,124965.0,124225.0,144517.0,147106.0,102590.0,182358.0,172663.0,132279.0,117001.0,125505.0,104681.0,105614.0,96628.0,190917.0,204543.0,79561.0,87910.0,99554.0,64658.0,67922.0,40799.0,52330.0,59797.0,25161.0,29306.0,31163.0,39649.0,30083.0,24594.0,50197.0,47324.0,76353.0,46784.0,19198.0,128029.0,42740.0,26059.0,33003.0,30240.0,42022.0,36432.0,61065.0,98909.0,133265.0,139791.0,138355.0,143957.0,122859.0,99932.0,134878.0,98691.0,74207.0,70077.0,69054.0,126981.0,82352.0,103490.0,90400.0,118817.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
