,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Rzeczowe składniki majątku trwałego,4738.0,9962.0,10040.0,17555.0,17987.0,18799.0,19221.0,18426.0,17660.0,18227.0,17645.0,17725.0,19002.0,16693.0,16067.0,15348.0,14556.0,14122.0,13770.0,13826.0,12848.0,12506.0,10834.0,10737.0,10410.0,9918.0,9812.0,9822.0,10038.0,10879.0,10594.0,10315.0,10046.0,10253.0,9499.0,10277.0,10929.0,10871.0,11644.0,11721.0,11146.0,20692.0,19011.0,17851.0,19184.0,21046.0,21438.0,20334.0,57377.0,55934.0,65697.0,63485.0,64665.0,59505.0,60656.0,67952.0,87995.0,85809.0,84662.0,82924.0,86141.0,84209.0,82030.0,84436.0,86433.0,91009.0,88322.0,90906.0,92676.0
Należności długoterminowe,0.0,0.0,0.0,356.0,367.0,372.0,349.0,1485.0,1191.0,1415.0,1057.0,777.0,704.0,606.0,1772.0,601.0,602.0,603.0,604.0,603.0,603.0,604.0,604.0,604.0,602.0,601.0,601.0,601.0,601.0,601.0,601.0,600.0,600.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,770.0,836.0,772.0,599.0,599.0,599.0,1085.0,1045.0,1284.0,899.0,881.0,599.0,859.0,775.0,178.0,145.0,145.0,211.0,223.0,196.0,196.0,161.0,499.0,441.0,433.0,437.0,409.0,392.0
Inwestycje długoterminowe,29290.0,0.0,0.0,146.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,791.0,1273.0,1254.0,1693.0,1204.0,958.0,128.0,1104.0,414.0,403.0,161.0,673.0,176.0,352.0,522.0,1293.0,577.0,468.0,414.0,1638.0,679.0,921.0,808.0,1178.0,724.0,739.0,479.0,1247.0,824.0,748.0,923.0,1556.0,1008.0,1240.0,1134.0,1798.0,1263.0,1471.0,1280.0,2091.0,1353.0,1449.0,1325.0,4388.0,2720.0,2565.0,1453.0,1930.0,3011.0,3411.0,2841.0,3091.0,2851.0,3166.0,2592.0,3607.0,3635.0,3521.0,3153.0,2677.0,3035.0,3461.0,3248.0,3345.0,3020.0,3081.0,2679.0,2430.0,2631.0
Aktywa obrotowe,35969.0,31258.0,31782.0,63938.0,55883.0,58939.0,61264.0,81640.0,75940.0,65804.0,70636.0,87959.0,85820.0,72058.0,81743.0,99621.0,98363.0,74628.0,74928.0,89685.0,92092.0,62973.0,67938.0,80374.0,84181.0,63780.0,69347.0,96881.0,89211.0,64631.0,73292.0,90263.0,92434.0,70937.0,79271.0,95710.0,100024.0,78036.0,87939.0,105805.0,114511.0,52890.0,50447.0,55450.0,58263.0,55895.0,45991.0,61484.0,61545.0,46896.0,45544.0,79093.0,89666.0,45186.0,59237.0,91596.0,103311.0,46800.0,66184.0,89979.0,111225.0,52877.0,73581.0,103013.0,120204.0,60910.0,85209.0,109565.0,132809.0
Zapasy,43.0,1559.0,776.0,1011.0,1034.0,1117.0,921.0,1179.0,991.0,1030.0,968.0,806.0,594.0,1205.0,3147.0,865.0,738.0,602.0,1321.0,943.0,1004.0,1188.0,1129.0,1646.0,673.0,512.0,324.0,2646.0,1515.0,887.0,1470.0,583.0,814.0,928.0,782.0,365.0,446.0,437.0,217.0,194.0,1025.0,805.0,454.0,476.0,1485.0,466.0,226.0,390.0,495.0,185.0,144.0,726.0,424.0,376.0,481.0,432.0,1182.0,599.0,766.0,409.0,318.0,1386.0,290.0,430.0,567.0,335.0,470.0,269.0,448.0
Należności krótkoterminowe,6528.0,21824.0,26802.0,41829.0,32981.0,35215.0,31598.0,45478.0,33858.0,35123.0,29674.0,37116.0,30852.0,31553.0,34719.0,36863.0,31329.0,36204.0,28174.0,31227.0,29711.0,29657.0,32416.0,29663.0,26199.0,24820.0,23825.0,38871.0,28038.0,25036.0,25853.0,31810.0,28380.0,29139.0,27907.0,28825.0,26409.0,29791.0,30361.0,34102.0,32739.0,40482.0,42695.0,45342.0,41551.0,45559.0,40239.0,47245.0,41196.0,40548.0,42863.0,47469.0,43167.0,41867.0,41184.0,41477.0,42406.0,40902.0,45375.0,45424.0,41698.0,47644.0,52011.0,52655.0,50408.0,54969.0,63347.0,55085.0,55954.0
Inwestycje krótkoterminowe,28971.0,5618.0,2375.0,20005.0,20679.0,21333.0,27825.0,34096.0,40200.0,28976.0,39345.0,49485.0,53058.0,36686.0,41243.0,59389.0,63379.0,35126.0,42685.0,57010.0,60385.0,31310.0,33851.0,48538.0,56536.0,37733.0,44637.0,54727.0,58836.0,37958.0,45402.0,57483.0,62519.0,40208.0,50043.0,65919.0,72378.0,47052.0,56609.0,70456.0,79607.0,10060.0,6001.0,8305.0,13509.0,8461.0,2525.0,12800.0,17025.0,4377.0,1483.0,15950.0,19838.0,1086.0,16115.0,46614.0,57052.0,2433.0,18336.0,42832.0,66413.0,1416.0,19267.0,48282.0,35132.0,2740.0,18938.0,53006.0,71977.0
Środki pieniężne i inne aktywa pieniężne,3728.0,4753.0,1292.0,14063.0,13636.0,18307.0,19565.0,33001.0,39140.0,27906.0,38275.0,48429.0,53058.0,36686.0,40396.0,59350.0,63357.0,35100.0,42685.0,57010.0,60385.0,31310.0,33832.0,48499.0,56525.0,37733.0,44637.0,54727.0,58836.0,37944.0,45385.0,57483.0,62367.0,40150.0,49992.0,40658.0,43945.0,47052.0,56609.0,70456.0,79252.0,9717.0,5886.0,8014.0,13319.0,8461.0,2446.0,12800.0,17025.0,4377.0,1483.0,15950.0,19838.0,1086.0,16115.0,6614.0,17040.0,2433.0,18336.0,42832.0,66413.0,1416.0,19267.0,48282.0,35132.0,2740.0,18938.0,52999.0,71977.0
Pozostałe aktywa obrotowe,427.0,2257.0,1829.0,1093.0,1189.0,1274.0,920.0,887.0,891.0,675.0,649.0,552.0,1316.0,612.0,517.0,387.0,800.0,579.0,631.0,505.0,992.0,818.0,542.0,527.0,773.0,715.0,561.0,637.0,822.0,750.0,567.0,387.0,721.0,662.0,539.0,601.0,791.0,756.0,752.0,1053.0,1140.0,1543.0,1297.0,1327.0,1718.0,1409.0,3001.0,1049.0,2829.0,1786.0,1054.0,14948.0,26237.0,1857.0,1457.0,3073.0,2671.0,2866.0,1707.0,1314.0,2796.0,2431.0,2013.0,1646.0,34097.0,2866.0,2454.0,1205.0,4430.0
