,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Należności krótkoterminowe,0.0,0.0,0.0,24572.0,21172.0,20041.0,15096.0,23361.0,18197.0,23815.0,22995.0,17186.0,15152.0,11449.0,13109.0,7865.0,12283.0,9410.0,15684.0,9854.0,12012.0,18357.0,17182.0,9256.0,12115.0,23379.0,8501.0,10229.0,12595.0,9300.0,7778.0,7282.0,77817.0,26649.0,9870.0,7981.0,12755.0,10393.0,6381.0,8395.0,8102.0,7609.0,5944.0,20035.0,5179.0,7069.0,2988.0,3264.0,4457.0,10317.0,3945.0,2899.0,3818.0,1462.0,54.0,59.0
Inwestycje krótkoterminowe,0.0,0.0,0.0,37306.0,33607.0,29241.0,28245.0,16249.0,21298.0,50962.0,42409.0,27101.0,25056.0,22536.0,15980.0,11981.0,6870.0,7356.0,19722.0,18770.0,25934.0,28191.0,22396.0,29743.0,25836.0,16375.0,21872.0,93701.0,142370.0,179579.0,143762.0,143303.0,156541.0,61253.0,88682.0,102405.0,60689.0,60012.0,60626.0,139035.0,177470.0,78622.0,143242.0,170146.0,185364.0,242413.0,75649.0,81773.0,95969.0,102528.0,38967.0,76293.0,44604.0,37268.0,483.0,11.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,0.0,37306.0,33607.0,29241.0,28245.0,16249.0,21298.0,50962.0,42409.0,27101.0,25056.0,22536.0,15980.0,11981.0,6870.0,7356.0,19722.0,18770.0,25934.0,24642.0,18786.0,26073.0,22134.0,12673.0,18170.0,89999.0,138669.0,175877.0,143762.0,143303.0,156541.0,61253.0,88682.0,102405.0,60689.0,60012.0,60626.0,139035.0,177470.0,78622.0,143242.0,170146.0,185364.0,242413.0,75649.0,81773.0,95969.0,102528.0,38967.0,76293.0,44604.0,37268.0,483.0,11.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10871.0,10805.0,3296.0,0.0,22894.0,23393.0,24244.0,23611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73981.0,73846.0,14075.0,14024.0,434.0,4886.0,68539.0,0.0,0.0,0.0,212893.0,214262.0,355369.0,317295.0,242705.0,189778.0,190333.0,85250.0,85250.0,70478.0,0.0,4744.0,4744.0,4744.0,83952.0,114176.0,24045.0,0.0,0.0,0.0,0.0
Aktywa razem,0.0,0.0,0.0,951757.0,945019.0,935180.0,936920.0,677608.0,676892.0,571070.0,566152.0,521851.0,521838.0,502157.0,492957.0,474923.0,474996.0,472362.0,553206.0,621056.0,684263.0,659093.0,654580.0,711477.0,710913.0,722855.0,706715.0,715975.0,752758.0,778404.0,741604.0,761000.0,743573.0,603220.0,597166.0,582768.0,536709.0,563637.0,529558.0,526585.0,518306.0,421557.0,430398.0,472346.0,463534.0,433364.0,267493.0,275322.0,281923.0,250024.0,186487.0,115526.0,57566.0,43297.0,537.0,70.0
Kapitał własny akcjonariuszy jednostki dominującej,792097.0,841864.0,826470.0,825480.0,813188.0,803139.0,804358.0,543281.0,541347.0,438153.0,431509.0,383621.0,377999.0,353630.0,347198.0,329362.0,323837.0,319885.0,372833.0,404493.0,433677.0,403665.0,402786.0,450831.0,448757.0,447072.0,443907.0,446903.0,472802.0,482746.0,485763.0,471719.0,482460.0,347235.0,343012.0,326879.0,293577.0,322063.0,350485.0,343858.0,339613.0,257016.0,259463.0,285048.0,306088.0,305248.0,135941.0,144663.0,150710.0,117957.0,83085.0,81129.0,43213.0,41080.0,395.0,-102.0
Kapitał (fundusz) podstawowy,0.0,0.0,0.0,3483.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3407.0,3431.0,3431.0,3439.0,3460.0,3460.0,3460.0,3460.0,3460.0,3286.0,3286.0,3286.0,3286.0,3286.0,3286.0,3286.0,3286.0,3286.0,3286.0,3816.0,3935.0,3935.0,3935.0,3935.0,3935.0,3935.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,897.0,897.0,897.0,897.0,897.0,897.0,897.0,897.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160110.0,-160110.0,-160110.0,-43010.0,-43010.0,-43010.0,-43010.0,-46084.0,-117396.0,-117396.0,-117396.0,-117396.0,-117396.0,-288973.0,-288973.0,0.0,0.0,-50010.0,-50010.0,-97924.0,-95924.0,-128103.0,-128103.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,0.0,0.0,1161.0,1161.0,1161.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389802.0,389802.0
