,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Rzeczowe składniki majątku trwałego,7172.0,7050.0,6904.0,6788.0,6685.0,6512.0,6425.0,6440.0,6203.0,9315.0,8967.0,9067.0,8973.0,9477.0,9763.0,9924.0,10477.0,10048.0,10615.0,10755.0,10949.0,11006.0,11301.0,11187.0,10971.0,6134.0,6393.0,5499.0,5444.0,5947.0,6407.0,9380.0,10529.0,12612.0,13249.0,14423.0,16146.0,18140.0,18829.0,18832.0,18869.0,19149.0,19984.0,19241.0,33122.0,31976.0,34781.0,105267.0,105947.0,105954.0,106171.0,105349.0,108734.0,114121.0,114931.0,115234.0,124261.0,129155.0,131431.0,145252.0,154935.0,161009.0,171619.0,183038.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,495.0,501.0,506.0,506.0,570.0,570.0,574.0,574.0,66.0,419.0,312.0,306.0,321.0,339.0,330.0,346.0,686.0,378.0,734.0,787.0,389.0,390.0,375.0,380.0,383.0
Inwestycje długoterminowe,136.0,114.0,69.0,70.0,70.0,70.0,70.0,26393.0,26454.0,278.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,195.0,194.0,487.0,522.0,452.0,452.0,452.0,981.0,3082.0,16714.0,17914.0,19875.0,16622.0,52985.0,54501.0,107240.0,107261.0,120300.0,220250.0,269546.0,262962.0,266048.0,260014.0,284299.0,312665.0,291604.0,299680.0,323109.0,330162.0,528247.0
Pozostałe aktywa trwałe,20.0,20.0,20.0,20.0,19.0,20.0,20.0,0.0,0.0,1862.0,1448.0,912.0,1082.0,950.0,548.0,913.0,554.0,2206.0,600.0,2229.0,2202.0,2241.0,2449.0,1040.0,901.0,900.0,1210.0,1189.0,1219.0,12215.0,9108.0,14986.0,12869.0,316.0,410.0,487.0,0.0,0.0,2842.0,0.0,1504.0,0.0,0.0,2320.0,4833.0,2570.0,9458.0,18730.0,15143.0,9944.0,13072.0,15182.0,70836.0,65831.0,60795.0,58852.0,64498.0,64682.0,71496.0,83936.0,84232.0,89385.0,71400.0,85277.0
Aktywa obrotowe,28085.0,14097.0,11700.0,16815.0,9220.0,3470.0,4341.0,2361.0,2651.0,61172.0,53468.0,77884.0,79608.0,91625.0,85713.0,94513.0,78266.0,96507.0,108417.0,108690.0,98567.0,106140.0,116716.0,122588.0,144324.0,170989.0,171422.0,155683.0,169121.0,460236.0,464137.0,554759.0,576541.0,620540.0,634523.0,704316.0,720358.0,692324.0,698035.0,725978.0,720587.0,687315.0,667659.0,738529.0,718454.0,681875.0,705411.0,725011.0,796947.0,771835.0,736532.0,2130300.0,1982501.0,1202302.0,1216539.0,1252889.0,1311733.0,1157539.0,1138568.0,1154146.0,1100850.0,883921.0,1137807.0,1162815.0
Zapasy,2508.0,2727.0,3090.0,1373.0,1369.0,424.0,419.0,723.0,732.0,21162.0,23432.0,27739.0,32836.0,24409.0,27542.0,31112.0,33751.0,31668.0,33591.0,33367.0,36411.0,41166.0,47102.0,51966.0,58170.0,67197.0,80699.0,96511.0,106558.0,49402.0,48198.0,34200.0,48175.0,483.0,497.0,401.0,490.0,555.0,501.0,323.0,272.0,252.0,349.0,258.0,245.0,731.0,10922.0,12862.0,22874.0,16163.0,15906.0,6957.0,15902.0,16903.0,16564.0,15886.0,14970.0,15136.0,14492.0,12701.0,10365.0,8118.0,7463.0,3576.0
Należności krótkoterminowe,6606.0,6858.0,3915.0,13176.0,6498.0,2701.0,2697.0,1512.0,1825.0,22772.0,16368.0,19590.0,20846.0,28586.0,32416.0,34389.0,20705.0,26716.0,35018.0,35882.0,21658.0,24141.0,27245.0,21821.0,35007.0,37921.0,29220.0,17378.0,25257.0,235333.0,102492.0,114234.0,60951.0,103049.0,69103.0,91934.0,61185.0,95129.0,48346.0,63843.0,40408.0,64768.0,53125.0,57850.0,72326.0,130390.0,82411.0,210292.0,140283.0,134590.0,109475.0,1275813.0,184447.0,248040.0,166072.0,238889.0,182029.0,117085.0,197114.0,223887.0,141562.0,138272.0,336433.0,252389.0
Inwestycje krótkoterminowe,18971.0,4512.0,4695.0,2266.0,1353.0,236.0,1088.0,30.0,94.0,2197.0,3098.0,15610.0,14538.0,22706.0,11417.0,14048.0,6672.0,12948.0,22991.0,27721.0,27730.0,27328.0,31000.0,40489.0,42757.0,52010.0,47780.0,37140.0,32251.0,166969.0,303470.0,393802.0,434877.0,504323.0,552164.0,597257.0,646432.0,582716.0,638023.0,647516.0,662039.0,607897.0,601578.0,658870.0,621902.0,529560.0,593629.0,482301.0,610320.0,592854.0,586437.0,834147.0,1771325.0,925977.0,1020245.0,984351.0,1095803.0,1004601.0,898895.0,894672.0,920824.0,716037.0,767525.0,878978.0
Środki pieniężne i inne aktywa pieniężne,18971.0,4512.0,4695.0,2266.0,1353.0,236.0,1088.0,30.0,94.0,2197.0,3098.0,15610.0,4491.0,17583.0,7234.0,9819.0,4879.0,8340.0,22155.0,26866.0,26871.0,26511.0,30157.0,39684.0,41849.0,51176.0,45050.0,34395.0,29483.0,164196.0,303470.0,393637.0,434877.0,504323.0,552164.0,557204.0,646432.0,582716.0,638023.0,66987.0,84122.0,132497.0,48182.0,103878.0,155119.0,68274.0,124966.0,49406.0,145590.0,164640.0,200772.0,563335.0,1551162.0,669100.0,690681.0,411586.0,748585.0,685029.0,198689.0,277827.0,154738.0,149336.0,236232.0,178054.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,109.0,137.0,96.0,0.0,15041.0,10570.0,14945.0,11388.0,15924.0,14338.0,14964.0,17138.0,25175.0,16817.0,11720.0,12768.0,13505.0,11369.0,8312.0,8390.0,13861.0,13723.0,4654.0,5055.0,8532.0,9977.0,12523.0,32538.0,12685.0,12759.0,14724.0,12251.0,13924.0,11165.0,14296.0,17868.0,14398.0,12607.0,21502.0,23932.0,21194.0,18449.0,19556.0,23470.0,28228.0,24714.0,13383.0,10827.0,11382.0,13658.0,13763.0,18931.0,20717.0,28067.0,22886.0,28099.0,21494.0,26386.0,27872.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,35482.0,21340.0,18765.0,23754.0,16046.0,10117.0,10895.0,35227.0,35335.0,152740.0,143970.0,167514.0,169450.0,181689.0,175739.0,185275.0,169017.0,189736.0,200641.0,202892.0,193015.0,200819.0,212128.0,217635.0,239910.0,262899.0,265912.0,248937.0,264051.0,566906.0,568705.0,673946.0,693697.0,760760.0,787904.0,874960.0,908735.0,901996.0,930386.0,981513.0,999992.0,1013387.0,1025968.0,1126838.0,1145558.0,1136658.0,1208056.0,1404108.0,1524712.0,1597103.0,1604116.0,2894478.0,2887057.0,2147430.0,2148080.0,2158735.0,2252549.0,2196666.0,2230805.0,2274124.0,2313495.0,2180597.0,2412731.0,2613438.0
Kapitał własny akcjonariuszy jednostki dominującej,-13944.0,4577.0,2807.0,5899.0,5596.0,3873.0,4479.0,3620.0,2753.0,56771.0,50612.0,77665.0,100674.0,119859.0,125070.0,123412.0,123962.0,137545.0,143293.0,151530.0,155992.0,160114.0,164431.0,166500.0,168250.0,165860.0,163974.0,168018.0,164521.0,405846.0,446860.0,513675.0,547119.0,650846.0,691834.0,776938.0,823236.0,796373.0,834465.0,882899.0,908628.0,940280.0,958832.0,1002864.0,1023628.0,975330.0,994643.0,1105651.0,1202221.0,1260719.0,1081458.0,2187356.0,2227530.0,1806363.0,1833522.0,1894356.0,1959929.0,1903244.0,1998523.0,2033404.0,2103762.0,2033797.0,2208144.0,2403490.0
Kapitał (fundusz) podstawowy,9384.0,28152.0,28152.0,28152.0,28152.0,28152.0,28152.0,28152.0,28152.0,70000.0,70000.0,82837.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,94950.0,95160.0,95820.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,96120.0,100655.0,100739.0,100739.0,100739.0,100739.0,100739.0,100739.0,100739.0,100771.0,100771.0,99911.0,99911.0,99911.0
