,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Rzeczowe składniki majątku trwałego,42672.0,51513.0,63425.0,90116.0,94749.0,103524.0,117585.0,121475.0,121615.0,123455.0,123594.0,123125.0,125964.0,124184.0,124773.0,132602.0,130466.0,129070.0,126715.0,125387.0,123193.0,128262.0,137803.0,141867.0,145392.0,154612.0,163227.0,180334.0,183034.0,184812.0,183464.0,183217.0,182181.0,182010.0,193249.0,197685.0,198604.0,198758.0,201237.0,207564.0,212586.0,216926.0,221408.0,229459.0,248570.0,280802.0,296534.0,317366.0,358489.0,368972.0,389099.0,388184.0,387685.0,386170.0,382746.0,380500.0,389291.0,386619.0,388227.0,385396.0,381405.0,376959.0,378502.0,367898.0,362415.0,359570.0,357814.0,354122.0,352425.0,349189.0,351252.0,346992.0,341996.0,338119.0,334078.0,330111.0,323735.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,21.0,54.0,53.0,42.0,56.0,51.0,53.0,52.0,59.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,47.0,46.0,45.0,44.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,58.0,58.0,58.0,81.0,81.0,84.0,81.0,81.0,81.0,81.0,251.0,251.0,251.0,251.0,88.0,88.0,88.0,88.0,88.0,98.0,98.0,98.0,98.0,98.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,7.0,9.0,12.0,12.0,12.0,74.0,3906.0,3906.0,4226.0,4221.0,4252.0,4496.0,4577.0,4521.0,4480.0,4596.0,4600.0,4527.0,4473.0,4549.0,4550.0,4554.0,4570.0,4615.0,4615.0,4617.0,4472.0,4595.0,4595.0,3958.0,3227.0,3228.0,2939.0,2810.0,2610.0,2693.0,2180.0,13502.0,13255.0,25667.0,25741.0,26957.0,28296.0,29418.0,28714.0,3299.0,3292.0,2750.0,2768.0,2784.0,2632.0,1485.0,1507.0,1483.0,1483.0,1452.0,1372.0,216.0,216.0,210.0,189.0,623.0,585.0,576.0,577.0,572.0,584.0,549.0,563.0,551.0,566.0,555.0,563.0
Pozostałe aktywa trwałe,2107.0,1862.0,2128.0,1764.0,2561.0,2472.0,2265.0,1749.0,2584.0,2012.0,2102.0,1876.0,3619.0,2837.0,3112.0,3048.0,3863.0,2999.0,3393.0,2389.0,3685.0,2859.0,3173.0,2518.0,3820.0,3157.0,3823.0,3185.0,4624.0,3398.0,4536.0,3077.0,4610.0,61.0,69.0,61.0,62.0,78.0,86.0,74.0,74.0,80.0,84.0,72.0,73.0,78.0,79.0,63.0,65.0,72.0,18250.0,18128.0,18952.0,16457.0,17115.0,15736.0,16269.0,14850.0,15459.0,13950.0,15359.0,12985.0,13812.0,13044.0,13657.0,12540.0,13386.0,9726.0,11476.0,10218.0,10581.0,9656.0,10514.0,9344.0,10102.0,8682.0,11379.0
Aktywa obrotowe,74482.0,63402.0,65624.0,73644.0,67483.0,67489.0,71335.0,79010.0,71214.0,56471.0,68212.0,78605.0,68085.0,62892.0,72860.0,87128.0,88431.0,84124.0,88251.0,115451.0,125448.0,118432.0,119617.0,143122.0,155325.0,130086.0,167938.0,186935.0,185482.0,144799.0,202454.0,243779.0,231262.0,210243.0,258488.0,299623.0,282293.0,235196.0,293147.0,341748.0,339607.0,285897.0,337669.0,376253.0,348903.0,273010.0,296455.0,322931.0,288246.0,263048.0,292702.0,320052.0,340814.0,324040.0,335994.0,372888.0,388670.0,365087.0,373408.0,398343.0,416505.0,333538.0,376015.0,404918.0,418332.0,362751.0,401475.0,446604.0,435702.0,328016.0,346658.0,384934.0,394963.0,395174.0,421415.0,469042.0,506672.0
Zapasy,15251.0,15701.0,18826.0,16863.0,16623.0,21552.0,17699.0,14325.0,17093.0,17474.0,17942.0,17372.0,16783.0,15887.0,15253.0,18577.0,19995.0,18423.0,18121.0,20326.0,21617.0,23579.0,23658.0,30017.0,36915.0,31763.0,37892.0,44859.0,41433.0,30302.0,37197.0,38618.0,30861.0,33362.0,43650.0,42948.0,43767.0,35262.0,48363.0,42772.0,43987.0,40682.0,56856.0,47639.0,43734.0,45514.0,53460.0,44092.0,53061.0,50792.0,61026.0,62397.0,58398.0,56159.0,64142.0,61476.0,48473.0,65278.0,76070.0,63824.0,77517.0,99733.0,116768.0,116974.0,103427.0,95534.0,108956.0,104441.0,97497.0,99954.0,105352.0,90027.0,87820.0,92362.0,96650.0,96826.0,95543.0
Należności krótkoterminowe,38049.0,31476.0,42382.0,53602.0,44765.0,34169.0,46569.0,61003.0,49101.0,33290.0,46378.0,59947.0,48362.0,37680.0,56138.0,68043.0,57342.0,44733.0,59819.0,85159.0,68846.0,54066.0,77738.0,106977.0,93043.0,67007.0,113296.0,134984.0,117477.0,99814.0,129310.0,167424.0,137801.0,105455.0,141423.0,188759.0,140574.0,105573.0,132939.0,190430.0,174302.0,104688.0,133198.0,197288.0,178630.0,119233.0,139113.0,191146.0,148914.0,107717.0,136179.0,187321.0,176638.0,97303.0,146976.0,179292.0,155971.0,111040.0,143816.0,183841.0,140809.0,82353.0,108470.0,142893.0,114460.0,62669.0,101029.0,142146.0,112808.0,66629.0,93310.0,136655.0,116059.0,83875.0,110379.0,151790.0,132890.0
Inwestycje krótkoterminowe,20499.0,15470.0,3875.0,2777.0,5455.0,11065.0,6663.0,3315.0,4391.0,4973.0,3526.0,1000.0,2461.0,8721.0,553.0,177.0,9991.0,19962.0,8890.0,9598.0,33737.0,39544.0,17400.0,4979.0,23045.0,29282.0,15235.0,5912.0,24960.0,12661.0,34480.0,36516.0,59614.0,69025.0,71685.0,67538.0,95866.0,92760.0,110937.0,108189.0,119170.0,138524.0,146365.0,130598.0,124061.0,106128.0,102455.0,87073.0,83569.0,102403.0,94191.0,69658.0,102416.0,168133.0,123648.0,131739.0,181116.0,186510.0,152316.0,150295.0,194497.0,148703.0,149469.0,144598.0,196779.0,201537.0,189657.0,199392.0,221333.0,156681.0,146257.0,157564.0,186790.0,215610.0,212477.0,218714.0,273268.0
Środki pieniężne i inne aktywa pieniężne,15799.0,14838.0,3875.0,2777.0,5045.0,11065.0,6663.0,3315.0,4391.0,4973.0,3526.0,1000.0,2461.0,8721.0,553.0,177.0,9991.0,19962.0,8890.0,9598.0,33737.0,39544.0,17400.0,4979.0,23045.0,29282.0,15235.0,5912.0,24120.0,12487.0,34480.0,36516.0,59614.0,69025.0,71685.0,67538.0,95866.0,92760.0,110937.0,108189.0,119170.0,138524.0,146365.0,130598.0,124061.0,106128.0,102455.0,87073.0,83569.0,102403.0,94191.0,69658.0,102416.0,168133.0,123648.0,131739.0,181116.0,186510.0,152316.0,148970.0,193096.0,147254.0,146477.0,141870.0,194138.0,199430.0,188643.0,198387.0,220315.0,155050.0,144958.0,155779.0,185528.0,215393.0,187664.0,218510.0,273232.0
Pozostałe aktywa obrotowe,683.0,755.0,541.0,402.0,640.0,703.0,404.0,367.0,629.0,734.0,366.0,286.0,479.0,604.0,916.0,331.0,1103.0,1006.0,1421.0,368.0,1248.0,992.0,821.0,309.0,1482.0,1194.0,675.0,340.0,772.0,1182.0,627.0,381.0,2146.0,1561.0,890.0,378.0,2086.0,1601.0,908.0,357.0,2148.0,2003.0,1250.0,728.0,2478.0,2135.0,1427.0,620.0,2702.0,2136.0,1306.0,676.0,3362.0,2445.0,1228.0,381.0,3110.0,2259.0,1206.0,383.0,3682.0,2749.0,1308.0,453.0,3666.0,3011.0,1833.0,625.0,4064.0,4752.0,1739.0,688.0,4294.0,3327.0,1909.0,1712.0,4971.0
