,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Zapasy,12419.0,9607.0,21999.0,15262.0,17138.0,18417.0,83839.0,50578.0,46590.0,47680.0,205013.0,63089.0,57472.0,84503.0,117695.0,39099.0,25091.0,24750.0,41088.0,15113.0,10054.0,14245.0,11326.0,14664.0,13281.0,9218.0,13252.0,4606.0,8542.0,5118.0,16850.0,8118.0,6753.0,20682.0,38379.0,21979.0,23648.0,26270.0,35940.0,31977.0,26762.0,32044.0,40371.0,53587.0,59185.0,66759.0,64647.0,76815.0,80927.0,92308.0,94623.0,59288.0,62302.0,62441.0,74490.0,45201.0,54361.0
Należności krótkoterminowe,21371.0,37208.0,11542.0,7956.0,13036.0,17366.0,36330.0,53110.0,43093.0,62338.0,73568.0,73454.0,72174.0,118169.0,119565.0,118631.0,78846.0,94207.0,46548.0,27966.0,61214.0,13906.0,32189.0,43852.0,25230.0,25689.0,25498.0,30597.0,26242.0,26136.0,31647.0,21574.0,20432.0,23677.0,30300.0,36935.0,27458.0,42645.0,43644.0,28312.0,31788.0,29882.0,19777.0,13628.0,4015.0,9703.0,18649.0,15753.0,20474.0,19790.0,12046.0,12488.0,4710.0,5310.0,5615.0,14028.0,12975.0
Inwestycje krótkoterminowe,632.0,387.0,3952.0,89.0,2250.0,40538.0,17785.0,18803.0,17052.0,16292.0,11425.0,20017.0,38417.0,42232.0,48502.0,15852.0,5650.0,253.0,2354.0,9462.0,477.0,105.0,1639.0,4475.0,2917.0,3730.0,5525.0,4626.0,4005.0,927.0,3743.0,4505.0,2953.0,876.0,2032.0,861.0,518.0,538.0,1384.0,946.0,14032.0,291.0,723.0,406.0,5507.0,5656.0,12564.0,4381.0,5267.0,2645.0,2447.0,2557.0,2409.0,2004.0,1883.0,3337.0,1651.0
Środki pieniężne i inne aktywa pieniężne,632.0,387.0,3952.0,89.0,2250.0,40538.0,17785.0,18803.0,17052.0,1450.0,5660.0,2204.0,5619.0,4349.0,12844.0,395.0,1493.0,253.0,2354.0,-519.0,477.0,105.0,1639.0,4475.0,2917.0,3730.0,5525.0,4626.0,4005.0,927.0,3743.0,2646.0,2953.0,876.0,2032.0,861.0,518.0,538.0,1384.0,946.0,14032.0,291.0,723.0,406.0,611.0,388.0,7925.0,2586.0,3925.0,1269.0,1065.0,1193.0,983.0,628.0,419.0,811.0,431.0
Pozostałe aktywa obrotowe,9670.0,33386.0,28083.0,22589.0,30863.0,98816.0,54802.0,45667.0,55610.0,139484.0,0.0,120519.0,155086.0,221201.0,131922.0,91375.0,80075.0,69786.0,76745.0,19707.0,14762.0,28125.0,26745.0,16065.0,18427.0,43823.0,19911.0,18301.0,20513.0,42877.0,33820.0,26809.0,30302.0,32831.0,29117.0,24468.0,29315.0,42272.0,34824.0,24161.0,32688.0,38771.0,36563.0,3232.0,8114.0,4484.0,2499.0,8185.0,3871.0,3492.0,8237.0,2962.0,3332.0,2308.0,773.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15600.0,16403.0,16697.0,15717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,74408.0,115600.0,97116.0,78045.0,100687.0,268241.0,316756.0,416694.0,386806.0,537325.0,608155.0,631593.0,696497.0,878288.0,860657.0,714645.0,496853.0,468781.0,450151.0,320726.0,271873.0,287476.0,301858.0,250845.0,213398.0,255058.0,234718.0,244915.0,237720.0,241414.0,248059.0,205501.0,211266.0,242596.0,247027.0,237459.0,235810.0,273833.0,302800.0,291561.0,294247.0,291233.0,274998.0,236599.0,253661.0,266899.0,295102.0,290050.0,287307.0,307132.0,283898.0,154186.0,146748.0,143382.0,157694.0,124999.0,132003.0
Kapitał własny akcjonariuszy jednostki dominującej,11316.0,18786.0,38680.0,30527.0,32483.0,177699.0,208949.0,244976.0,231562.0,269240.0,260377.0,249524.0,258129.0,296399.0,281137.0,146748.0,50216.0,76207.0,39729.0,-50546.0,-47069.0,-87295.0,-44905.0,-50043.0,-58110.0,-42721.0,-39248.0,-46553.0,-43578.0,-31002.0,-18270.0,-44091.0,-38731.0,-44494.0,-38945.0,-50865.0,-36232.0,-23309.0,-12488.0,-8636.0,-22483.0,-14939.0,5257.0,-23302.0,-22925.0,80.0,21663.0,94224.0,97409.0,100067.0,62293.0,-54758.0,-48704.0,-48569.0,-50413.0,-3282.0,1213.0
Kapitał (fundusz) podstawowy,4070.0,4820.0,4151.0,7790.0,116.0,410.0,485.0,509.0,465.0,505.0,474.0,462.0,486.0,494.0,468.0,452.0,455.0,457.0,495.0,526.0,572.0,565.0,566.0,585.0,564.0,597.0,578.0,627.0,592.0,556.0,548.0,522.0,512.0,562.0,551.0,564.0,575.0,560.0,600.0,570.0,622.0,597.0,580.0,564.0,595.0,571.0,599.0,609.0,627.0,672.0,743.0,660.0,644.0,616.0,655.0,590.0,598.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-421.0,-430.0,-418.0,-448.0,-425.0,-464.0,-446.0,-433.0,-421.0,-444.0,-426.0,-447.0,-455.0,-468.0,-502.0,-555.0,-493.0,-481.0,-460.0,-489.0,-441.0,-447.0
