,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,81084.0,116258.0,83943.0,132897.0,110369.0,129663.0,110148.0,160152.0,115548.0,155476.0,125113.0,112132.0,111884.0,161333.0,126335.0,128001.0,206577.0,178224.0,130373.0,135865.0,146449.0,176172.0,159091.0,159941.0,167785.0,304489.0,201451.0,181532.0,206307.0,210017.0,226098.0,214976.0,190779.0,197427.0,176265.0,174513.0,176003.0,261618.0,205175.0,159620.0,140341.0,177854.0,149233.0,148188.0,144753.0,164024.0,192725.0,191369.0,192310.0,217838.0
Kapitał własny akcjonariuszy jednostki dominującej,26713.0,28074.0,28432.0,47764.0,48347.0,52568.0,51308.0,51117.0,55832.0,61252.0,61367.0,50132.0,51600.0,59182.0,57769.0,52173.0,55921.0,64164.0,61960.0,58553.0,61385.0,65656.0,65673.0,56568.0,57521.0,71096.0,70973.0,62078.0,66440.0,73772.0,75001.0,66619.0,65227.0,77239.0,75421.0,70533.0,72344.0,107472.0,106138.0,69880.0,68109.0,69433.0,66171.0,69526.0,65412.0,70755.0,73995.0,76457.0,78734.0,80221.0
Kapitał (fundusz) podstawowy,987.0,987.0,987.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0,7269.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,14753.0,14719.0,14760.0,14807.0,14905.0,14990.0,15059.0,15121.0,15189.0,15246.0,15308.0,15354.0,15400.0,15446.0,15492.0,15538.0,14752.0,14752.0,14753.0,14753.0,14753.0,14753.0,14753.0,14753.0,14753.0,14753.0,14753.0,14753.0,14753.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0,14762.0
Udziały niekontrolujące,0.0,0.0,0.0,5459.0,5443.0,5690.0,5619.0,5078.0,5332.0,5740.0,6746.0,8620.0,8513.0,9213.0,9171.0,9117.0,8979.0,9126.0,9197.0,9170.0,9063.0,9084.0,9199.0,9458.0,9591.0,10752.0,10883.0,9016.0,8987.0,10466.0,10639.0,9095.0,9425.0,3168.0,2876.0,3048.0,3210.0,3914.0,3040.0,3188.0,3445.0,3825.0,4062.0,4013.0,4076.0,4320.0,4791.0,5273.0,5448.0,2202.0
Zobowiązania długoterminowe,6128.0,5750.0,8832.0,10874.0,10267.0,8628.0,8560.0,7855.0,8740.0,7929.0,7880.0,6736.0,7119.0,5642.0,5727.0,5047.0,5474.0,4783.0,5025.0,9081.0,9691.0,24568.0,23514.0,22374.0,22670.0,31075.0,28408.0,24614.0,30694.0,25701.0,39832.0,38740.0,36997.0,31135.0,36341.0,34399.0,33292.0,26189.0,26292.0,24204.0,21170.0,19287.0,17301.0,16144.0,15038.0,13336.0,19899.0,17080.0,21782.0,25160.0
Z tytułu dostaw i usług,45753.0,78302.0,26552.0,37389.0,17754.0,30698.0,18993.0,47293.0,22757.0,43267.0,23691.0,21052.0,24019.0,53954.0,27297.0,32559.0,78737.0,47378.0,24693.0,22456.0,32512.0,32583.0,22954.0,25447.0,35819.0,125399.0,32975.0,20392.0,38446.0,35854.0,38032.0,31304.0,22056.0,37552.0,21076.0,20620.0,28247.0,61288.0,35135.0,36299.0,29764.0,38218.0,17716.0,15754.0,27224.0,34902.0,41851.0,47523.0,47244.0,45725.0
Kredyty i pożyczki,731.0,1132.0,901.0,8019.0,8108.0,7686.0,2435.0,1715.0,1614.0,2047.0,2374.0,2760.0,3054.0,3443.0,3486.0,9140.0,6151.0,3054.0,3435.0,6139.0,10039.0,7357.0,7155.0,7630.0,14498.0,6632.0,11737.0,13523.0,12036.0,9701.0,9225.0,16171.0,18230.0,6141.0,6523.0,4571.0,5654.0,11954.0,13253.0,11639.0,5750.0,4558.0,8262.0,11815.0,7788.0,6249.0,5036.0,4582.0,2741.0,11276.0
