,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Rzeczowe składniki majątku trwałego,55812.0,82359.0,83603.0,103378.0,126749.0,127121.0,128300.0,138146.0,144129.0,138264.0,135233.0,109056.0,108868.0,114212.0,116201.0,110781.0,107334.0,128667.0,125604.0,126024.0,126913.0,126483.0,129500.0,104647.0,109557.0,108578.0,105843.0,105238.0,103569.0,102048.0,101951.0,103677.0,104670.0,104196.0,104923.0,104926.0,107149.0,103621.0,101980.0,101568.0,101483.0,101579.0,101750.0,103254.0,104428.0,104113.0,103802.0,104890.0,105501.0,105449.0,104300.0,106567.0,106209.0,105764.0,108712.0,109440.0,134388.0,131541.0,133667.0,138375.0,139390.0,140022.0,136545.0,137173.0,138655.0,143142.0,150695.0,157046.0,159465.0,161059.0,164414.0,167440.0,182866.0,187783.0
Należności długoterminowe,1571.0,1522.0,1552.0,1502.0,1687.0,1362.0,3036.0,2639.0,2878.0,2558.0,2648.0,2558.0,2368.0,2530.0,2740.0,2652.0,2973.0,969.0,941.0,629.0,668.0,826.0,795.0,1797.0,1941.0,1904.0,1895.0,1028.0,1015.0,659.0,540.0,183.0,178.0,176.0,179.0,181.0,183.0,191.0,141.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,9405.0,9930.0,9406.0,9962.0,9728.0,9427.0,9489.0,9726.0,9586.0,9385.0,9761.0,9919.0,10006.0,10664.0,11328.0,11251.0,11211.0,6494.0,11101.0,11342.0,7019.0,6303.0,6150.0,27954.0,29565.0,29811.0,27626.0,27501.0,26485.0,23786.0,24372.0,24601.0,23865.0,23380.0,23120.0,23222.0,23120.0,15157.0,14499.0,15094.0,15258.0,14951.0,15093.0,15490.0,15274.0,15349.0,14605.0,14729.0,14644.0,13992.0,14079.0,14527.0,14191.0,14263.0,13935.0,13757.0,14061.0,13581.0,14315.0,14035.0,14104.0,14340.0,14280.0,13905.0,14144.0,14006.0,14129.0,14095.0,14587.0,14037.0,13960.0,13178.0,13639.0,12797.0
Pozostałe aktywa trwałe,2665.0,3432.0,3275.0,4528.0,5275.0,5717.0,4801.0,5614.0,6410.0,6596.0,5476.0,6345.0,6197.0,7832.0,6365.0,6685.0,6441.0,6656.0,4895.0,5854.0,5066.0,6788.0,4933.0,3920.0,4567.0,3950.0,4734.0,3598.0,3483.0,3992.0,2975.0,2499.0,2732.0,3309.0,3051.0,11185.0,11071.0,12167.0,9663.0,9320.0,9459.0,10559.0,8184.0,8539.0,8515.0,8562.0,7912.0,7701.0,7933.0,2933.0,1041.0,1215.0,1230.0,2956.0,638.0,1410.0,2649.0,2900.0,2821.0,3991.0,4818.0,4873.0,4841.0,5926.0,6208.0,8272.0,6155.0,7082.0,7714.0,9109.0,7803.0,7366.0,13901.0,9921.0
Aktywa obrotowe,246346.0,362927.0,245085.0,263176.0,248562.0,385232.0,265008.0,274303.0,297885.0,424173.0,293507.0,287104.0,291308.0,417402.0,274407.0,257183.0,278732.0,354485.0,222433.0,208412.0,243650.0,332940.0,203874.0,203926.0,227767.0,368283.0,217997.0,241441.0,266977.0,369941.0,221071.0,229255.0,246661.0,347407.0,223854.0,221690.0,237073.0,335707.0,202605.0,208805.0,220366.0,322100.0,211646.0,223997.0,234397.0,320250.0,216263.0,225617.0,246418.0,336239.0,239261.0,268801.0,293090.0,379080.0,274612.0,303839.0,316549.0,438455.0,323073.0,330356.0,333339.0,438762.0,340426.0,335835.0,373454.0,527873.0,390913.0,434667.0,488184.0,601489.0,456059.0,493451.0,513834.0,628446.0
Zapasy,71397.0,75642.0,90648.0,93041.0,103893.0,77967.0,98955.0,100713.0,135570.0,113275.0,128725.0,139535.0,152780.0,127637.0,118684.0,114404.0,131610.0,95570.0,93905.0,99579.0,115356.0,91262.0,98299.0,101301.0,122896.0,109519.0,113054.0,126563.0,150584.0,108692.0,116539.0,111125.0,132209.0,120133.0,119944.0,115696.0,121098.0,99279.0,96521.0,101076.0,106116.0,97002.0,97106.0,107250.0,114867.0,95995.0,94363.0,105529.0,115682.0,107149.0,102430.0,116430.0,131896.0,122772.0,122331.0,134688.0,158829.0,159786.0,173536.0,175134.0,173208.0,159322.0,156131.0,156089.0,183458.0,190585.0,206855.0,238041.0,278182.0,248641.0,254011.0,285786.0,297148.0,255741.0
Należności krótkoterminowe,109358.0,235001.0,105519.0,115768.0,98814.0,267385.0,129470.0,136870.0,133061.0,286268.0,135454.0,101789.0,104338.0,245548.0,111122.0,100039.0,104034.0,241896.0,116079.0,94390.0,110297.0,232631.0,91913.0,93563.0,92666.0,250767.0,94391.0,105704.0,106001.0,248354.0,91994.0,101512.0,102285.0,216675.0,91800.0,96579.0,105482.0,225533.0,94207.0,97187.0,102199.0,209410.0,107218.0,106881.0,109339.0,217529.0,104656.0,105659.0,115683.0,219086.0,110657.0,120686.0,125382.0,238320.0,122650.0,130206.0,129771.0,259048.0,126507.0,130465.0,133084.0,251169.0,141008.0,148428.0,148763.0,308087.0,155646.0,166868.0,171167.0,316580.0,165375.0,173622.0,174303.0,338740.0
Inwestycje krótkoterminowe,64069.0,50685.0,45184.0,51578.0,42663.0,34067.0,32892.0,34202.0,26883.0,22532.0,25422.0,17625.0,6290.0,12856.0,10112.0,9797.0,11772.0,13737.0,8784.0,11161.0,14418.0,6837.0,8729.0,5880.0,8340.0,5057.0,6807.0,5755.0,6474.0,9177.0,7506.0,14234.0,9842.0,8160.0,8942.0,7436.0,7998.0,9297.0,9135.0,7845.0,9364.0,15688.0,7322.0,9866.0,10191.0,6726.0,17244.0,14429.0,15053.0,10004.0,26174.0,31685.0,35812.0,17988.0,29631.0,38945.0,27949.0,19621.0,23030.0,24757.0,27047.0,28271.0,43287.0,31318.0,41233.0,29201.0,28412.0,29758.0,32544.0,29680.0,29233.0,27209.0,34790.0,27842.0
Środki pieniężne i inne aktywa pieniężne,63408.0,49857.0,44612.0,49144.0,40884.0,33618.0,32432.0,34190.0,26878.0,22527.0,25417.0,17596.0,6285.0,10234.0,8987.0,9792.0,11767.0,8907.0,8779.0,11156.0,8845.0,5700.0,8729.0,5880.0,8340.0,5057.0,6807.0,5755.0,6474.0,9177.0,7506.0,14234.0,9842.0,8160.0,8942.0,7436.0,7998.0,9297.0,9135.0,7845.0,9364.0,15688.0,7322.0,9866.0,10191.0,6726.0,17244.0,14429.0,15053.0,10004.0,26174.0,31685.0,35812.0,17988.0,29631.0,38945.0,27949.0,19621.0,23030.0,24757.0,27047.0,28271.0,43287.0,31318.0,41233.0,29201.0,28412.0,29758.0,32544.0,29680.0,29233.0,27209.0,34790.0,27842.0
Pozostałe aktywa obrotowe,1522.0,1599.0,3734.0,2789.0,3192.0,3645.0,3691.0,2518.0,2371.0,2098.0,3906.0,2930.0,2864.0,2787.0,3969.0,3776.0,3667.0,3282.0,3665.0,3282.0,3579.0,2210.0,4933.0,3182.0,3865.0,2940.0,3745.0,3419.0,3918.0,3718.0,5032.0,2384.0,2325.0,2439.0,3168.0,1979.0,2495.0,1598.0,2742.0,2697.0,2687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6291.0,6588.0,7440.0,6834.0,7593.0,6123.0
