,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Rzeczowe składniki majątku trwałego,0.0,79922.0,88935.0,88743.0,90848.0,94563.0,101275.0,114747.0,138765.0,142241.0,168742.0,176833.0,182633.0,202632.0,209598.0,214637.0,257137.0,258478.0,258489.0,258383.0,256306.0,254929.0,263810.0,266666.0,275552.0,281032.0,288260.0,320115.0,327971.0,328164.0,340690.0,348386.0,357715.0,362145.0,363899.0,361738.0,360056.0,366918.0,359597.0,375932.0,387459.0,391339.0,405776.0,413181.0,422522.0,432807.0,448606.0,479671.0,497911.0,508138.0,546303.0,555874.0,554827.0,557444.0,554899.0,558545.0,551063.0,543033.0,608334.0,609937.0,613271.0,625358.0,635192.0,640323.0,670654.0,668718.0,657481.0,668378.0,697970.0,706924.0,739060.0,763746.0,767067.0,775630.0,765749.0,770786.0,721721.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.0,1790.0,1828.0,1837.0,1745.0,1767.0,1786.0,2225.0,1247.0,1345.0,1683.0,1797.0,1732.0,1608.0,1637.0,1640.0,1843.0,1689.0,1402.0,1629.0,1639.0,640.0,240.0,152.0,0.0,0.0,59.0,45.0,1548.0,1650.0,1659.0,1726.0,4676.0,4259.0,5398.0,6004.0,5350.0,5941.0,6791.0,7082.0,20906.0,21165.0,7858.0,8584.0,8891.0,9352.0,8902.0,7231.0,7093.0,9221.0,2775.0,7170.0,7853.0,8017.0,7946.0,6519.0,6484.0,7161.0,6698.0,6746.0,6641.0
Inwestycje długoterminowe,0.0,8272.0,9004.0,9497.0,9565.0,7495.0,8467.0,9123.0,7391.0,8319.0,9237.0,9579.0,106.0,607.0,607.0,651.0,1358.0,1181.0,1032.0,823.0,553.0,9765.0,10383.0,9756.0,1278.0,1206.0,1216.0,1253.0,1134.0,624.0,434.0,363.0,292.0,248.0,234.0,298.0,155.0,799.0,14891.0,15608.0,16032.0,17362.0,18491.0,48319.0,40346.0,34428.0,34609.0,36219.0,30137.0,29086.0,34921.0,30422.0,26702.0,28026.0,43213.0,43722.0,34414.0,34964.0,39079.0,37890.0,37368.0,37912.0,42360.0,40530.0,40687.0,39694.0,39240.0,38837.0,38408.0,38683.0,38250.0,43692.0,48285.0,38163.0,56718.0,49282.0,37572.0
Pozostałe aktywa trwałe,0.0,1842.0,12353.0,13365.0,14295.0,14192.0,12099.0,9631.0,19115.0,18657.0,17166.0,15577.0,20799.0,21164.0,16795.0,15753.0,21063.0,20648.0,19968.0,18836.0,19966.0,27415.0,27850.0,22664.0,24013.0,24564.0,24987.0,22716.0,27836.0,26972.0,27506.0,26656.0,28696.0,28695.0,29669.0,28435.0,30664.0,29484.0,27588.0,27012.0,33707.0,31285.0,29816.0,28650.0,34349.0,34124.0,32356.0,29018.0,39102.0,39837.0,39235.0,40196.0,39235.0,33886.0,34141.0,30295.0,38814.0,106502.0,35574.0,33503.0,37612.0,38911.0,31447.0,33915.0,36684.0,35477.0,36288.0,32516.0,36892.0,41804.0,43002.0,44414.0,39475.0,49706.0,35691.0,38269.0,41037.0
Aktywa obrotowe,0.0,131118.0,163846.0,124693.0,193831.0,176233.0,174038.0,191416.0,256969.0,224182.0,287806.0,244924.0,316108.0,431607.0,451798.0,447626.0,508954.0,435238.0,420208.0,412283.0,481427.0,465471.0,471394.0,471840.0,549754.0,515815.0,468080.0,476178.0,546236.0,492352.0,463052.0,425946.0,617735.0,584269.0,573230.0,553739.0,626012.0,600075.0,577142.0,605306.0,665082.0,661610.0,612701.0,573605.0,698829.0,665664.0,646065.0,605995.0,771018.0,760658.0,703214.0,671642.0,770005.0,801168.0,837977.0,791247.0,919104.0,955788.0,936268.0,931397.0,1045973.0,1112981.0,1106497.0,1085519.0,1146985.0,1233598.0,1188956.0,1149680.0,1223363.0,1255904.0,1186166.0,1195411.0,1295511.0,1300626.0,1216240.0,1254339.0,1346652.0
Zapasy,0.0,15878.0,13909.0,15527.0,26115.0,24086.0,21690.0,19868.0,20136.0,23704.0,41691.0,24403.0,32839.0,23297.0,22243.0,31463.0,29551.0,32944.0,28428.0,32086.0,33008.0,36463.0,47481.0,47655.0,49621.0,52560.0,54092.0,55614.0,44192.0,46614.0,46158.0,61279.0,62307.0,75169.0,82079.0,54923.0,53687.0,51263.0,54994.0,61200.0,47919.0,50397.0,45829.0,55022.0,51413.0,60594.0,68209.0,74162.0,76555.0,89085.0,100927.0,95871.0,114967.0,148918.0,132503.0,108381.0,97198.0,95259.0,102382.0,95723.0,90741.0,92353.0,107652.0,106964.0,88115.0,92017.0,102045.0,106542.0,91877.0,110543.0,115367.0,130433.0,85947.0,96193.0,105883.0,131616.0,107442.0
Należności krótkoterminowe,0.0,102726.0,141194.0,95029.0,118524.0,116194.0,139732.0,148347.0,173876.0,141424.0,194035.0,192006.0,206356.0,161918.0,163840.0,166705.0,257076.0,175402.0,188066.0,194280.0,230790.0,222251.0,222620.0,249608.0,297017.0,234795.0,238009.0,257826.0,307161.0,232057.0,247501.0,229340.0,410413.0,329205.0,355258.0,351494.0,396195.0,342367.0,327017.0,376844.0,384686.0,384209.0,366052.0,349838.0,424958.0,360765.0,388495.0,345399.0,451891.0,362753.0,363787.0,369217.0,434724.0,415695.0,533249.0,519757.0,572727.0,525811.0,558802.0,590206.0,627601.0,620778.0,610370.0,571413.0,588729.0,559388.0,535010.0,523616.0,619104.0,571369.0,566502.0,620300.0,708912.0,607441.0,602690.0,617722.0,664010.0
Inwestycje krótkoterminowe,0.0,12514.0,8743.0,14137.0,49192.0,35953.0,12616.0,23201.0,62957.0,59054.0,52080.0,28515.0,66362.0,246392.0,262851.0,246594.0,219462.0,224027.0,200831.0,183052.0,214764.0,203892.0,198428.0,171712.0,203116.0,228460.0,175979.0,162738.0,194883.0,213681.0,169393.0,135327.0,145015.0,179895.0,135893.0,147322.0,176130.0,206170.0,194856.0,166987.0,232477.0,227004.0,200820.0,168745.0,222458.0,244305.0,189361.0,186434.0,236984.0,303222.0,238500.0,206554.0,216453.0,236555.0,172225.0,163109.0,249179.0,334718.0,275084.0,245468.0,327631.0,399850.0,388475.0,407142.0,470141.0,582193.0,551901.0,519522.0,512382.0,570065.0,504297.0,444678.0,500652.0,596992.0,507667.0,505001.0,551455.0
Środki pieniężne i inne aktywa pieniężne,0.0,12384.0,8568.0,12896.0,48967.0,32919.0,12574.0,23201.0,62790.0,56883.0,52017.0,28453.0,66362.0,239313.0,252592.0,236217.0,219333.0,223879.0,200691.0,172591.0,204075.0,187663.0,181671.0,168784.0,200242.0,225757.0,173018.0,161212.0,193337.0,210798.0,167243.0,132514.0,142318.0,177646.0,134188.0,144553.0,167689.0,197855.0,186896.0,166985.0,232470.0,224812.0,199907.0,168037.0,221793.0,238978.0,187400.0,184039.0,235834.0,294874.0,229866.0,199408.0,207937.0,228846.0,169050.0,157915.0,245915.0,331764.0,270932.0,244260.0,322708.0,399626.0,387250.0,405902.0,448021.0,461581.0,448752.0,468944.0,437785.0,540938.0,503571.0,444389.0,498298.0,592747.0,495174.0,496489.0,523884.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
