,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Aktywa obrotowe,149241.0,195902.0,240942.0,215900.0,199158.0,223536.0,189792.0,223210.0,201362.0,222359.0,231636.0,260123.0,242989.0,278828.0,211887.0,218717.0,213645.0,243101.0,179047.0,212438.0,191796.0,215342.0,193715.0,235352.0,203663.0,225393.0,215080.0,235154.0,219556.0,261245.0,238420.0,303510.0,243973.0,257490.0,221512.0,287762.0,269248.0,291713.0,283317.0,361995.0,355964.0,389627.0,417139.0,468284.0,427062.0,462308.0,427383.0,560008.0,528527.0,535791.0,505337.0,578805.0,598636.0,688444.0,714785.0,812500.0,800445.0,766730.0,819862.0,950631.0,796648.0
Zapasy,27950.0,22403.0,16855.0,25197.0,18954.0,13908.0,13978.0,13851.0,13428.0,16014.0,15386.0,13079.0,18272.0,25476.0,23983.0,16331.0,18796.0,23606.0,22436.0,17694.0,17695.0,20263.0,19185.0,16339.0,20338.0,21121.0,22924.0,15506.0,19420.0,29568.0,29467.0,23474.0,18780.0,19209.0,20476.0,24792.0,25821.0,23039.0,24417.0,17006.0,31079.0,34953.0,34675.0,37215.0,27075.0,26911.0,26518.0,27912.0,34641.0,31908.0,32931.0,36576.0,46287.0,57667.0,74361.0,57045.0,74105.0,70974.0,112661.0,97872.0,76309.0
Należności krótkoterminowe,68894.0,68389.0,67884.0,78421.0,73214.0,91857.0,106170.0,102923.0,83638.0,95810.0,116146.0,123030.0,101779.0,112323.0,103872.0,100271.0,95057.0,122354.0,96167.0,127801.0,103133.0,115060.0,110280.0,115062.0,89691.0,107469.0,99381.0,103626.0,104033.0,116455.0,118354.0,143020.0,104140.0,121153.0,105750.0,136419.0,113381.0,140993.0,127795.0,161077.0,133560.0,160307.0,192306.0,198841.0,191678.0,211112.0,185029.0,248472.0,200439.0,201440.0,202800.0,266441.0,260177.0,307360.0,345219.0,399158.0,353033.0,348477.0,398667.0,481618.0,396284.0
Inwestycje krótkoterminowe,48232.0,100237.0,152243.0,105569.0,100739.0,111415.0,63909.0,102366.0,98553.0,104351.0,93246.0,118127.0,115693.0,132052.0,75963.0,95440.0,92628.0,89270.0,53533.0,61041.0,61503.0,70422.0,54498.0,91619.0,79447.0,86251.0,82608.0,103788.0,82801.0,102399.0,78114.0,122636.0,105767.0,103905.0,83642.0,116504.0,115367.0,112120.0,118056.0,168648.0,138754.0,142112.0,152650.0,200235.0,172952.0,199355.0,180275.0,249076.0,250846.0,264184.0,227264.0,231138.0,252714.0,270090.0,244537.0,298353.0,306416.0,302988.0,253714.0,314285.0,261048.0
Środki pieniężne i inne aktywa pieniężne,45953.0,98966.0,152020.0,104551.0,99901.0,110848.0,63080.0,100976.0,97680.0,103666.0,83921.0,103222.0,111971.0,114713.0,62959.0,74153.0,63640.0,65002.0,52881.0,59126.0,57531.0,66695.0,53232.0,88973.0,74549.0,74908.0,72709.0,101075.0,80213.0,90134.0,73670.0,119546.0,95673.0,103780.0,83310.0,115712.0,113797.0,111102.0,111487.0,164887.0,135077.0,141863.0,149817.0,199663.0,172344.0,199314.0,180228.0,249028.0,245663.0,263931.0,227015.0,231003.0,248669.0,269819.0,244250.0,298034.0,306031.0,295764.0,252891.0,313112.0,259649.0
Pozostałe aktywa obrotowe,4165.0,4873.0,3960.0,4018.0,3816.0,3883.0,5735.0,4070.0,5743.0,6184.0,6858.0,5887.0,7245.0,8977.0,8069.0,6675.0,7164.0,7871.0,6911.0,5902.0,9465.0,9597.0,9752.0,12332.0,14187.0,10552.0,10167.0,12234.0,13302.0,12823.0,12485.0,14380.0,15286.0,13223.0,11644.0,10047.0,14679.0,15561.0,13049.0,15264.0,52571.0,52255.0,37508.0,31993.0,35357.0,24930.0,35561.0,34548.0,42601.0,38259.0,42342.0,44650.0,39458.0,53327.0,50668.0,57944.0,66891.0,44291.0,54820.0,56856.0,63007.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,2695.0,2435.0,2473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,665524.0,659773.0,654021.0,683113.0,635627.0,675801.0,711501.0,728634.0,717949.0,732843.0,788377.0,821016.0,759457.0,803579.0,752377.0,759840.0,773226.0,820648.0,738399.0,776815.0,779292.0,815382.0,792790.0,848297.0,798338.0,830847.0,822561.0,850030.0,842533.0,905305.0,868014.0,946448.0,859354.0,893053.0,871558.0,918315.0,898505.0,944701.0,910856.0,989566.0,1068097.0,1117465.0,1223860.0,1249767.0,1249636.0,1270888.0,1239893.0,1381090.0,1352720.0,1333719.0,1356286.0,1517858.0,1539231.0,1725808.0,1785376.0,1868934.0,1863329.0,1763450.0,1866713.0,2116091.0,1962222.0
Kapitał własny akcjonariuszy jednostki dominującej,325075.0,96640.0,548420.0,578509.0,551192.0,575975.0,581629.0,597264.0,620720.0,620180.0,689690.0,705811.0,663405.0,662377.0,654627.0,664672.0,691775.0,670872.0,651183.0,648253.0,656759.0,651892.0,657907.0,679006.0,643549.0,663198.0,677452.0,689309.0,677848.0,710976.0,703578.0,730201.0,683468.0,701688.0,723499.0,717740.0,730484.0,740362.0,731728.0,763425.0,767104.0,755163.0,804606.0,798152.0,866731.0,831617.0,864710.0,910612.0,950895.0,911036.0,970828.0,967532.0,1011994.0,1032952.0,1108005.0,1110602.0,1150084.0,1044068.0,1141468.0,1115786.0,1145679.0
Kapitał (fundusz) podstawowy,257700.0,257700.0,469585.0,480375.0,495617.0,495617.0,495617.0,509921.0,509921.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518942.0,518943.0,518943.0,518943.0,518943.0,518943.0,518943.0,518943.0,518943.0,518943.0,518943.0
