,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Rzeczowe składniki majątku trwałego,0.0,65752.0,77865.0,75812.0,87187.0,159665.0,168124.0,204444.0,198099.0,216174.0,223123.0,219943.0,208095.0,207563.0,205382.0,210255.0,207301.0,212889.0,211439.0,208117.0,204746.0,205125.0,203588.0,200816.0,169394.0,168290.0,170190.0,173870.0,172617.0,136975.0,136431.0,138533.0,137339.0,135973.0,136622.0,133263.0,131676.0,133654.0,132197.0,131432.0,130536.0,133239.0,131597.0,130058.0,128132.0,127926.0,127169.0,129725.0,129393.0,133462.0,133226.0,131632.0,140411.0,145398.0,144885.0,146401.0,149504.0,152786.0,156485.0,157331.0,163265.0,180097.0,198575.0,208684.0,198337.0,218783.0,228304.0,230810.0,233172.0,239979.0,248633.0,270981.0
Należności długoterminowe,0.0,0.0,0.0,3590.0,4180.0,4736.0,4391.0,3936.0,4003.0,3666.0,3517.0,4636.0,4504.0,1519.0,10.0,385.0,310.0,166.0,111.0,165.0,110.0,2.0,0.0,97.0,95.0,397.0,397.0,399.0,99.0,8131.0,8244.0,13411.0,10607.0,11772.0,11873.0,12036.0,11932.0,9687.0,9693.0,9655.0,4958.0,908.0,847.0,788.0,729.0,678.0,610.0,552.0,492.0,433.0,374.0,316.0,257.0,0.0,0.0,0.0,109.0,78.0,49.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,862.0,862.0,4341.0,4359.0,10375.0,11526.0,11968.0,3000.0,11314.0,545.0,167.0,596.0,543.0,342.0,10.0,10.0,10.0,10.0,10.0,158.0,158.0,159.0,158.0,845.0,835.0,845.0,835.0,835.0,840.0,835.0,835.0,835.0,835.0,840.0,148.0,148.0,148.0,148.0,148.0,5772.0,10848.0,10850.0,8524.0,8509.0,3917.0,3773.0,3758.0,3743.0,3433.0,3417.0,3471.0,3458.0,2936.0,2928.0,2910.0,2891.0,3097.0,3083.0,3059.0,3056.0,2764.0,2814.0,2748.0,2735.0,2645.0,2651.0,4242.0,4480.0,9212.0,9208.0,7618.0
Pozostałe aktywa trwałe,0.0,1576.0,1797.0,1787.0,1844.0,3857.0,4252.0,5265.0,4791.0,6337.0,14687.0,11740.0,11721.0,11390.0,10394.0,9907.0,9884.0,9567.0,9297.0,8108.0,7906.0,7582.0,7019.0,6775.0,6128.0,6046.0,6080.0,4893.0,5048.0,5565.0,6940.0,6926.0,7201.0,7672.0,8373.0,7168.0,7019.0,6274.0,5247.0,6431.0,6378.0,5599.0,5328.0,5265.0,5138.0,5332.0,4537.0,3827.0,3659.0,4872.0,4939.0,3253.0,3063.0,3058.0,3243.0,3017.0,2879.0,5647.0,5804.0,4977.0,5514.0,5071.0,5243.0,4452.0,17753.0,25057.0,19145.0,16303.0,15903.0,19358.0,28977.0,21289.0
Aktywa obrotowe,0.0,151377.0,165657.0,168479.0,167847.0,196892.0,231879.0,226510.0,227826.0,213430.0,221148.0,209306.0,222501.0,210725.0,227855.0,215523.0,223932.0,211113.0,234117.0,241874.0,278228.0,273109.0,310187.0,284567.0,289368.0,293319.0,340824.0,281219.0,232750.0,237772.0,210235.0,164378.0,149485.0,143374.0,169863.0,178951.0,173476.0,166178.0,184837.0,164962.0,162214.0,153984.0,188373.0,185910.0,163322.0,149072.0,180006.0,170974.0,153173.0,145676.0,172900.0,193045.0,161102.0,167375.0,187209.0,193205.0,193586.0,165174.0,197442.0,200083.0,214376.0,200251.0,239546.0,249605.0,271367.0,281169.0,340221.0,320880.0,308744.0,297408.0,355579.0,339141.0
Zapasy,0.0,29746.0,53634.0,58246.0,57699.0,69079.0,89781.0,87194.0,80728.0,90614.0,107092.0,98508.0,89667.0,76973.0,98438.0,100306.0,89707.0,78664.0,107870.0,109895.0,119963.0,114850.0,134620.0,129558.0,96495.0,98667.0,129685.0,132171.0,111001.0,67998.0,86229.0,74005.0,62280.0,54163.0,81310.0,82099.0,74733.0,75915.0,92868.0,79102.0,64943.0,62726.0,93383.0,93967.0,68911.0,58079.0,81962.0,82600.0,61423.0,59856.0,83785.0,86244.0,75443.0,70791.0,91758.0,96194.0,77679.0,70497.0,98766.0,106887.0,85869.0,81424.0,125653.0,139882.0,126564.0,138703.0,190699.0,183228.0,160633.0,130131.0,192929.0,174834.0
Należności krótkoterminowe,0.0,45716.0,54180.0,68796.0,74965.0,105785.0,120627.0,122486.0,117350.0,111559.0,104077.0,105594.0,108324.0,112302.0,109935.0,108672.0,124847.0,113661.0,117861.0,127034.0,149142.0,148823.0,169688.0,151457.0,119054.0,116925.0,135963.0,127991.0,113627.0,95557.0,117013.0,83503.0,78950.0,81855.0,85239.0,90435.0,90408.0,82033.0,86521.0,80038.0,86883.0,83011.0,90489.0,85174.0,83466.0,76455.0,94772.0,83598.0,81848.0,72156.0,77745.0,81505.0,75056.0,77152.0,86093.0,75703.0,104575.0,80864.0,84932.0,76613.0,112864.0,94492.0,99355.0,99708.0,134495.0,133050.0,135666.0,116105.0,129726.0,138310.0,138929.0,114993.0
Inwestycje krótkoterminowe,0.0,66434.0,49529.0,33419.0,25572.0,11639.0,12756.0,15437.0,14943.0,7158.0,7063.0,4190.0,8888.0,92623.0,6474.0,5482.0,2809.0,8945.0,3739.0,3664.0,3779.0,2837.0,2041.0,2304.0,1023.0,4315.0,7470.0,19749.0,2687.0,1912.0,3569.0,3034.0,2115.0,1992.0,1554.0,3800.0,2527.0,1051.0,2329.0,4233.0,3760.0,1217.0,1896.0,3046.0,1709.0,3804.0,1587.0,3503.0,5747.0,7298.0,8035.0,22774.0,4822.0,9073.0,5556.0,19363.0,6296.0,4335.0,10793.0,12994.0,10110.0,14118.0,9696.0,9343.0,9626.0,8656.0,13227.0,21419.0,18245.0,28820.0,23566.0,49150.0
Środki pieniężne i inne aktywa pieniężne,0.0,66429.0,49524.0,24771.0,17324.0,5077.0,1964.0,2075.0,957.0,655.0,1607.0,1895.0,7188.0,2561.0,3323.0,2589.0,1686.0,7550.0,1884.0,1745.0,1918.0,2137.0,1733.0,1992.0,711.0,4107.0,7262.0,19286.0,2524.0,1525.0,3045.0,2598.0,1679.0,1565.0,1157.0,3496.0,2073.0,613.0,1944.0,3929.0,3429.0,858.0,1542.0,2665.0,1566.0,3608.0,1485.0,3261.0,5645.0,7195.0,5901.0,22774.0,4822.0,8758.0,5361.0,17346.0,4992.0,3647.0,10644.0,12863.0,9121.0,12727.0,8334.0,8336.0,8659.0,8573.0,10444.0,16727.0,13553.0,13372.0,7405.0,31329.0
Pozostałe aktywa obrotowe,0.0,2164.0,997.0,701.0,2294.0,2942.0,3007.0,1393.0,6195.0,4099.0,2916.0,1014.0,4837.0,-81075.0,3216.0,1063.0,6569.0,9843.0,4647.0,1281.0,5344.0,6599.0,3838.0,1248.0,5003.0,8626.0,4332.0,1308.0,5435.0,6860.0,3424.0,1022.0,3329.0,2285.0,1760.0,1930.0,4584.0,5959.0,2433.0,903.0,5942.0,6344.0,1919.0,712.0,6225.0,5063.0,1001.0,586.0,3468.0,5384.0,2353.0,1540.0,4799.0,7093.0,2820.0,963.0,4054.0,8496.0,2269.0,2977.0,4921.0,9605.0,4231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
