,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Rzeczowe składniki majątku trwałego,0.0,0.0,7743697.0,7944815.0,7901684.0,7891008.0,7866899.0,8060674.0,8007068.0,8049658.0,8083339.0,8308650.0,8290132.0,8678883.0,8841337.0,9076871.0,9027152.0,9492585.0,9633641.0,10459377.0,10611018.0,10868682.0,11207935.0,11811566.0,11919719.0,12430565.0,13207309.0,13701956.0,14020317.0,14290103.0,14892810.0,17074978.0,17156821.0,17549951.0,17911450.0,18382498.0,19431835.0,19375673.0,19728566.0,20416867.0,20320144.0,20395723.0,20495165.0,21027393.0,21388390.0,21476916.0,21520902.0,22190752.0,22352890.0,22047089.0,22108936.0,19633800.0,19614063.0,19620736.0,19607617.0,19999574.0,20163988.0,20330529.0,20580554.0,20981564.0,21079236.0,20555515.0,21030177.0,19101330.0
Należności długoterminowe,0.0,0.0,109.0,2316.0,1362.0,1388.0,1395.0,1330.0,1318.0,190.0,171.0,168.0,156.0,175.0,250.0,237.0,217.0,4137.0,4118.0,376.0,348.0,1749.0,411.0,3933.0,2943.0,169050.0,167045.0,20739.0,59724.0,38715.0,44294.0,28323.0,58802.0,91967.0,87602.0,30690.0,51327.0,48403.0,62075.0,30729.0,47087.0,98445.0,219213.0,23257.0,7203.0,149367.0,238417.0,20862.0,217552.0,129781.0,178393.0,72894.0,143530.0,391929.0,428725.0,75014.0,307383.0,387120.0,885901.0,13381.0,13313.0,48950.0,10019.0,7626.0
Inwestycje długoterminowe,0.0,0.0,25651.0,204973.0,209931.0,236519.0,244517.0,236594.0,244578.0,229245.0,238705.0,254701.0,263944.0,98078.0,91698.0,581770.0,594754.0,116198.0,115980.0,280023.0,99130.0,89518.0,93748.0,94262.0,108614.0,101156.0,90088.0,71009.0,62401.0,131586.0,80058.0,136226.0,48136.0,67632.0,67318.0,224617.0,278517.0,615128.0,496188.0,485748.0,667711.0,674463.0,833590.0,817315.0,1119710.0,989730.0,1002699.0,484946.0,441986.0,546096.0,344168.0,252843.0,224679.0,217236.0,446283.0,500865.0,477702.0,548875.0,527274.0,490675.0,487956.0,353332.0,416199.0,312451.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154034.0,164483.0,160417.0,184701.0,157113.0,157438.0,156855.0,167207.0,172380.0,164771.0,173773.0,617639.0,483341.0,484748.0,501836.0,403257.0,508076.0,481455.0,609939.0,623751.0,596892.0,579059.0,583162.0,628456.0,552383.0,640135.0,661270.0,716435.0,713634.0,608616.0,722588.0,1448908.0,1818944.0,1288159.0,1320913.0,1412052.0,1792252.0,1608743.0,2041418.0,1324078.0,1263093.0,2068133.0,2358416.0,1877909.0
Aktywa obrotowe,0.0,0.0,2119050.0,3781886.0,3802404.0,3992844.0,3959313.0,3855015.0,4012881.0,3954128.0,4096541.0,4098837.0,4068690.0,4050474.0,4010152.0,4331465.0,3716108.0,3843242.0,3720936.0,3698960.0,3584837.0,3584954.0,3890411.0,3952551.0,3767423.0,3844625.0,3839331.0,3763901.0,4513586.0,4350309.0,5775723.0,4785554.0,4676726.0,4777448.0,4628578.0,5049920.0,4250397.0,4206479.0,4348402.0,6232080.0,5867758.0,6123011.0,6950030.0,6928351.0,6590821.0,8356714.0,8376181.0,9051835.0,7795903.0,7528474.0,8408531.0,8122053.0,9143570.0,9159233.0,11442029.0,12289954.0,13297100.0,12671289.0,12394831.0,14273352.0,12132328.0,12719786.0,14017003.0,17473767.0
Zapasy,0.0,0.0,235760.0,270044.0,324823.0,344533.0,353129.0,300830.0,262167.0,239059.0,246909.0,242058.0,248544.0,316285.0,346396.0,483022.0,375665.0,350522.0,321700.0,502654.0,336453.0,370903.0,434996.0,521498.0,502518.0,661211.0,688172.0,716883.0,850244.0,821683.0,700399.0,957030.0,945433.0,725941.0,756876.0,866014.0,1028684.0,760167.0,835436.0,1441720.0,1189678.0,928111.0,1156454.0,1851106.0,1963343.0,1398551.0,1488714.0,2751423.0,2393308.0,1531760.0,1465200.0,3659034.0,3381855.0,2085271.0,2393940.0,3975898.0,4441553.0,1617642.0,1589044.0,6072980.0,2813251.0,2539922.0,1973988.0,5685733.0
Należności krótkoterminowe,0.0,0.0,727254.0,785636.0,960593.0,923357.0,973377.0,938341.0,1007265.0,930407.0,905237.0,924279.0,966724.0,950511.0,982204.0,1106535.0,1241477.0,1171046.0,1241129.0,1465340.0,1597931.0,1452215.0,1412137.0,1357421.0,1453591.0,1489374.0,1492469.0,1764148.0,1762405.0,1576733.0,1781179.0,1764700.0,1780595.0,1695100.0,1644609.0,1834029.0,1978395.0,1835968.0,1818340.0,2053427.0,2091409.0,1909142.0,2311824.0,1968164.0,2006144.0,2433754.0,2441177.0,2527356.0,3275750.0,2326021.0,2320801.0,2479510.0,2788516.0,2849204.0,2885747.0,3741182.0,4482369.0,4758162.0,5055569.0,6212106.0,7141408.0,6985837.0,6573813.0,8617390.0
Inwestycje krótkoterminowe,0.0,0.0,1156036.0,2726206.0,2516988.0,2724954.0,2632807.0,2610800.0,2743449.0,2784662.0,2944395.0,2932500.0,2853422.0,2783678.0,2681552.0,2720405.0,2078668.0,2300572.0,2136598.0,1717425.0,1636752.0,1748187.0,2029691.0,2060145.0,1797619.0,1680345.0,1645094.0,1269356.0,1887242.0,1916201.0,3270077.0,2044584.0,1931459.0,2336236.0,2206997.0,2345547.0,1241497.0,1609414.0,1694626.0,2736933.0,2586485.0,3285758.0,3481752.0,3109081.0,2621334.0,4524409.0,4446290.0,3773056.0,2126845.0,3670693.0,4622530.0,1983509.0,2973199.0,4224758.0,6162342.0,4572874.0,4373178.0,6295485.0,5750218.0,1988266.0,2177669.0,3194027.0,5469202.0,3170644.0
Środki pieniężne i inne aktywa pieniężne,0.0,0.0,1009582.0,2620659.0,531958.0,715625.0,911704.0,902543.0,897662.0,994368.0,1059023.0,899627.0,912957.0,944201.0,963437.0,1218361.0,866739.0,1404973.0,1609574.0,1095495.0,843422.0,1193280.0,1585688.0,1573195.0,1289293.0,1273613.0,1135305.0,687316.0,1410423.0,1307883.0,3057101.0,1822094.0,1704900.0,2103250.0,1983027.0,2340217.0,1234662.0,1586445.0,1679216.0,2687126.0,2512314.0,3039517.0,3312987.0,2650838.0,2124088.0,4106510.0,4383890.0,3761947.0,2020487.0,3645287.0,4581108.0,1941554.0,2916568.0,4195268.0,6035690.0,4153553.0,3674324.0,5438780.0,5052545.0,1563716.0,1755218.0,2828050.0,5214099.0,3026133.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
