,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Należności długoterminowe,1035.0,774.0,976.0,968.0,1025.0,898.0,992.0,2477.0,3160.0,1836.0,1664.0,1759.0,2855.0,1690.0,1360.0,3438.0,7101.0,3702.0,3693.0,4335.0,4928.0,3572.0,3958.0,7778.0,5607.0,7292.0,5069.0,5773.0,4205.0,3665.0,3804.0,7923.0,6965.0,6925.0,6439.0,3552.0,3565.0,2782.0,3804.0,3447.0,3170.0,3162.0,3171.0,3169.0,3451.0,3245.0,3161.0,4073.0,2383.0,3126.0,3310.0,3705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,5140.0,5056.0,5034.0,7028.0,6991.0,3208.0,179330.0,7271.0,6200.0,6955.0,3294.0,2703.0,1611.0,753.0,1162.0,2096.0,2207.0,2187.0,2094.0,1983.0,1903.0,2371.0,1695.0,1780.0,1767.0,1646.0,1375.0,1488.0,1542.0,1489.0,1473.0,191.0,191.0,0.0,0.0,3853.0,3401.0,3401.0,3394.0,3387.0,3380.0,3236.0,3213.0,2624.0,2526.0,2089.0,1761.0,1486.0,1516.0,1516.0,1503.0,1483.0,5648.0,7837.0,7182.0,7765.0,7170.0,7121.0,8066.0,8582.0,7373.0,6571.0,5291.0,7392.0,6334.0,3701.0,3075.0,2925.0,2191.0,2006.0,1660.0,1839.0,1642.0
Pozostałe aktywa trwałe,15196.0,12678.0,13621.0,15257.0,12804.0,20412.0,17245.0,17005.0,24363.0,28637.0,34628.0,21695.0,17205.0,25298.0,19980.0,189.0,15462.0,28092.0,29706.0,3244.0,5259.0,6880.0,5963.0,6741.0,4829.0,7365.0,8174.0,10340.0,10319.0,9411.0,8536.0,8652.0,6320.0,5590.0,4647.0,3622.0,2418.0,3673.0,3511.0,1966.0,0.0,690.0,689.0,568.0,582.0,1590.0,5759.0,11190.0,11816.0,6004.0,6801.0,12810.0,12156.0,11059.0,9870.0,12739.0,28737.0,11004.0,9833.0,12124.0,8171.0,7049.0,5587.0,5829.0,5655.0,9139.0,8210.0,9127.0,7291.0,6430.0,6682.0,5861.0,8236.0
Aktywa obrotowe,352235.0,332544.0,360566.0,504708.0,277780.0,250460.0,255839.0,614291.0,511459.0,647060.0,464461.0,543955.0,394591.0,490091.0,470906.0,493131.0,313909.0,302785.0,246516.0,283866.0,240151.0,234446.0,204021.0,254551.0,186454.0,183725.0,203579.0,159365.0,217090.0,150687.0,152356.0,180449.0,210704.0,175550.0,212704.0,221860.0,294031.0,191420.0,191544.0,204648.0,242312.0,231540.0,226558.0,283730.0,271632.0,204879.0,278390.0,184997.0,189727.0,210244.0,221193.0,143964.0,142847.0,122311.0,114657.0,81136.0,102105.0,94252.0,97390.0,93898.0,100334.0,83846.0,84858.0,90230.0,103775.0,101143.0,106127.0,93857.0,114129.0,103161.0,111657.0,118952.0,146995.0
Zapasy,57178.0,45299.0,49932.0,36073.0,43450.0,35120.0,31795.0,54584.0,94666.0,120690.0,73428.0,71566.0,70305.0,50944.0,49880.0,42726.0,26855.0,26730.0,30458.0,20247.0,20900.0,20410.0,22226.0,23680.0,16732.0,15190.0,21290.0,24110.0,20595.0,22743.0,24385.0,21111.0,18224.0,20413.0,32488.0,17801.0,13985.0,15103.0,19141.0,14156.0,27595.0,29973.0,24734.0,27907.0,43962.0,35873.0,44809.0,30418.0,30719.0,64997.0,58576.0,43272.0,37659.0,890.0,745.0,293.0,322.0,310.0,518.0,266.0,265.0,272.0,281.0,33.0,53.0,73.0,67.0,48.0,61.0,175.0,106.0,83.0,72.0
Należności krótkoterminowe,155786.0,141440.0,155924.0,224840.0,159300.0,146503.0,170953.0,392680.0,258092.0,348608.0,272993.0,407881.0,213886.0,290793.0,285199.0,322169.0,205580.0,199996.0,175904.0,171609.0,128934.0,140347.0,116664.0,146812.0,121688.0,108777.0,136284.0,87694.0,95337.0,108380.0,108731.0,129424.0,112716.0,124417.0,159645.0,185589.0,182522.0,158660.0,165391.0,185913.0,168936.0,196906.0,198226.0,192953.0,207641.0,165770.0,176990.0,114735.0,130335.0,125835.0,144185.0,65904.0,48749.0,94684.0,93570.0,62299.0,60858.0,61208.0,63291.0,55163.0,57492.0,57435.0,69437.0,65401.0,51787.0,63722.0,59244.0,59303.0,41715.0,42470.0,47109.0,48817.0,43986.0
Inwestycje krótkoterminowe,112045.0,106573.0,113589.0,190089.0,21017.0,11155.0,9857.0,63505.0,40453.0,53996.0,29964.0,57532.0,67120.0,57072.0,43043.0,90992.0,38664.0,41575.0,19872.0,74381.0,76736.0,60027.0,50684.0,68401.0,34107.0,43603.0,31096.0,47561.0,101158.0,19564.0,19240.0,29914.0,79764.0,30720.0,20571.0,18470.0,97524.0,17657.0,7012.0,4579.0,45781.0,4661.0,3598.0,62870.0,20029.0,3236.0,56591.0,39844.0,28673.0,19412.0,18432.0,34788.0,56439.0,26701.0,20308.0,18544.0,40925.0,32734.0,33581.0,38469.0,42577.0,26139.0,15140.0,24796.0,51935.0,37348.0,46816.0,34506.0,72353.0,60516.0,64442.0,70052.0,102937.0
Środki pieniężne i inne aktywa pieniężne,17289.0,16650.0,19522.0,106570.0,8503.0,7916.0,6456.0,59774.0,36093.0,48317.0,24528.0,51321.0,61193.0,53458.0,40057.0,88653.0,35951.0,39307.0,17807.0,72453.0,74930.0,58493.0,49155.0,66882.0,32793.0,42288.0,29851.0,46597.0,100142.0,18554.0,18231.0,27607.0,79688.0,30642.0,20493.0,18391.0,97475.0,17657.0,7012.0,4579.0,45781.0,4661.0,3598.0,62870.0,20029.0,3236.0,56591.0,39844.0,28606.0,19412.0,18353.0,34788.0,40305.0,26701.0,20308.0,18544.0,40925.0,32734.0,33581.0,38469.0,42567.0,26129.0,15130.0,24786.0,51915.0,37328.0,46796.0,34506.0,72353.0,60516.0,64442.0,70052.0,102937.0
Pozostałe aktywa obrotowe,27226.0,39232.0,41121.0,53706.0,54013.0,57682.0,43234.0,103522.0,118248.0,123766.0,88076.0,3382.0,39714.0,63643.0,60085.0,0.0,6153.0,6084.0,5963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594.0,3566.0,27639.0,32699.0,37244.0,36657.0,28400.0,14319.0,17629.0,13581.0,13662.0,14447.0,15658.0,13927.0,16155.0,14909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
